Date,MC,P_A1,P_A2,P_B1,P_B2,Def_25%,Def_50%,Def_75%,Def_100%
01/01/2020,1,210.44,202.07,222.87,202.16,0.07693,0.07702,0.0771,0.07718
01/02/2020,1,135.49,130.1,143.49,130.16,0.07702,0.07718,0.07735,0.07751
01/03/2020,1,259.4,249.08,274.72,249.19,0.0771,0.07735,0.07758999999999999,0.07783999999999999
01/04/2020,1,61.71,59.25,65.35,59.28,0.07718,0.07751,0.07783999999999999,0.07817
01/05/2020,1,202.86,194.79,214.84,194.88,0.07726,0.07768,0.07808999999999999,0.0785
01/06/2020,1,137.33,131.87,145.44,131.93,0.07735,0.07783999999999999,0.07833999999999999,0.07883
01/07/2020,1,14.2,13.64,15.04,13.64,0.07743,0.07801,0.07858,0.07916000000000001
01/08/2020,1,20.29,19.48,21.49,19.49,0.07751,0.07817,0.07883,0.07948999999999999
01/09/2020,1,3.46,3.32,3.66,3.32,0.07758999999999999,0.07833999999999999,0.07908,0.07982
01/10/2020,1,78.47,75.34,83.1,75.38,0.07768,0.0785,0.07933,0.08015
01/11/2020,1,285.87,274.5,302.76,274.63,0.07776,0.07867,0.07957,0.08048
01/12/2020,1,293.65,281.97,311.0,282.1,0.07783999999999999,0.07883,0.07982,0.08081
01/01/2021,1,114.9,110.33,121.69,110.38,0.07792,0.079,0.08007,0.08114
01/02/2021,1,97.13,93.27,102.87,93.31,0.07801,0.07916000000000001,0.08032,0.08147
01/03/2021,1,104.92,100.75,111.12,100.8,0.07808999999999999,0.07933,0.08056,0.0818
01/04/2021,1,123.63,118.71,130.93,118.76,0.07817,0.07948999999999999,0.08081,0.08213
01/05/2021,1,190.42,182.85,201.67,182.93,0.07825,0.07966000000000001,0.08106000000000001,0.08246
01/06/2021,1,149.28,143.34,158.1,143.41,0.07833999999999999,0.07982,0.08131000000000001,0.08279
01/07/2021,1,23.72,22.78,25.12,22.79,0.07842,0.07998999999999999,0.08155,0.08312
01/08/2021,1,1.68,1.61,1.78,1.61,0.0785,0.08015,0.0818,0.08345
01/09/2021,1,0.84,0.81,0.89,0.81,0.07858,0.08032,0.08205,0.08378
01/10/2021,1,38.94,37.39,41.24,37.41,0.07867,0.08048,0.0823,0.08411
01/11/2021,1,102.93,98.84,109.01,98.88,0.07875,0.08065,0.08254,0.08444
01/12/2021,1,288.84,277.35,305.9,277.48,0.07883,0.08081,0.08279,0.08477
01/01/2020,2,276.11,273.43,300.21,271.36,0.06117,0.06122999999999999,0.06129,0.06135
01/02/2020,2,152.33,150.85,165.63,149.71,0.06122999999999999,0.06135,0.061470000000000004,0.06159
01/03/2020,2,236.37,234.07,257.0,232.3,0.06129,0.061470000000000004,0.06165,0.061829999999999996
01/04/2020,2,192.22,190.35,209.0,188.91,0.06135,0.06159,0.061829999999999996,0.06207000000000001
01/05/2020,2,209.7,207.66,228.0,206.09,0.06141,0.06171,0.06201,0.062310000000000004
01/06/2020,2,381.38,377.67,414.67,374.82,0.061470000000000004,0.061829999999999996,0.062189999999999995,0.06255
01/07/2020,2,175.51,173.8,190.83,172.49,0.061529999999999994,0.06195,0.06237,0.06279
01/08/2020,2,102.94,101.93,111.92,101.16,0.06159,0.06207000000000001,0.06255,0.06302999999999999
01/09/2020,2,48.36,47.89,52.58,47.53,0.06165,0.062189999999999995,0.06273,0.06327
01/10/2020,2,169.3,167.66,184.08,166.39,0.06171,0.062310000000000004,0.06291000000000001,0.06351
01/11/2020,2,346.12,342.75,376.33,340.16,0.061770000000000005,0.06242999999999999,0.06309,0.06375
01/12/2020,2,441.01,436.72,479.5,433.41,0.061829999999999996,0.06255,0.06327,0.06398999999999999
01/01/2021,2,43.3,42.88,47.08,42.56,0.06189,0.06267,0.06345,0.06423
01/02/2021,2,75.91,75.18,82.54,74.61,0.06195,0.06279,0.06362999999999999,0.06447
01/03/2021,2,219.32,217.18,238.46,215.54,0.06201,0.06291000000000001,0.06381,0.06471
01/04/2021,2,239.29,236.96,260.17,235.16,0.06207000000000001,0.06302999999999999,0.06398999999999999,0.06495
01/05/2021,2,251.85,249.4,273.83,247.51,0.06213,0.06315,0.06417,0.06519
01/06/2021,2,269.02,266.4,292.5,264.39,0.062189999999999995,0.06327,0.06435,0.06543
01/07/2021,2,97.03,96.09,105.5,95.36,0.06225,0.06339,0.06452999999999999,0.06567
01/08/2021,2,87.37,86.52,95.0,85.87,0.062310000000000004,0.06351,0.06471,0.06591
01/09/2021,2,0.0,0.0,0.0,0.0,0.06237,0.06362999999999999,0.06489,0.06615
01/10/2021,2,149.92,148.46,163.0,147.33,0.06242999999999999,0.06375,0.06507,0.06639
01/11/2021,2,245.41,243.02,266.83,241.18,0.06249,0.06387000000000001,0.06525,0.06663
01/12/2021,2,307.34,304.36,334.17,302.05,0.06255,0.06398999999999999,0.06543,0.06687
01/01/2020,3,224.4,222.9,240.15,220.91,0.026330000000000003,0.02636,0.026389999999999997,0.02642
01/02/2020,3,129.95,129.08,139.07,127.93,0.02636,0.02642,0.02647,0.02653
01/03/2020,3,96.66,96.02,103.45,95.16,0.026389999999999997,0.02647,0.02655,0.026639999999999997
01/04/2020,3,162.37,161.29,173.77,159.85,0.02642,0.02653,0.026639999999999997,0.02675
01/05/2020,3,148.55,147.56,158.98,146.24,0.026439999999999998,0.02658,0.026719999999999997,0.026860000000000002
01/06/2020,3,94.65,94.02,101.29,93.18,0.02647,0.026639999999999997,0.0268,0.026969999999999997
01/07/2020,3,89.5,88.9,95.78,88.11,0.0265,0.02669,0.02688,0.02708
01/08/2020,3,85.97,85.4,92.01,84.64,0.02653,0.02675,0.026969999999999997,0.02719
01/09/2020,3,54.99,54.62,58.85,54.14,0.02655,0.0268,0.02705,0.0273
01/10/2020,3,98.27,97.62,105.17,96.74,0.02658,0.026860000000000002,0.02713,0.027410000000000004
01/11/2020,3,193.75,192.46,207.35,190.74,0.02661,0.026910000000000003,0.02721,0.02752
01/12/2020,3,231.14,229.6,247.36,227.54,0.026639999999999997,0.026969999999999997,0.0273,0.027630000000000002
01/01/2021,3,67.46,67.02,72.2,66.42,0.026660000000000003,0.02702,0.02738,0.027739999999999997
01/02/2021,3,152.65,151.63,163.36,150.27,0.02669,0.02708,0.027460000000000002,0.02785
