MC;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
1;0.006628689;0.009186428;0.012151507;0.016174199;0.021598044;0.02488785;0.027574825;0.030853179;0.03642671;0.039453953;0.046696107;0.055336961;0.056754473;0.059528151;0.061400445;0.063648997;0.069552162;0.072060005;0.074417345
2;0.002906991;0.005251186;0.006272732;0.008173942;0.010957969;0.014150299;0.015491866;0.019010524;0.021865492;0.023380469;0.026799809;0.031146108;0.03343828;0.036495035;0.037961142;0.041922784;0.047889683;0.050399406;0.055496099
3;0.001229982;0.002729559;0.003282397;0.004033507;0.005707139;0.006506091;0.008289206;0.009977367;0.011699576;0.013288969;0.014517777;0.017160748;0.017667065;0.018392051;0.018581222;0.01943609;0.023241681;0.024155985;0.025208389
4;0.004829488;0.009927803;0.01227284;0.017370529;0.021372909;0.025492822;0.028693725;0.031556408;0.035393742;0.038050117;0.044997703;0.048781896;0.050436738;0.053449464;0.055059293;0.060725893;0.070107916;0.074948658;0.078841632
5;0.001563539;0.003551779;0.004325591;0.006348146;0.008743682;0.009744764;0.011693717;0.013443747;0.015193279;0.016631496;0.018897234;0.022729993;0.023359585;0.024249768;0.024587938;0.025368215;0.027655338;0.028596246;0.030478062
6;0.001459092;0.003097247;0.003825316;0.00477411;0.00569572;0.006244431;0.007368742;0.008488916;0.009750922;0.010682874;0.01181664;0.013003002;0.013796373;0.014387337;0.014709709;0.01537484;0.017979223;0.018526456;0.019636879
7;0.001591625;0.002877557;0.003299464;0.004853194;0.006859147;0.008516458;0.009976711;0.011511492;0.013852192;0.014915802;0.017328503;0.022449494;0.023266781;0.0248243;0.025988966;0.027628592;0.029499383;0.031011427;0.032821585
8;0.002145514;0.0037493;0.004466385;0.005581677;0.006677137;0.008016322;0.00890511;0.01050159;0.01239816;0.013597999;0.015029559;0.016866633;0.017481426;0.018155194;0.018672393;0.019535087;0.021529773;0.02215657;0.022636192
9;0.000395678;0.00053892;0.000737679;0.001085508;0.001602343;0.00200753;0.002607795;0.002893358;0.003562637;0.004041438;0.004739856;0.00545177;0.005573541;0.005649916;0.005705434;0.005812175;0.00593732;0.006040073;0.006217362
10;0.00229482;0.00768141;0.009583443;0.012793551;0.014402018;0.017981245;0.021887717;0.025773254;0.033130148;0.034840567;0.036577839;0.039703746;0.04084888;0.044091302;0.045688846;0.048042379;0.055200377;0.060708035;0.064812949
11;0.001597283;0.003396511;0.004275605;0.005374159;0.006478219;0.008308226;0.01009394;0.011904678;0.016057665;0.017581128;0.018418181;0.019851307;0.020287976;0.020847013;0.021236387;0.021891766;0.022855691;0.02361492;0.02417746
12;0.002748139;0.00442485;0.004888914;0.00621112;0.008071956;0.010963397;0.013303294;0.014558015;0.017591508;0.019844341;0.02152855;0.024696596;0.025363947;0.026245418;0.026491614;0.027495557;0.02949303;0.030222451;0.031066014
13;0.002688826;0.004655461;0.005447264;0.010547419;0.014537587;0.017180322;0.018973085;0.020739147;0.02291748;0.024339929;0.026105037;0.028205811;0.029416562;0.031657833;0.0325771;0.035248761;0.044220203;0.048788886;0.053105502
14;0.000680789;0.001269793;0.002621875;0.003279243;0.004833251;0.006239455;0.007170594;0.007965955;0.008963559;0.009605102;0.011026181;0.012393455;0.012710587;0.013004614;0.013114123;0.013787316;0.015434058;0.016211695;0.016839629
15;0.010812861;0.01812493;0.026844785;0.044341465;0.057542942;0.074210079;0.093129737;0.102186664;0.116699394;0.127695508;0.133736202;0.144429743;0.149604496;0.156102847;0.161422873;0.167889891;0.181273038;0.191168053;0.198200337
16;0.003880103;0.008002601;0.011043835;0.018107073;0.021956961;0.028124257;0.036845984;0.041524221;0.049593519;0.055588475;0.058066137;0.064437107;0.067264371;0.072932778;0.076508041;0.080350543;0.088777054;0.093201258;0.097105757
17;0.001331319;0.002808937;0.003411506;0.004595002;0.005945523;0.007908976;0.009798974;0.012092817;0.014362278;0.016831985;0.019743941;0.022327944;0.022951543;0.023864387;0.024200264;0.026200901;0.032050111;0.035486914;0.040351045
18;0.010367887;0.016801723;0.022676066;0.036817605;0.048934407;0.059847358;0.070283776;0.077412467;0.086174229;0.099618366;0.105250624;0.112601881;0.116623135;0.12358888;0.127655749;0.135366847;0.152538169;0.163456424;0.174378287
19;0.00129397;0.001981983;0.002615324;0.003659531;0.004668973;0.006164831;0.007299542;0.008110398;0.009882918;0.012042512;0.01297786;0.014848848;0.015262918;0.015927334;0.01621526;0.016743821;0.01820472;0.018984501;0.019424402
20;0.003982523;0.007512618;0.010037876;0.01344182;0.016464684;0.020041947;0.02595882;0.029454872;0.034845265;0.038039539;0.040941263;0.046565028;0.048267995;0.051188013;0.05303105;0.056191122;0.061888622;0.064040197;0.066170059
