COD;CAT;ELEV;CUENCA;X;Y
11017010;LM;75;199;-76,53775;5,47361111
11027030;LG;2299;198;-76,15205556;5,862
11027050;LG;75;198;-76,51772222;5,52155556
11037020;LG;77;197;-76,61325;5,37475
11047010;LG;26;311;-76,66966667;5,76483333
11047020;LG;27;311;-76,65999722;5,69
11047030;LM;35;196;-76,61919444;5,83030556
11057020;LM;18;194;-76,76180556;6,28666667
11067010;LG;115;194;-76,48333333;6,2
11077010;LM;12;193;-76,88447222;6,55880556
11077020;LG;177;195;-76,13447222;6,29836111
11077040;LG;176;195;-76,15;6,35
11077050;LG;157;195;-76,15;6,43333333
11077070;LG;165;195;-76,51666667;6,6
11077110;LG;1845;195;-76,15;6,25
11077130;LG;190;195;-76,45;6,48333333
11077140;LG;820;194;-76,55;6,31666667
11107010;LM;4;191;-77,03;7,18
11117010;LG;650;191;-76,14958333;6,87388889
11117040;LG;132;191;-76,43805556;7,22944444
11117050;LM;650;191;-76,26638889;7,00438889
12017010;LM;20;179;-76,68391667;7,67305556
12017020;LM;22;179;-76,71;7,57
12017100;LG;80;179;-76,59961111;7,41322222
12027010;LM;10;178;-76,52;8,19999722
12027050;LM;25;178;-76,62938889;8,41505556
12037010;LG;5;177;-76,44583333;8,65972222
12037030;LG;20;177;-76,39;8,62
12047010;LM;35;175;-76,23641667;8,78697222
13037040;LM;55;176;-76,09555556;8,16083333
13057010;LG;20;176;-75,97861111;8,49944444
13067020;LG;15;174;-75,89241667;8,75161111
13067040;LM;25;176;-75,89;8,41
13067080;LM;17;176;-75,96369444;8,50402778
13077010;LM;9;174;-75,84583333;9,03222222
13077020;LM;8;174;-75,67638889;9,23888889
13077040;LM;20;174;-75,89277778;9,29722222
13077060;LG;6;174;-75,83444444;9,22444444
13077070;LM;10;174;-75,63;8,87
13077150;LM;20;174;-75,79741667;8,88508333
13077170;LM;5;174;-75,81500833;9,22667222
13077300;LM;13;174;-75,83555556;8,86833333
13097010;LM;59;168;-75,439;9,437
14019030;LG;1;307;-75,53383056;10,39056389
15017020;LM;50;296;-73,94155556;11,27763889
15017030;LG;650;296;-74,12291667;11,15891667
15017040;LG;40;312;-73,87672222;11,25602778
15017060;LG;60;296;-74,13930556;11,25358333
15017080;LM;28;312;-73,7625;11,24944444
15027010;LG;40;201;-73,68527778;11,24416667
15037010;LG;50;201;-73,46130556;11,20505556
15037020;LG;30;201;-73,56861111;11,24455556
15037030;LM;44;201;-73,40333333;11,21222222
15047020;LM;14;204;-73,16338889;11,25205556
15067010;LG;130;202;-72,64444444;11,01413889
15067050;LG;76;202;-72,55344444;11,18033333
15067060;LM;135;202;-72,50819444;11,14233333
15067080;LM;140;202;-72,77227778;10,94672222
15067110;LG;150;202;-72,53480556;11,09591667
15067130;LG;210;202;-72,81955556;10,99855556
15067160;LG;89;202;-72,70872222;11,03305556
15087010;LG;110;185;-72,35880556;11,23411111
15087080;LG;35;185;-72,13244444;11,36013889
16017010;LG;70;167;-72,41722222;8,23361111
16017020;LG;730;167;-72,60547222;7,68797222
16017070;LM;237;167;-72,44219444;7,42408333
16027010;LG;850;166;-72,82083333;7,77833333
16027060;LG;47;166;-72,43472222;8,35027778
16027100;LG;270;166;-72,63388889;7,90138889
16027120;LG;270;166;-72,65027778;7,83388889
16027280;LG;140;166;-72,58138889;8,10527778
16037010;LG;50;154;-72,69805556;8,5175
16037020;LG;50;154;-72,63111111;8,48805556
16037030;LG;245;154;-72,79472222;8,10361111
16037040;LM;70;154;-72,80861111;8,60111111
16037050;LG;75;154;-72,58611111;8,36830556
16047010;LG;143;155;-73,08305556;8,04333333
16057010;LG;142;165;-73,21813889;8,0305
16057030;LG;122;165;-73,31825;8,19780556
16057040;LG;360;165;-73,24611111;8,54111111
16067010;LG;19;131;-72,9;9,00361111
17027030;LG;12;2;-81,38891667;13,35661111
17027040;LM;12;2;-81,37655556;13,32941667
21017020;LG;1233;86;-76,23161111;1,87027778
21017030;LG;1272;86;-76,23172222;1,8735
21017040;LG;170;84;-76,01202778;1,98811111
21017050;LG;125;86;-76,05244444;1,84883333
21017060;LG;17;86;-76,40111111;1,905
21027010;LG;839;84;-75,85188889;2,05316667
21037010;LG;893;85;-75,78;2,03
21037020;LM;1290;85;-75,94541667;1,75227778
21057030;LG;1139;17;-75,96158333;2,52291667
21057050;LG;1149;17;-75,94216667;2,33144444
21057060;LG;785;17;-75,76;2,46
21057080;LG;13;17;-75,97013889;2,31219444
21057110;LM;172;17;-76,1285;2,25002778
21057130;LG;14;17;-75,77566667;2,66572222
21077020;LM;536;21;-75,56686111;2,46255556
21087040;LM;740;18;-75,56933333;2,71433333
21087050;LG;125;18;-75,62069444;2,70516667
21087070;LG;585;18;-75,55558333;2,63061111
21087080;LG;575;18;-75,54430556;2,64380556
21087100;LM;20;18;-75,62691667;2,76852778
21097070;LG;431;22;-75,30852778;2,94261111
21097110;LG;565;73;-75,4;2,75
21097120;LG;460;73;-75,39638889;2,72841667
21107020;LM;740;20;-75,37427778;2,56638889
21107030;LM;126;20;-75,30155556;2,54477778
21117080;LM;650;22;-75,14966667;2,92111111
21117100;LG;128;22;-75,08883333;2,82744444
21127010;LM;535;26;-75,44333333;2,90408333
21127020;LM;866;26;-75,52105556;2,95425
