CODIGO;ELEVACION;CUENCA
11010010;98;199
11020010;1850;198
11020050;715;198
11030030;64;197
11030040;35;197
11035020;53;197
11040010;54;196
11050010;20;194
11050030;25;193
11050060;100;193
11060010;18;194
11070020;250;195
11070030;2150;195
11090010;50;189
11100020;11;191
11110010;1370;191
11110030;905;191
11110130;1500;191
11150010;11;183
11150020;2000;182
11150030;2000;183
12010010;20;179
12010030;18;179
12010050;15;179
12010060;10;179
12010070;18;179
12010090;4000;179
12010100;10;179
12010110;5000;178
12010120;130;179
12020010;10;178
12030010;4000;178
12030020;50;177
12040010;90;175
12040020;40;175
13030010;100;176
13050010;120;174
13050020;220;174
13050030;100;174
13060010;75;176
13060020;55;176
13060030;60;176
13070010;3000;174
13070020;20;174
13070040;19;174
13070050;20;174
13070070;20;174
13070090;60;174
13070100;140;174
13070110;40;174
13070120;95;174
13070170;9000;174
13070180;20;174
13070190;9000;174
13070280;10;174
13070290;20;174
13070390;25;174
13070430;50;174
13070440;40;168
13070450;75;168
13080010;50;174
13090010;1000;102
13090020;55;168
13090030;1000;168
13090040;100;168
13090060;100;168
13090070;2000;168
13090080;60;102
13090090;20;168
13090100;20;168
13090110;50;102
14010020;80;307
14010030;35;307
14010050;75;307
14010090;40;307
15010010;640;296
15010020;30;312
15010040;20;296
15010060;1100;296
15030010;5000;201
15050010;5000;186
15060010;10;186
15060020;93;202
15060040;900;202
15060050;420;202
15060060;300;202
15060080;230;202
15060150;350;202
15060180;680;202
15060270;120;202
15070010;30;187
15070020;39;187
15070060;40;185
15070070;65;187
15070080;35;185
15070090;65;187
15070100;5000;187
15070110;120;185
15070130;2000;187
15070140;3000;187
15070150;80;187
15070160;85;187
15070190;100;185
15070240;100;187
15080010;5000;185
15080040;145;185
15080070;115;185
15080090;2000;185
16010010;522;167
16010020;770;167
16010030;1275;167
16010040;72;167
16010060;87;167
16010100;1492;167
16010340;953;167
16020010;120;166
16020020;1020;166
16020030;411;166
16020040;1200;166
16020050;925;166
16020070;1280;166
16020080;1280;166
16020110;2875;166
16020130;74;166
16020140;150;166
16020180;300;166
16020190;250;166
16020250;70;166
16020280;221;166
16020340;100;167
16020370;50;166
16030030;40;154
16030070;1450;154
16030080;1200;154
16030090;1490;154
16030100;2240;154
16030140;100;154
16030150;90;154
16035010;50;154
16035030;320;154
16040010;1920;155
16040110;1300;165
16050020;360;165
16050030;1000;165
16050040;1000;165
16050060;1200;165
16050080;1250;165
16050100;1498;165
16050120;1700;165
16050130;1800;165
16050170;1545;165
16060010;75;132
16070010;50;131
16070040;150;131
17010020;2000;1
17020020;2000;2
17020030;12;2
17020040;95;2
21010020;1590;86
21010040;1334;86
21010050;1720;86
21010060;1763;21
21010100;1530;86
21010110;1265;86
21010120;1440;86
21010130;1660;86
21010140;1940;86
21010160;1724;86
21010170;1700;86
21010180;1700;86
21010190;1700;86
21010200;1800;86
21010210;1674;86
21010220;1625;21
21010230;1949;86
21020040;1017;84
21020050;1046;84
21030050;893;85
21030060;1345;85
21030080;1350;85
21030090;755;21
21030110;1190;85
21040020;2210;21
21040030;1614;21
21040050;830;21
21040060;805;21
21050060;1500;17
21050070;1439;17
21050090;1545;17
21050140;900;18
21050150;788;17
21050160;1745;17
21050170;1950;17
21050190;2220;17
21050220;1462;17
21050230;1595;17
21050240;1600;17
21050250;2235;17
21050290;825;17
21050310;2750;17
21060040;1330;19
21060050;1000;19
21060070;850;19
21060080;990;19
21060090;636;19
21060100;1460;19
21060110;721;19
21080020;1100;18
21080030;600;18
21080070;650;18
21080100;1800;18
21080140;1450;18
21090020;620;73
21090040;460;73
21090110;454;73
21100080;1525;20
21100130;1400;20
21100140;1380;20
21110040;548;22
21110070;615;22
21110090;400;22
21110120;400;22
21110140;1480;22
21110160;500;22
21110180;591;22
21110290;400;22
21110330;429;22
21110340;1500;22
21110350;1450;22
21110440;735;22
21120010;1300;26
21120040;850;26
21120090;700;26
21120100;1105;26
21130010;305;32
21130040;1140;32
21130050;450;32
21130060;2250;26
21130080;800;32
21130110;1085;32
21130180;500;32
21140010;584;29
21140020;1200;29
21140080;1049;29
21140100;368;29
21140110;444;29
21140120;1400;29
21140130;2000;29
21150030;290;60
21160030;448;44
21160040;378;44
21160050;827;44
21160070;136;44
21160080;337;44
21160120;3500;44
21160130;1335;44
21160140;1180;44
21160160;1388;44
21160170;140;44
21160180;1209;44
21160200;1613;44
21165030;394;44
21170020;3394;60
21170030;311;60
21170040;849;60
21180040;848;49
21180120;450;48
21180130;1500;49
21180160;319;49
21180210;582;49
21190060;1750;46
21190090;1900;46
21190110;1450;46
21190120;2800;46
21190130;3890;46
21190140;3870;46
21190170;1500;46
21190190;2590;46
21190210;322;46
21190230;1550;46
21190240;1450;46
21190270;2900;46
21190280;2800;46
21190290;321;46
21190310;1900;46
21190330;1950;46
21190350;2700;46
21190360;1380;46
21190410;1104;46
21190480;1600;46
21190490;1200;46
21200040;2600;47
21200080;3047;47
21200110;2750;47
21200120;3000;47
21200130;3000;47
21200160;2800;47
21200170;2600;47
21200190;3460;47
21200200;3150;47
21200230;2700;47
21200240;3250;47
21200250;3770;47
21200310;2691;47
21200320;3125;47
21200340;3056;47
21200390;1380;47
21200440;2703;47
21200500;2600;47
21200520;2630;47
21200550;2725;47
21200580;2592;47
21200590;2599;47
21200610;2586;47
21200620;2820;47
21200650;2597;47
21200660;2720;47
21200690;2610;47
21200700;1160;47
21200710;2606;47
21200720;1100;47
21200750;2603;47
21200770;2579;47
21200780;2780;47
21200830;1400;47
21200900;1260;47
21200990;2670;47
21201010;865;47
21201020;2728;47
21201040;2549;47
21201050;2750;47
21201070;2845;47
21201090;567;47
21201110;2647;47
21201120;3045;47
21201130;2595;47
21201140;2555;47
21201180;3000;47
21201190;3100;47
21201200;3320;47
21201210;2575;47
21201230;2520;47
21201240;2800;47
21201260;1350;46
21201280;3000;147
21201290;3430;147
21201300;3050;47
21201310;2650;47
21201320;2640;47
21201350;2600;147
21201360;2550;47
21201370;1250;47
21201410;2600;47
21201550;2560;47
21201580;30;47
21201610;2698;47
21201650;2750;47
21201730;2490;47
21201740;3260;47
21201750;2550;47
21201760;2680;47
21201830;790;47
21201840;2050;47
21201970;2665;47
21201990;2750;147
21202000;2780;147
21202090;2537;47
21202120;2545;47
21202150;1350;47
21210130;295;51
21210140;388;51
21210150;3280;51
21210170;2212;51
21210200;728;51
21220050;680;51
21230050;1070;50
21230060;289;50
21230070;1364;50
21230080;1300;50
21230090;235;50
21230120;1200;50
21240030;1980;55
21240070;1814;55
21250050;3150;56
21250070;472;56
21250100;331;56
21250170;3740;56
21250420;1350;56
21250450;389;56
21250460;430;56
21250470;1500;56
21250480;3371;56
21250500;1649;56
21250520;1200;56
22010010;1620;28
22010050;1530;28
22010070;1568;28
22020020;1793;27
22020030;1476;27
22020040;1737;30
22020050;732;27
22020060;2326;27
22020070;755;27
22050030;384;31
22050070;1679;30
22050080;1800;32
22050090;324;31
22050100;330;55
22050110;1500;32
22060070;388;43
22060080;976;36
22060090;450;43
22060100;3594;31
22060110;746;36
22060130;1600;43
22070010;2581;48
22070030;2606;48
23010020;1670;63
23010080;2508;63
23010100;1400;63
23020050;790;65
23020070;700;58
23020080;1974;58
23020090;1700;58
23020100;760;58
23020110;1860;63
23020130;3580;58
23040030;192;293
23040070;189;65
23040080;970;293
23040100;200;293
23040110;800;293
23050020;1975;65
23050030;1250;65
