N,CUENCA,CUENCA_IDEAM,Q_TIPO,Q_EST,Q_X,Q_Y,P_EST,P_X,P_Y,P_Influencia,TMN_EST,TMX_EST
1,1,4,QMED,26027240,-76.33677778,2.7075,26020460,-76.40466667,2.48758333,0.4454303689,26025090,26025100
2,1,4,QMED,26027240,-76.33677778,2.7075,26020130,-76.41880556,2.54183333,0.5545696311,26025090,26025100
3,2,15,QMAX,26057040,-76.62402778,3.1711111,26050060,-76.69611111,2.95455556,1,26025100,26025100
4,3,17,QMAX,21057060,-75.76,2.6,21050060,-75.97227778,2.19905556,0.1290648222,,
5,3,17,QMAX,21057060,-75.76,2.6,21050090,-75.8065,2.55144444,0.8709351778,,
6,4,24,QMAX,26137220,-75.60344444,4.2819444,26130020,-75.55805556,4.84416667,1,,
7,5,27,QMED,22027020,-75.65569444,3.2605556,22020050,-75.6045,3.39522222,1,,
8,6,28,QMED,22017010,-75.66694444,3.7188889,22020050,-75.6045,3.39522222,1,,
9,7,30,QMED,22057040,-75.30605556,3.7416667,22020050,-75.6045,3.39522222,1,,
10,8,36,QMED,22047010,-75.44622222,3.5863889,22060110,-75.42355556,3.71772222,1,,
11,9,42,QMED,35077080,-73.46263889,4.8458333,35070100,-73.43305556,4.98347222,1,,
12,10,44,QMED,21167080,-74.82644444,3.2519444,21160160,-74.79972222,3.62055556,0.5538386305,21165010,
13,10,44,QMED,21167080,-74.82644444,3.2519444,21160170,-74.79083333,3.70933333,0.4461613695,21165010,
14,11,46,QMED,21197010,-74.50444444,4.1169444,21190350,-74.35975,4.15247222,1,,
15,12,51,QMAX,21217200,-75.20655556,4.0061111,21210200,-75.07344444,4.33513889,1,21185080,
16,13,65,QMAX,23057140,-74.72583333,5.3102778,23050100,-74.72608333,5.73075,0.3403021114,23055040,23055040
17,13,65,QMAX,23057140,-74.72583333,5.3102778,23040070,-74.94197222,5.32841667,0.6596978886,23055040,23055040
18,14,69,QMED,24027010,-73.12805556,6.4666667,24020130,-73.05611111,6.59825,0.1451900666,,
19,14,69,QMED,24027010,-73.12805556,6.4666667,24020080,-73.14277778,6.44111111,0.7382706192,,
20,14,69,QMED,24027010,-73.12805556,6.4666667,24020120,-73.04472222,6.29944444,0.1165393143,,
21,15,72,QMED,23147020,-73.935,6.7361111,23160010,-73.94416667,7.08944444,0.6051442304,,
