year;month;mc;v_flow_mean;v_rainfall_total
2000;1;25;9.29;183.54
2000;2;25;6.78;49.00
2000;3;25;5.63;72.00
2000;4;25;6.37;0.00
2000;5;25;6.04;43.25
2000;6;25;5.28;99.75
2000;7;25;3.10;67.00
2000;8;25;3.12;44.75
2000;9;25;9.81;148.96
2000;10;25;8.80;375.29
2000;11;25;9.03;281.42
2000;12;25;4.43;112.58
2001;1;25;3.33;0.00
2001;2;25;2.72;77.00
2001;3;25;3.81;0.00
2001;4;25;3.43;0.00
2001;5;25;6.70;7.00
2001;6;25;3.35;71.00
2001;7;25;3.28;0.00
2001;8;25;2.72;35.00
2001;9;25;4.48;0.00
2001;10;25;7.11;245.00
2001;11;25;7.66;323.00
2001;12;25;6.61;154.00
2002;1;25;4.14;70.00
2002;2;25;3.43;46.00
2002;3;25;4.44;15.00
2002;4;25;6.20;91.00
2002;5;25;7.97;175.00
2002;6;25;9.54;477.00
2002;7;25;4.68;210.00
2002;8;25;3.75;7.00
2002;9;25;5.61;127.00
2002;10;25;5.92;181.00
2002;11;25;5.08;378.00
2002;12;25;4.54;36.00
2003;1;25;3.61;82.00
2003;2;25;3.29;80.00
2003;3;25;4.13;1.00
2003;4;25;11.75;126.00
2003;5;25;6.26;587.00
2003;6;25;6.38;109.00
2003;7;25;4.44;152.00
2003;8;25;5.06;19.12
2003;9;25;7.42;113.88
2003;10;25;12.90;231.00
2003;11;25;15.08;479.92
2003;12;25;14.67;337.96
2004;1;25;10.31;112.13
2004;2;25;8.02;7.00
2004;3;25;7.09;2.00
2004;4;25;10.49;11.42
2004;5;25;11.67;66.58
2004;6;25;7.36;106.00
2004;7;25;6.25;0.00
2004;8;25;5.27;54.00
2004;9;25;9.28;30.00
2004;10;25;13.10;366.00
2004;11;25;15.30;305.67
2004;12;25;8.39;27.33
2005;1;25;6.91;8.00
2005;2;25;6.66;75.00
2005;3;25;5.01;50.00
2005;4;25;6.30;0.00
2005;5;25;12.16;146.83
2005;6;25;13.31;225.17
2005;7;25;8.48;151.54
2005;8;25;6.25;112.46
2005;9;25;7.36;3.00
2005;10;25;15.06;110.83
2005;11;25;22.14;431.17
2005;12;25;12.49;412.42
2006;1;25;9.48;31.58
2006;2;25;7.88;69.00
2006;3;25;9.83;8.00
2006;4;25;16.68;64.00
2006;5;25;18.54;188.62
2006;6;25;10.07;170.38
2006;7;25;7.46;40.00
2006;8;25;7.20;12.00
2006;9;25;7.32;55.00
2006;10;25;10.03;139.62
2006;11;25;10.68;377.75
2006;12;25;8.44;323.63
2007;1;25;6.60;0.00
2007;2;25;5.81;0.00
