year;month;mc;v_flow_mean;v_rainfall_total;
2000;1;29;51.10;896.00;
2000;2;29;84.10;347.75;
2000;3;29;65.40;792.25;
2000;4;29;79.30;735.00;
2000;5;29;99.80;901.33;
2000;6;29;57.30;1138.37;
2000;7;29;74.90;783.00;
2000;8;29;71.10;1259.29;
2000;9;29;74.50;770.00;
2000;10;29;79.50;1018.33;
2000;11;29;71.00;1080.67;
2000;12;29;53.50;1437.00;
2001;1;29;51.40;726.54;
2001;2;29;38.70;286.25;
2001;3;29;66.40;226.58;
2001;4;29;44.50;423.63;
2001;5;29;95.00;690.71;
2001;6;29;50.10;1499.04;
2001;7;29;82.90;816.25;
2001;8;29;76.40;969.67;
2001;9;29;62.70;1178.12;
2001;10;29;50.90;26.21;
2001;11;29;90.90;0.00;
2001;12;29;73.20;0.00;
2002;1;29;49.90;326.04;
2002;2;29;60.10;510.17;
2002;3;29;52.70;378.79;
2002;4;29;73.50;323.29;
2002;5;29;64.00;574.71;
2002;6;29;64.00;539.75;
2002;7;29;63.90;654.25;
2002;8;29;75.00;729.00;
2002;9;29;43.40;840.25;
2002;10;29;74.30;581.62;
2002;11;29;64.40;741.13;
2002;12;29;79.40;747.75;
2003;1;29;68.60;1014.25;
2003;2;29;60.60;512.50;
2003;3;29;83.20;433.60;
2003;4;29;43.00;401.40;
2003;5;29;86.00;403.00;
2003;6;29;54.50;821.25;
2003;7;29;59.40;433.95;
2003;8;29;53.10;649.60;
2003;9;29;69.60;553.98;
2003;10;29;78.20;854.81;
2003;11;29;39.10;783.91;
2003;12;29;46.80;768.05;
2004;1;29;43.83;802.65;
2004;2;29;44.63;453.22;
2004;3;29;36.80;422.80;
2004;4;29;34.07;463.07;
2004;5;29;50.04;532.14;
2004;6;29;43.05;828.15;
2004;7;29;49.63;992.54;
2004;8;29;40.12;735.87;
2004;9;29;41.47;532.20;
2004;10;29;42.40;724.40;
2004;11;29;42.71;882.30;
2004;12;29;45.24;650.77;
2005;1;29;52.73;670.13;
2005;2;29;31.83;845.21;
2005;3;29;45.43;412.57;
2005;4;29;38.72;666.16;
2005;5;29;37.78;673.87;
2005;6;29;62.82;912.14;
2005;7;29;54.90;610.00;
2005;8;29;50.53;925.15;
2005;9;29;51.91;766.02;
2005;10;29;42.83;810.96;
2005;11;29;60.44;684.65;
2005;12;29;32.28;695.46;
2006;1;29;52.62;722.29;
2006;2;29;37.67;655.13;
2006;3;29;56.91;540.32;
2006;4;29;45.14;814.93;
2006;5;29;52.18;492.69;
2006;6;29;56.21;735.55;
2006;7;29;72.05;758.09;
2006;8;29;74.99;898.05;
2006;9;29;61.38;650.40;
2006;10;29;67.32;609.15;
2006;11;29;66.87;757.30;
2006;12;29;65.17;716.40;
2007;1;29;46.43;712.67;
2007;2;29;40.50;350.95;
2007;3;29;61.58;418.28;
2007;4;29;85.18;706.70;
2007;5;29;60.65;1150.06;
2007;6;29;51.48;670.80;
2007;7;29;62.19;767.27;
2007;8;29;88.49;534.67;
2007;9;29;79.63;930.70;
2007;10;29;51.23;788.19;
2007;11;29;60.04;549.68;
2007;12;29;61.59;1048.53;
2008;1;29;47.13;766.65;
2008;2;29;50.41;594.22;
2008;3;29;56.24;486.33;
2008;4;29;63.60;697.80;
2008;5;29;64.71;852.70;
2008;6;29;76.64;1347.77;
2008;7;29;67.77;1065.62;
2008;8;29;77.09;1007.67;
2008;9;29;57.03;939.83;
2008;10;29;40.22;575.10;
2008;11;29;68.58;608.20;
2008;12;29;43.10;1054.40;
2009;1;29;53.93;914.99;
2009;2;29;71.86;903.75;
2009;3;29;61.92;736.42;
2009;4;29;58.68;779.43;
2009;5;29;53.47;626.84;
2009;6;29;77.84;489.86;
2009;7;29;81.78;687.95;
2009;8;29;60.37;1000.81;
2009;9;29;52.85;887.74;
2009;10;29;73.08;867.99;
2009;11;29;48.26;792.80;
2009;12;29;49.40;588.17;
2010;1;29;41.63;452.25;
2010;2;29;49.76;383.43;
2010;3;29;60.37;628.55;
2010;4;29;56.45;838.70;
2010;5;29;55.62;800.08;
2010;6;29;46.00;752.17;
2010;7;29;72.22;622.02;
2010;8;29;66.82;951.83;
2010;9;29;40.11;992.33;
2010;10;29;70.39;598.75;
2010;11;29;77.73;1005.21;
2010;12;29;71.72;1083.57;
2011;1;29;77.17;885.92;
2011;2;29;38.12;981.62;
2011;3;29;47.94;464.97;
2011;4;29;57.36;481.61;
2011;5;29;53.19;719.80;
2011;6;29;65.17;942.87;
2011;7;29;54.11;992.89;
2011;8;29;54.10;767.70;
2011;9;29;56.55;700.35;
2011;10;29;54.95;664.83;
2011;11;29;60.48;907.70;
2011;12;29;57.24;868.32;
2012;1;29;84.14;1098.43;
2012;2;29;47.25;963.38;
2012;3;29;43.59;610.43;
2012;4;29;38.36;992.00;
2012;5;29;83.04;623.69;
2012;6;29;52.35;754.51;
2012;7;29;29.77;599.90;
2012;8;29;65.20;404.30;
2012;9;29;61.48;676.50;
2012;10;29;51.96;819.40;
2012;11;29;67.71;681.10;
2012;12;29;55.91;794.17;
2013;1;29;38.13;715.08;
2013;2;29;67.75;445.18;
2013;3;29;57.73;640.60;
