year;month;mc;v_flow_mean;v_rainfall_total
2000;1;33;14.71;555.69
2000;2;33;8.97;480.77
2000;3;33;9.21;234.97
2000;4;33;7.65;253.60
2000;5;33;5.66;232.08
2000;6;33;5.31;207.20
2000;7;33;3.75;169.33
2000;8;33;2.83;91.12
2000;9;33;1.70;24.76
2000;10;33;1.57;138.90
2000;11;33;2.24;285.10
2000;12;33;2.97;153.50
2001;1;33;2.45;410.40
2001;2;33;1.37;174.65
2001;3;33;1.75;114.55
2001;4;33;1.22;171.08
2001;5;33;1.60;60.17
2001;6;33;1.23;241.74
2001;7;33;0.97;42.92
2001;8;33;0.73;52.19
2001;9;33;1.17;4.20
2001;10;33;1.32;317.81
2001;11;33;3.56;141.09
2001;12;33;6.76;447.73
2002;1;33;5.08;322.05
2002;2;33;1.89;278.72
2002;3;33;2.53;218.90
2002;4;33;2.37;218.98
2002;5;33;1.66;277.52
2002;6;33;1.32;110.70
2002;7;33;0.88;102.70
2002;8;33;0.72;27.80
2002;9;33;0.69;76.29
2002;10;33;1.35;96.01
2002;11;33;3.25;371.62
2002;12;33;4.08;239.63
2003;1;33;2.31;343.65
2003;2;33;2.19;71.29
2003;3;33;2.61;153.55
2003;4;33;3.20;217.92
2003;5;33;4.02;204.30
2003;6;33;3.93;205.19
2003;7;33;2.39;120.10
2003;8;33;1.20;47.56
2003;9;33;1.12;15.60
2003;10;33;3.23;84.23
2003;11;33;5.51;511.67
2003;12;33;5.54;390.50
2004;1;33;7.51;276.71
2004;2;33;3.94;348.39
2004;3;33;3.83;92.53
2004;4;33;3.88;278.84
2004;5;33;3.13;258.94
2004;6;33;1.97;218.17
2004;7;33;1.52;33.82
2004;8;33;1.17;82.00
2004;9;33;1.10;6.10
2004;10;33;3.18;122.40
2004;11;33;4.67;427.40
2004;12;33;5.19;353.35
2005;1;33;6.40;307.75
2005;2;33;7.91;505.08
2005;3;33;5.32;299.13
2005;4;33;3.31;269.59
2005;5;33;2.93;277.20
2005;6;33;1.72;219.03
2005;7;33;1.21;66.97
2005;8;33;0.89;48.50
2005;9;33;0.92;43.00
2005;10;33;2.26;132.20
2005;11;33;5.45;339.23
2005;12;33;10.92;356.86
2006;1;33;6.25;517.21
2006;2;33;5.26;311.70
2006;3;33;3.19;248.28
2006;4;33;3.77;196.01
2006;5;33;3.54;383.12
2006;6;33;2.80;222.49
2006;7;33;1.38;198.91
2006;8;33;0.99;29.60
2006;9;33;0.80;7.90
2006;10;33;1.15;35.77
2006;11;33;4.09;319.31
2006;12;33;7.97;582.85
2007;1;33;4.12;556.66
2007;2;33;2.99;243.52
2007;3;33;2.83;101.40
2007;4;33;3.50;241.95
2007;5;33;3.46;246.64
2007;6;33;2.74;395.85
2007;7;33;1.61;97.35
2007;8;33;1.26;89.90
2007;9;33;1.03;50.30
2007;10;33;2.73;7.50
2007;11;33;4.44;377.30
2007;12;33;11.14;341.57
2008;1;33;9.61;546.54
2008;2;33;7.22;544.69
2008;3;33;5.54;320.59
2008;4;33;4.45;343.90
2008;5;33;4.36;270.36
2008;6;33;3.33;257.73
2008;7;33;1.92;155.84
2008;8;33;1.61;59.20
2008;9;33;1.28;99.84
2008;10;33;3.93;61.33
2008;11;33;5.61;357.54
2008;12;33;9.99;182.54
2009;1;33;5.52;555.17
2009;2;33;5.94;366.82
2009;3;33;6.92;303.63
2009;4;33;6.72;306.70
2009;5;33;1.93;205.27
2009;6;33;1.45;111.23
2009;7;33;1.08;172.60
2009;8;33;0.93;26.10
2009;9;33;0.88;53.10
2009;10;33;0.94;80.20
2009;11;33;2.92;219.75
2009;12;33;5.08;422.91
2010;1;33;2.91;303.35
2010;2;33;2.62;93.30
2010;3;33;2.17;190.60
2010;4;33;5.78;58.63
2010;5;33;5.17;348.21
2010;6;33;6.88;290.17
2010;7;33;8.54;122.49
2010;8;33;7.57;297.59
2010;9;33;7.04;59.15
2010;10;33;9.35;113.13
2010;11;33;13.02;404.62
2010;12;33;11.72;587.18
2011;1;33;8.52;600.63
2011;2;33;8.58;236.51
2011;3;33;9.37;438.65
2011;4;33;7.72;388.43
2011;5;33;4.11;442.82
2011;6;33;3.64;200.62
2011;7;33;2.83;137.60
2011;8;33;2.60;102.57
