cod_ah;cod_szh;cod_zh;nom_ah;nom_szh;nom_zh;objectid_1;ruleid;shape_area;shape_leng;HISTO_0;HISTO_1;HISTO_2;HISTO_3;HISTO_4;HISTO_5;HISTO_6;HISTO_7;HISTO_8;HISTO_9;HISTO_10;HISTO_11;HISTO_12;HISTO_13;HISTO_14;HISTO_15;HISTO_16;HISTO_17;HISTO_18;HISTO_19;Area Cuenca (ha);FCL 2001 (ha);FCL 2002 (ha);FCL 2003 (ha);FCL 2004 (ha);FCL 2005 (ha);FCL 2006 (ha);FCL 2007 (ha);FCL 2008 (ha);FCL 2009 (ha);FCL 2010 (ha);FCL 2011 (ha);FCL 2012 (ha);FCL 2013 (ha);FCL 2014 (ha);FCL 2015 (ha);FCL 2016 (ha);FCL 2017 (ha);FCL 2018 (ha);FCL 2019 (ha);FCL 2001 (%);FCL 2002 (%);FCL 2003 (%);FCL 2004 (%);FCL 2005 (%);FCL 2006 (%);FCL 2007 (%);FCL 2008 (%);FCL 2009 (%);FCL 2010 (%);FCL 2011 (%);FCL 2012 (%);FCL 2013 (%);FCL 2014 (%);FCL 2015 (%);FCL 2016 (%);FCL 2017 (%);FCL 2018 (%);FCL 2019 (%);FCL 2001 (% acum);FCL 2002 (% acum);FCL 2003 (% acum);FCL 2004 (% acum);FCL 2005 (% acum);FCL 2006 (% acum);FCL 2007 (% acum);FCL 2008 (% acum);FCL 2009 (% acum);FCL 2010 (% acum);FCL 2011 (% acum);FCL 2012 (% acum);FCL 2013 (% acum);FCL 2014 (% acum);FCL 2015 (% acum);FCL 2016 (% acum);FCL 2017 (% acum);FCL 2018 (% acum);FCL 2019 (% acum)
1;1701;17;Caribe;San Andres;Islas Caribe;1;2;0.002232222;0.358010867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2683.774;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%
1;1702;17;Caribe;Providencia;Islas Caribe;2;2;0.001841503;0.294392564;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2207.014;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%
1;1703;17;Caribe;Roncador y Quitasue?o;Islas Caribe;3;2;0.002259971;0.341056312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2696.73;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%;0.000%
2;2602;26;Magdalena Cauca;R?o Palac?;Cauca;4;3;0.075833975;1.709663012;1122387;8104;3127;3625;4918;6631;4022;3285;4008;6814;3701;8854;10564;1733;3391;2289;2749;7217;3066;2882;93254.343;618.15;238.52;276.51;375.13;505.80;306.79;250.57;305.72;519.76;282.30;675.36;805.80;132.19;258.66;174.60;209.69;550.50;233.87;219.83;0.663%;0.256%;0.297%;0.402%;0.542%;0.329%;0.269%;0.328%;0.557%;0.303%;0.724%;0.864%;0.142%;0.277%;0.187%;0.225%;0.590%;0.251%;0.236%;0.663%;0.919%;1.215%;1.617%;2.160%;2.489%;2.757%;3.085%;3.643%;3.945%;4.670%;5.534%;5.675%;5.953%;6.140%;6.365%;6.955%;7.206%;7.442%
2;2606;26;Magdalena Cauca;R?o Ovejas;Cauca;5;3;0.075014629;1.398527683;1136949;6565;3532;1636;3837;3662;2644;1091;3172;3616;841;7522;6728;1605;2285;1069;2990;5887;720;3885;92229.766;500.76;269.41;124.79;292.68;279.33;201.68;83.22;241.95;275.82;64.15;573.76;513.20;122.43;174.29;81.54;228.07;449.05;54.92;296.34;0.543%;0.292%;0.135%;0.317%;0.303%;0.219%;0.090%;0.262%;0.299%;0.070%;0.622%;0.556%;0.133%;0.189%;0.088%;0.247%;0.487%;0.060%;0.321%;0.543%;0.835%;0.970%;1.288%;1.591%;1.809%;1.899%;2.162%;2.461%;2.530%;3.153%;3.709%;3.842%;4.031%;4.119%;4.366%;4.853%;4.913%;5.234%
2;2604;26;Magdalena Cauca;R?o Palo;Cauca;6;3;0.134114819;2.115093657;2101529;6412;2020;1518;3566;4255;2295;1273;3046;3442;1073;2835;8261;945;1317;258;409;481;377;472;164855.304;489.09;154.08;115.79;272.01;324.56;175.06;97.10;232.34;262.55;81.85;216.25;630.13;72.08;100.46;19.68;31.20;36.69;28.76;36.00;0.297%;0.093%;0.070%;0.165%;0.197%;0.106%;0.059%;0.141%;0.159%;0.050%;0.131%;0.382%;0.044%;0.061%;0.012%;0.019%;0.022%;0.017%;0.022%;0.297%;0.390%;0.460%;0.625%;0.822%;0.928%;0.987%;1.128%;1.288%;1.337%;1.468%;1.851%;1.894%;1.955%;1.967%;1.986%;2.008%;2.026%;2.048%
2;2607;26;Magdalena Cauca;R?o Guachal (Bolo - Fraile y P?rraga);Cauca;7;3;0.096384344;1.672267214;1507596;4895;2095;589;4242;1852;1703;1152;2653;2632;1359;2114;3531;1314;2770;278;829;129;79;308;118436.221;373.38;159.80;44.93;323.57;141.27;129.90;87.87;202.36;200.76;103.66;161.25;269.34;100.23;211.29;21.21;63.23;9.84;6.03;23.49;0.315%;0.135%;0.038%;0.273%;0.119%;0.110%;0.074%;0.171%;0.170%;0.088%;0.136%;0.227%;0.085%;0.178%;0.018%;0.053%;0.008%;0.005%;0.020%;0.315%;0.450%;0.488%;0.761%;0.881%;0.990%;1.064%;1.235%;1.405%;1.492%;1.629%;1.856%;1.941%;2.119%;2.137%;2.190%;2.199%;2.204%;2.223%
2;2632;26;Magdalena Cauca;R?os Guabas,Sabaletas y Sonso;Cauca;8;3;0.045246401;1.027299665;696883;2383;705;546;1902;1896;3198;708;2702;2741;835;2420;1417;829;1186;401;1849;730;118;455;55577.483;181.77;53.78;41.65;145.08;144.62;243.94;54.00;206.10;209.08;63.69;184.59;108.09;63.23;90.47;30.59;141.04;55.68;9.00;34.71;0.327%;0.097%;0.075%;0.261%;0.260%;0.439%;0.097%;0.371%;0.376%;0.115%;0.332%;0.194%;0.114%;0.163%;0.055%;0.254%;0.100%;0.016%;0.062%;0.327%;0.424%;0.499%;0.760%;1.020%;1.459%;1.556%;1.927%;2.303%;2.418%;2.750%;2.944%;3.058%;3.221%;3.276%;3.530%;3.630%;3.646%;3.709%
2;2609;26;Magdalena Cauca;R?os Amaime y Cerrito;Cauca;9;3;0.091403291;1.708338121;1419655;4810;1472;785;4039;2936;2145;1115;3433;5361;2209;3117;2623;1172;2285;343;1415;1667;488;1364;112291.524;366.90;112.28;59.88;308.09;223.95;163.62;85.05;261.86;408.92;168.50;237.76;200.08;89.40;174.29;26.16;107.93;127.15;37.22;104.04;0.327%;0.100%;0.053%;0.274%;0.199%;0.146%;0.076%;0.233%;0.364%;0.150%;0.212%;0.178%;0.080%;0.155%;0.023%;0.096%;0.113%;0.033%;0.093%;0.327%;0.427%;0.480%;0.754%;0.954%;1.100%;1.175%;1.408%;1.773%;1.923%;2.134%;2.313%;2.392%;2.547%;2.571%;2.667%;2.780%;2.813%;2.906%
2;2633;26;Magdalena Cauca;R?os Guadalajara y San Pedro;Cauca;10;3;0.037664205;1.341141822;586883;1326;714;370;1667;1106;892;419;540;826;632;1025;1753;649;2513;247;466;293;80;219;46254.834;101.14;54.46;28.22;127.15;84.36;68.04;31.96;41.19;63.01;48.21;78.18;133.71;49.50;191.69;18.84;35.55;22.35;6.10;16.70;0.219%;0.118%;0.061%;0.275%;0.182%;0.147%;0.069%;0.089%;0.136%;0.104%;0.169%;0.289%;0.107%;0.414%;0.041%;0.077%;0.048%;0.013%;0.036%;0.219%;0.336%;0.397%;0.672%;0.855%;1.002%;1.071%;1.160%;1.296%;1.400%;1.569%;1.859%;1.966%;2.380%;2.421%;2.498%;2.546%;2.559%;2.595%
