CUENCA;A;Sm;FCL 2001 (ha);FCL 2002 (ha);FCL 2003 (ha);FCL 2004 (ha);FCL 2005 (ha);FCL 2006 (ha);FCL 2007 (ha);FCL 2008 (ha);FCL 2009 (ha);FCL 2010 (ha);FCL 2011 (ha);FCL 2012 (ha);FCL 2013 (ha);FCL 2014 (ha);FCL 2015 (ha);FCL 2016 (ha);FCL 2017 (ha);FCL 2018 (ha);FCL 2019 (ha); ;FCL 2001 (%);FCL 2002 (%);FCL 2003 (%);FCL 2004 (%);FCL 2005 (%);FCL 2006 (%);FCL 2007 (%);FCL 2008 (%);FCL 2009 (%);FCL 2010 (%);FCL 2011 (%);FCL 2012 (%);FCL 2013 (%);FCL 2014 (%);FCL 2015 (%);FCL 2016 (%);FCL 2017 (%);FCL 2018 (%);FCL 2019 (%);;FCL 2001 (% acum);FCL 2002 (% acum);FCL 2003 (% acum);FCL 2004 (% acum);FCL 2005 (% acum);FCL 2006 (% acum);FCL 2007 (% acum);FCL 2008 (% acum);FCL 2009 (% acum);FCL 2010 (% acum);FCL 2011 (% acum);FCL 2012 (% acum);FCL 2013 (% acum);FCL 2014 (% acum);FCL 2015 (% acum);FCL 2016 (% acum);FCL 2017 (% acum);FCL 2018 (% acum);FCL 2019 (% acum)
1;2683,774;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.
2;2207,014;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.
3;2696,73;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.
4;93254,343;21,44;618,15;238,52;276,51;375,13;505,80;306,79;250,57;305,72;519,76;282,30;675,36;805,80;132,19;258,66;174,60;209,69;550,50;233,87;219,83;;0,00663;0,00256;0,00297;0,00402;0,00542;0,00329;0,00269;0,00328;0,00557;0,00303;0,00724;0,00864;0,00142;0,00277;0,00187;0,00225;0,00590;0,00251;0,00236;;0,00663;0,00919;0,01215;0,01617;0,02160;0,02489;0,02757;0,03085;0,03643;0,03945;0,04670;0,05534;0,05675;0,05953;0,06140;0,06365;0,06955;0,07206;0,07442
5;92229,766;28,56;500,76;269,41;124,79;292,68;279,33;201,68;83,22;241,95;275,82;64,15;573,76;513,20;122,43;174,29;81,54;228,07;449,05;54,92;296,34;;0,00543;0,00292;0,00135;0,00317;0,00303;0,00219;0,00090;0,00262;0,00299;0,00070;0,00622;0,00556;0,00133;0,00189;0,00088;0,00247;0,00487;0,00060;0,00321;;0,00543;0,00835;0,00970;0,01288;0,01591;0,01809;0,01899;0,02162;0,02461;0,02530;0,03153;0,03709;0,03842;0,04031;0,04119;0,04366;0,04853;0,04913;0,05234
6;164855,304;35,61;489,09;154,08;115,79;272,01;324,56;175,06;97,10;232,34;262,55;81,85;216,25;630,13;72,08;100,46;19,68;31,20;36,69;28,76;36,00;;0,00297;0,00093;0,00070;0,00165;0,00197;0,00106;0,00059;0,00141;0,00159;0,00050;0,00131;0,00382;0,00044;0,00061;0,00012;0,00019;0,00022;0,00017;0,00022;;0,00297;0,00390;0,00460;0,00625;0,00822;0,00928;0,00987;0,01128;0,01288;0,01337;0,01468;0,01851;0,01894;0,01955;0,01967;0,01986;0,02008;0,02026;0,02048
7;118436,221;22,62;373,38;159,80;44,93;323,57;141,27;129,90;87,87;202,36;200,76;103,66;161,25;269,34;100,23;211,29;21,21;63,23;9,84;6,03;23,49;;0,00315;0,00135;0,00038;0,00273;0,00119;0,00110;0,00074;0,00171;0,00170;0,00088;0,00136;0,00227;0,00085;0,00178;0,00018;0,00053;0,00008;0,00005;0,00020;;0,00315;0,00450;0,00488;0,00761;0,00881;0,00990;0,01064;0,01235;0,01405;0,01492;0,01629;0,01856;0,01941;0,02119;0,02137;0,02190;0,02199;0,02204;0,02223
8;55577,483;25,44;181,77;53,78;41,65;145,08;144,62;243,94;54,00;206,10;209,08;63,69;184,59;108,09;63,23;90,47;30,59;141,04;55,68;9,00;34,71;;0,00327;0,00097;0,00075;0,00261;0,00260;0,00439;0,00097;0,00371;0,00376;0,00115;0,00332;0,00194;0,00114;0,00163;0,00055;0,00254;0,00100;0,00016;0,00062;;0,00327;0,00424;0,00499;0,00760;0,01020;0,01459;0,01556;0,01927;0,02303;0,02418;0,02750;0,02944;0,03058;0,03221;0,03276;0,03530;0,03630;0,03646;0,03709
9;112291,524;30,64;366,90;112,28;59,88;308,09;223,95;163,62;85,05;261,86;408,92;168,50;237,76;200,08;89,40;174,29;26,16;107,93;127,15;37,22;104,04;;0,00327;0,00100;0,00053;0,00274;0,00199;0,00146;0,00076;0,00233;0,00364;0,00150;0,00212;0,00178;0,00080;0,00155;0,00023;0,00096;0,00113;0,00033;0,00093;;0,00327;0,00427;0,00480;0,00754;0,00954;0,01100;0,01175;0,01408;0,01773;0,01923;0,02134;0,02313;0,02392;0,02547;0,02571;0,02667;0,02780;0,02813;0,02906
10;46254,834;18,46;101,14;54,46;28,22;127,15;84,36;68,04;31,96;41,19;63,01;48,21;78,18;133,71;49,50;191,69;18,84;35,55;22,35;6,10;16,70;;0,00219;0,00118;0,00061;0,00275;0,00182;0,00147;0,00069;0,00089;0,00136;0,00104;0,00169;0,00289;0,00107;0,00414;0,00041;0,00077;0,00048;0,00013;0,00036;;0,00219;0,00336;0,00397;0,00672;0,00855;0,01002;0,01071;0,01160;0,01296;0,01400;0,01569;0,01859;0,01966;0,02380;0,02421;0,02498;0,02546;0,02559;0,02595
