,Macrocuenca,Departamento,Nombre Región Hidrológica,Nombre Zona Hidrológica,Nombre Subzona Hidrológica,Área cuenca (ha),Pendiente Media de la cuenca (%),Elevación Máxima (m.s.n.m.),Elevación Mínima (m.s.n.m.),FCL (ha) 2001,FCL (ha) 2002,FCL (ha) 2003,FCL (ha) 2004,FCL (ha) 2005,FCL (ha) 2006,FCL (ha) 2007,FCL (ha) 2008,FCL (ha) 2009,FCL (ha) 2010,FCL (ha) 2011,FCL (ha) 2012,FCL (ha) 2013,FCL (ha) 2014,FCL (ha) 2015,FCL (ha) 2016,FCL (ha) 2017,FCL (ha) 2018,FCL (ha) 2019,FCL (%) 2001,FCL (%) 2002,FCL (%) 2003,FCL (%) 2004,FCL (%) 2005,FCL (%) 2006,FCL (%) 2007,FCL (%) 2008,FCL (%) 2009,FCL (%) 2010,FCL (%) 2011,FCL (%) 2012,FCL (%) 2013,FCL (%) 2014,FCL (%) 2015,FCL (%) 2016,FCL (%) 2017,FCL (%) 2018,FCL (%) 2019
0,1,Cauca,Magdalena Cauca,Cauca,Río Purace,93254.34,21.44,3477,1321,618.15,238.52,276.51,375.13,505.8,306.79,250.57,305.72,519.76,282.3,675.36,805.8,132.19,258.66,174.6,209.69,550.5,233.87,219.83,0.00663,0.00256,0.00297,0.00402,0.00542,0.00329,0.0026899999999999997,0.00328,0.00557,0.00303,0.007240000000000001,0.00864,0.0014199999999999998,0.00277,0.00187,0.00225,0.0059,0.00251,0.00236
1,2,Cauca,Magdalena Cauca,Cauca,Río Timba,48385.42,41.11,2588,986,140.66,113.42,49.43,91.99,134.71,154.46,64.91,170.25,138.14,73.3,165.45,210.3,110.91,147.9,70.94,191.69,288.71,121.43,246.61,0.0029100000000000003,0.00234,0.0010199999999999999,0.0019,0.00278,0.0031899999999999997,0.00134,0.00352,0.00285,0.00151,0.0034200000000000003,0.00435,0.00229,0.0030600000000000002,0.00147,0.00396,0.0059700000000000005,0.00251,0.0051
2,3,Cauca,Magdalena Cauca,Alto Magdalena,Río Páez,519749.96,40.32,3520,627,639.28,779.41,287.34,390.39,869.87,415.26,926.77,877.42,895.12,826.09,638.67,1373.68,263.16,376.81,98.32,444.32,1977.96,475.21,546.99,0.00123,0.0015,0.00055,0.00075,0.0016699999999999998,0.0008,0.0017800000000000001,0.0016899999999999999,0.00172,0.00159,0.00123,0.00264,0.0005099999999999999,0.00072,0.00018999999999999998,0.00085,0.00381,0.00091,0.00105
3,4,Risaralda,Magdalena Cauca,Cauca,Río Otún,122009.79,31.71,4284,838,589.24,622.04,286.12,621.97,488.33,502.67,390.54,349.28,468.19,324.1,847.67,461.71,201.91,367.58,196.41,691.38,1144.7,590.62,474.98,0.00483,0.0051,0.00235,0.0051,0.004,0.00412,0.0032,0.00286,0.0038399999999999997,0.00266,0.00695,0.0037799999999999995,0.00165,0.00301,0.00161,0.0056700000000000006,0.00938,0.00484,0.00389
4,5,Tolima ,Magdalena Cauca,Saldaña,Río Atá,153380.88,49.36,3908,623,239.82,304.96,118.69,310.22,367.43,153.55,298.93,268.42,268.34,220.59,347.52,587.87,96.57,136.54,51.87,119.68,350.8,144.32,288.63,0.00156,0.00199,0.0007700000000000001,0.00202,0.0024,0.001,0.00195,0.00175,0.00175,0.00144,0.00227,0.0038299999999999996,0.00063,0.0008900000000000001,0.00033999999999999997,0.00078,0.00229,0.0009400000000000001,0.0018800000000000002
5,6,Tolima ,Magdalena Cauca,Saldaña,Alto Saldaña,258146.1,56.41,3554,683,376.66,422.88,187.95,244.93,237.91,141.65,290.24,289.17,325.78,240.58,292.68,306.25,204.81,152.56,83.22,171.7,672.31,141.27,286.65,0.00146,0.00164,0.00073,0.00095,0.0009199999999999999,0.00055,0.00112,0.00112,0.00126,0.00093,0.0011300000000000001,0.00119,0.00079,0.00059,0.00032,0.00067,0.0026,0.00055,0.0011099999999999999
6,7,Tolima ,Magdalena Cauca,Saldaña,Medio Saldaña,60384.72,34.02,1704,448,96.11,77.65,25.48,93.82,121.13,100.08,88.18,92.68,141.34,64.23,145.69,309.23,49.35,94.05,70.33,99.01,112.97,91.3,109.31,0.00159,0.0012900000000000001,0.00042,0.00155,0.00201,0.0016600000000000002,0.00146,0.0015300000000000001,0.00234,0.00106,0.0024100000000000002,0.00512,0.00082,0.00156,0.00116,0.00164,0.00187,0.00151,0.0018100000000000002
7,8,Tolima ,Magdalena Cauca,Saldaña,Río Amoyá,146154.91,45.37,3617,460,313.58,234.4,104.81,163.01,160.11,195.73,129.9,233.33,277.19,175.36,209.23,268.5,89.86,98.47,75.59,126.09,291.53,91.61,70.1,0.00215,0.0016,0.00072,0.00112,0.0011,0.00134,0.0008900000000000001,0.0016,0.0019,0.0012,0.00143,0.0018399999999999998,0.00061,0.00067,0.0005200000000000001,0.00086,0.00199,0.00063,0.00047999999999999996
8,9,Cundinamarca,Orinoco,Meta,Chivor,248682.33,32.49,3148,639,98.4,35.62,49.43,86.5,128.53,100.76,149.28,71.01,166.44,119.07,173.68,177.04,30.28,18.99,13.81,26.54,31.12,25.55,44.09,0.0004,0.00014,0.0002,0.00035,0.0005200000000000001,0.00041,0.0006,0.00029,0.00067,0.00047999999999999996,0.0007,0.0007099999999999999,0.00011999999999999999,8e-05,5.9999999999999995e-05,0.00011,0.00013000000000000002,0.0001,0.00018
9,10,Tolima ,Magdalena Cauca,Alto Magdalena,Río Prado,167591.36,25.52,2649,298,384.59,902.75,318.76,537.99,269.57,599.85,654.69,651.18,1232.95,286.65,291.15,523.87,191.91,543.4,267.73,394.43,1199.62,923.04,687.95,0.00229,0.00539,0.0019,0.00321,0.00161,0.00358,0.00391,0.00389,0.007359999999999999,0.0017100000000000001,0.0017399999999999998,0.00313,0.00115,0.00324,0.0016,0.00235,0.00716,0.00551,0.0041
