codigo,cuenca,y,x
11010010,199,5.45894444, -76.54472222
11035020,197,5.62616667, -76.74972222
11040010,196,5.74361111, -76.53780556
11050010,194,6.22177778, -76.72702778
11050060,193,6.10833333, -76.91563889
11070020,195,6.33222222, -76.22861111
11070030,195,6.53944444, -76.15861111
11090010,189,6.81252778, -76.97272222
11110010,191,6.76333333, -76.13361111
11110030,191,6.85805556, -76.25222222
11150020,182,8.16291667, -77.04041667
11150030,183,8.53083333, -77.27694444
12010010,179,7.76638889, -76.85527778
12010030,179,7.57, -76.7
12010050,179,7.80805556, -76.70305556
12010060,179,7.86305556, -76.68916667
12010070,179,7.88444444, -76.64777778
12010090,179,7.74766667, -76.71188889
12010100,179,7.94552778, -76.61738889
12010110,178,7.98741667, -76.63852778
12010120,179,7.92383333, -76.64908333
12020010,178,8.19999722, -76.52
13030010,176,8.18666667, -76.05305556
13060010,176,8.55777778, -75.86111111
13060020,176,8.47583333, -75.76527778
13070020,174,9.23444444, -75.68805556
13090030,168,9.91027778, -75.60055556
13090040,168,9.53861111, -75.3225
13090080,102,9.81944444, -75.41027778
13090090,168,9.48527778, -75.5125
13090100,168,9.48583333, -75.46861111
13090110,102,9.8175, -75.41833333
14010030,307,10.52416667, -75.40138889
14010050,307,10.405, -75.3375
15010010,296,11.14083333, -74.12
15010020,312,11.25013056, -73.76475
15030010,201,11.27522222, -73.31219444
15060040,202,11.03436111, -72.87752778
15060060,202,10.93516667, -72.68466667
15060150,202,10.77794444, -72.79819444
15060180,202,11.13802778, -72.7115
15060270,202,11.18913889, -72.72791667
15070010,187,12.08658333, -72.05019444
15070070,187,12.12636111, -71.95227778
15070080,185,12.21836111, -71.45869444
15070090,187,12.08855556, -71.81930556
15070140,187,11.65027778, -72.78675
15070160,187,11.43775, -72.46997222
15070190,185,12.26913889, -71.51277778
15070240,187,11.81163889, -72.19061111
15080010,185,12.34530556, -71.31197222
15080040,185,12.06947222, -71.3185
15080090,185,11.93427778, -71.2825
16010010,167,7.81777778, -72.47777778
16010340,167,7.99302778, -72.46172222
16020010,166,7.89194444, -72.79944444
16020080,166,7.53416667, -72.77277778
16020140,166,8.07733333, -72.58388889
16020280,166,7.90083333, -72.5925
16020340,167,8.21694444, -72.43611111
16020370,166,8.35944444, -72.41
16030080,154,7.95027778, -72.8325
16030140,154,8.34277778, -72.69361111
16040010,155,8.08888889, -73.07083333
16050020,165,8.53805556, -73.24444444
16050060,165,8.29305556, -73.38833333
16050100,165,8.01747222, -73.18375
16050170,165,8.40055556, -73.42333333
16060010,132,8.83472222, -72.79166667
16070040,131,8.64111111, -72.90944444
17020030,2,13.35644444, -81.39144444
17020040,2,13.34377778, -81.38811111
21010040,86,1.96147222, -76.08569444
21010050,86,1.93158333, -76.21491667
21010100,86,1.72483333, -76.13333333
21010110,86,1.84491667, -76.07441667
21010130,86,1.81038889, -76.24669444
21010140,86,1.86438889, -76.36083333
21010170,86,1.90138889, -76.1725
21010180,86,1.69527778, -76.15522222
21010200,86,1.85030556, -76.31755556
21010220,21,2.06588889, -76.185
21010230,86,1.90580556, -76.30425
21020040,84,2.02, -75.91
21020050,84,1.98, -76.01
21030050,85,2.03, -75.78
21030060,85,1.71427778, -76.02208333
21030080,85,1.81361111, -75.94222222
21030090,21,2.20294444, -75.67772222
21030110,85,2.07775, -75.68194444
21040030,21,2.03094444, -76.10030556
21040050,21,2.10883333, -75.82280556
21050060,17,2.19905556, -75.97227778
21050090,17,2.55144444, -75.8065
21050140,18,2.51077778, -75.61566667
21050150,17,2.46, -75.76
21050170,17,2.65238889, -75.75894444
21050290,17,2.49127778, -75.7285
21060040,19,2.20202778, -75.54858333
21060070,19,2.38891667, -75.53808333
21060080,19,2.19008333, -75.60505556
21060090,19,2.57480556, -75.43552778
21060100,19,2.31716667, -75.50358333
21080030,18,2.66961111, -75.52886111
21080070,18,2.63691667, -75.58091667
21090020,73,2.85555556, -75.39919444
21090040,73,2.77758333, -75.34752778
21100080,20,2.61527778, -75.20669444
21100140,20,2.43480556, -75.40088889
21110040,22,3.07488889, -75.16841667
21110070,22,3.15033333, -75.05733333
21110090,22,3.38713889, -75.16925
21110120,22,3.30533333, -75.20077778
21110160,22,3.11847222, -75.19902778
21110180,22,3.03602778, -75.15972222
21110290,22,3.34955556, -75.17030556
21110330,22,3.18738889, -75.21841667
21110440,22,2.79566667, -75.23927778
21120040,26,3.14108333, -75.37947222
21120090,26,2.87033333, -75.49097222
21120100,26,2.865, -75.56638889
21130010,32,3.84733333, -74.9365
21130050,32,3.24355556, -75.25594444
21130060,26,3.00713889, -75.55919444
21130110,32,3.27, -75.49
21130180,32,3.45361111, -75.15088889
21140010,29,3.29158333, -74.90397222
21140080,29,3.48, -74.74
21140120,29,3.42586111, -74.92025
21140130,29,3.64999833, -74.67
21150030,60,3.56605556, -75.0625
21160040,44,3.74625, -74.81094444
21160050,44,3.67172222, -74.84297222
21160070,44,3.93291667, -74.60927778
21160080,44,3.75380556, -74.90088889
21160130,44,3.65105556, -74.74972222
21160160,44,3.62055556, -74.79972222
21160170,44,3.70933333, -74.79083333
21170020,60,4.25827778, -74.78361111
21170030,60,3.94722222, -74.85688889
21170040,60,3.91213889, -74.82244444
21180160,49,4.05594444, -74.8415
21190090,46,3.98697222, -74.48355556
21190240,46,4.08161111, -74.48872222
21190310,46,4.38797222, -74.32991667
21190330,46,3.90586111, -74.50969444
21190350,46,4.15247222, -74.35975
21200160,47,5.05797222, -73.73433333
21200620,47,5.07916667, -73.69686111
21200780,47,4.92922222, -73.78047222
21201070,47,4.86536111, -74.28941667
21201190,47,5.21452778, -73.90725
21201210,47,4.86638889, -74.15386111
21201230,47,4.701125, -74.07030556
21201300,47,4.39425, -74.132
21201320,47,4.50936111, -74.26880556
21201610,47,4.85028889, -73.89072222
21201650,47,5.11591667, -73.75738889
21210200,51,4.33513889, -75.07344444
21230070,50,4.85127778, -74.62283333
21230090,50,5.20275, -74.72927778
21230120,50,4.98538889, -74.58111111
21240030,55,4.54244444, -75.07538889
21250100,56,4.76183333, -74.89869444
21250450,56,5.05302778, -74.88247222
22010010,28,3.28783333, -75.81541667
22020020,27,3.04505556, -75.76177778
22020040,30,3.28580556, -75.5875
22020050,27,3.39522222, -75.6045
22050030,31,3.79547222, -75.19563889
22050070,30,3.42638889, -75.48744444
22050090,31,3.92313889, -75.02119444
22050100,55,4.65655556, -75.09694444
22060070,43,3.93916667, -75.21994444
22060110,36,3.71772222, -75.42355556
22070010,48,4.00663889, -75.60775
22070030,48,4.12455556, -75.49952778
23020080,58,5.26561111, -75.14408333
23020090,58,5.27816667, -75.26713889
23040070,65,5.32841667, -74.94197222
23050100,65,5.73075, -74.72608333
23060160,299,5.48508333, -74.46241667
23060180,299,5.25344444, -74.2945
23060200,299,5.05969444, -74.23916667
23060260,299,5.06463889, -74.38202778
23060290,299,4.97316667, -74.41205556
23080640,83,6.17108333, -75.328
23080650,83,6.07377778, -75.33561111
23080740,83,6.39694444, -75.25916667
23080760,83,6.4875, -75.017
23090020,87,6.39355556, -74.68180556
23090110,87,6.60305556, -74.39527778
23100030,87,6.84047222, -74.78566667
23100040,87,6.59427778, -75.01091667
23110030,67,5.93752778, -74.42177778
23110040,67,5.88088889, -74.56834167
23120050,88,5.53480556, -74.10122222
23120210,88,5.47466667, -74.04591667
23120220,88,5.87083333, -73.91333333
23120240,88,5.37138889, -74.15463889
23120250,88,5.64963889, -74.06872222
23130010,72,6.87777778, -74.03138889
23160010,92,7.08944444, -73.94416667
23180020,93,7.34861111, -73.89305556
23180040,93,7.45277778, -73.48277778
23180050,93,7.54138889, -73.59805556
23180070,93,7.39, -73.48944444
23180080,93,7.48944444, -73.67833333
23180100,93,7.78333333, -73.80083333
23180110,93,7.58611111, -73.82527778
23190110,93,7.83805556, -73.42805556
23190140,93,7.46472222, -73.20138889
23190210,93,7.59333333, -73.68138889
23190280,93,6.9675, -73.13305556
23190300,93,7.11, -72.96638889
23190340,93,7.21333333, -73.06472222
23190350,93,7.24013889, -73.19536111
23190360,93,7.32805556, -73.165
23190380,93,7.21108333, -73.21788889
23190400,93,7.12444444, -73.05722222
23190450,93,7.30888889, -72.87833333
23190480,93,8.09888889, -73.5075
23190520,93,7.99555556, -73.43972222
23190540,93,7.65083333, -73.18055556
23190560,93,7.57444444, -73.55972222
23190580,93,8.08875, -73.61877778
23190710,93,8.01183333, -73.72444444
23190810,93,7.81261111, -73.32144444
23210010,94,8.185, -73.75527778
23210160,94,8.32666667, -73.73777778
24010070,89,5.30319444, -73.70975
24010110,89,6.07694444, -73.46916667
24010170,89,5.38588889, -73.69105556
24010180,89,5.53877778, -73.63136111
24010210,89,5.87333333, -73.78166667
24010230,89,6.35527778, -73.23972222
24010240,89,6.2625, -73.30333333
24010410,89,5.60208333, -73.54527778
24010640,89,5.98611111, -73.77083333
24010650,89,6.15138889, -73.34166667
24010660,89,6.44361111, -73.33388889
24010760,89,6.099, -73.44138889
24010810,89,5.75080556, -73.54891667
24010850,89,5.868, -73.38383333
24010870,89,5.89952778, -73.19619444
24011060,89,5.46244444, -73.80155556
24011070,89,6.32361111, -73.46722222
24011080,89,5.25, -73.77
24020080,69,6.44111111, -73.14277778
24020120,69,6.29944444, -73.04472222
24020130,69,6.59825, -73.05611111
24025020,69,6.53222222, -73.19916667
24030210,68,6.83611111, -72.69722222
24030240,68,6.23175, -72.68933333
24030270,68,6.83, -72.84416667
24030300,68,6.75305556, -72.975
24030320,68,6.6275, -72.63
24030330,68,6.93972222, -72.93166667
24030340,68,6.67166667, -72.81138889
24030400,68,5.86872222, -72.98577778
24030510,68,5.69930556, -73.07175
24030540,68,5.66452778, -72.97827778
24030570,68,6.06208333, -72.63533333
24030640,68,5.78236111, -72.76980556
24030660,68,6.37511111, -72.419
24030700,68,6.51475, -72.73294444
24030790,68,5.77341667, -72.94025
24030840,89,5.89163889, -73.08238889
24040050,89,6.64444444, -73.20277778
24040060,89,6.60611111, -73.27611111
24050060,75,6.87277778, -73.41083333
24050100,89,6.70725, -73.27988889
24060050,75,6.75916667, -73.09277778
24060080,75,7.27027778, -73.49083333
25010010,81,7.89027778, -75.68
25010100,176,8.12916667, -75.76
25020030,39,8.72722222, -74.51222222
25020090,298,8.86038889, -73.81544444
25020220,298,9.49294444, -73.97288889
25020250,298,9.19719444, -73.54194444
25020330,82,8.36638889, -74.56916667
25020370,79,8.03666667, -74.94222222
25020410,39,8.21944444, -74.72875
25020420,82,8.39, -74.56
25020500,82,8.81611111, -74.72944444
25020530,82,8.0255, -75.08975
25020690,298,9.42327778, -73.41094444
25020700,82,8.05305556, -75.33861111
25020710,82,8.42, -75.27388889
25020720,82,8.63722222, -75.38361111
25020750,82,9.01138889, -75.16888889
25020780,82,8.46138889, -75.03416667
25020810,82,8.29133333, -74.60572222
25020940,82,8.33277778, -74.73555556
25021000,82,9.165, -75.05083333
25021030,290,9.2475, -74.50194444
25021040,290,9.18805556, -74.04422222
25021090,290,9.09333333, -74.31388889
25021180,290,9.07833333, -74.68888889
25021200,290,9.02666667, -74.07944444
25021210,82,8.82, -75.47
25021240,298,9.26008333, -73.80986111
25021300,290,9.27388889, -74.64638889
25021340,290,9.24916667, -74.73611111
25021380,290,9.07, -74.15
25021480,90,8.03, -74.79
25021500,108,9.58116667, -74.35225
25021600,108,9.8725, -74.58038889
25021610,108,9.68566667, -74.50486111
25021630,108,9.80175, -74.38855556
25021640,298,8.71275, -73.70255556
26010020,11,2.34336111, -76.4955
26010030,11,2.38086111, -76.45477778
26020020,103,2.62466667, -76.34913889
26020030,103,2.64269444, -76.53611111
26020130,4,2.54183333, -76.41880556
26020160,14,2.94516667, -76.65175
26020180,11,2.49625, -76.63836111
26020220,5,2.76941667, -76.62419444
26020230,4,2.60655556, -76.75608333
26020250,5,2.90369444, -76.54697222
26020390,5,2.85383333, -76.58861111
26020460,4,2.48758333, -76.40466667
26030070,12,2.69741667, -76.75472222
26030090,12,2.515, -76.82972222
26040260,6,2.95236111, -76.26222222
26040290,5,2.88052778, -76.4075
26040310,6,3.07061111, -76.37783333
26050060,103,2.95455556, -76.69611111
26060020,223,3.32022222, -76.34661111
26060030,14,3.17894444, -76.463
26060200,223,3.22641667, -76.14080556
26070170,7,3.45972222, -76.25027778
26070760,7,3.32777778, -76.23913889
26080070,13,3.69852778, -76.42972222
26080280,306,3.43819444, -76.60155556
26080290,13,3.89088889, -76.35083333
26090060,8,3.77322222, -76.16555556
26090630,8,3.77013889, -76.33194444
26100070,34,4.22380556, -76.14730556
26100300,76,4.58861111, -75.96583333
26100350,34,4.05436111, -75.99475
26100740,76,4.51563889, -76.04055556
26100780,76,4.38305556, -76.0735
26100830,76,4.68841667, -75.96166667
26110040,23,4.34294444, -76.19044444
26110120,23,4.97108333, -76.03852778
26110160,23,4.68486111, -76.03572222
26110300,23,4.61638889, -76.03444444
26120120,53,4.33155556, -75.83483333
26120150,53,4.67647222, -75.78630556
26120160,53,4.63627778, -75.56916667
26120170,53,4.33275, -75.70627778
26130020,24,4.84416667, -75.55805556
26130170,24,4.88555556, -75.55805556
26130180,53,4.80097222, -75.85833333
26130220,24,4.81216667, -75.84305556
26140090,45,5.16705556, -75.86277778
26140120,45,5.29425, -75.87272222
26140180,24,4.8925, -75.88277778
26160080,59,5.39544444, -75.48930556
26160090,59,5.52244444, -75.45508333
26160160,54,5.5875, -75.5775
26170150,54,5.79105556, -75.83880556
26170180,54,5.54783333, -75.64130556
26170190,54,5.80386111, -75.72361111
26170290,54,5.42477778, -75.73025
26180160,64,5.78597222, -75.43041667
26180170,64,5.99833333, -75.38138889
26180190,59,5.60002778, -75.45119444
26180200,64,5.95083333, -75.53683333
26180220,54,5.73, -75.59999722
26190090,57,5.755, -75.97552778
26190100,57,5.56397222, -75.90008333
26200120,71,6.07294444, -75.79458333
26200130,71,5.97, -75.84
26200140,71,6.15797222, -75.77152778
26200150,71,5.93675, -75.68511111
26210080,70,6.09922222, -75.87397222
26210090,70,6.30313889, -75.85925
26210130,70,6.50333333, -75.95583333
26210140,70,6.21852778, -75.9455
26220090,70,6.68805556, -75.95722222
26220100,70,7.24963889, -75.73408333
26230010,71,6.62872222, -75.81088889
26230110,71,6.90983333, -75.66986111
26230140,71,6.72088889, -75.75805556
26230220,77,6.77938889, -75.63858333
26240060,82,7.83666667, -75.415
26240090,80,7.66830556, -75.28444444
26240160,79,7.96, -75.2
26240170,80,7.56255556, -75.44855556
26250030,79,7.57905556, -75.34783333
26250110,79,7.47411111, -75.26438889
27010800,77,6.39972222, -75.60722222
27010820,77,6.36833333, -75.45361111
27010830,77,6.56322222, -75.51575
27010840,77,6.602, -75.24652778
27010850,77,6.90555556, -75.07722222
27010870,77,6.60916667, -75.66833333
27010880,78,6.70286111, -75.39222222
27010900,77,6.67780556, -75.21980556
27020190,78,6.95597222, -75.41555556
27020210,78,6.88305556, -75.33247222
27020260,78,7.24677778, -75.30219444
27030040,90,7.90441667, -74.814
27030090,77,7.31930556, -74.83933333
27030140,91,7.23611111, -74.80794444
27030210,91,7.48622222, -74.87238889
28010040,100,10.39138889, -73.02527778
28010070,100,10.1855, -73.46711111
28010340,101,10.61583333, -72.98194444
28010370,100,10.30708333, -73.32544444
28020150,100,10.02997222, -73.66883333
28020410,100,10.18416667, -73.31702778
28020440,100,9.91702778, -73.28613889
28030190,100,10.08869444, -73.73172222
28040010,115,10.41463889, -73.58502778
28040100,115,10.23369444, -74.27325
28040350,115,9.65697222, -73.74369444
29030160,102,9.96916667, -75.40027778
29030170,102,10.20027778, -75.20194444
29030200,102,10.09972222, -75.13527778
29030310,102,9.93388889, -75.4175
29030320,96,10.10083333, -75.4025
29030370,102,10.23416667, -75.55111111
29030410,96,10.40833333, -75.12722222
29040200,97,10.52172222, -74.89077778
29040290,96,10.55777778, -74.97177778
29050020,98,10.48752778, -74.79
29060030,98,10.64877778, -74.3755
29060040,98,10.52436111, -74.18222222
29060060,98,10.65161111, -74.07322222
29060070,98,10.80819444, -74.02680556
29060090,98,10.56330556, -73.60380556
29060100,98,10.40275, -74.108
29060140,98,10.6755, -74.20644444
29060150,98,10.57366667, -74.22411111
29060170,98,10.68044444, -74.33069444
29060180,98,10.74252778, -74.30627778
29060210,98,10.96683333, -74.20469444
29060250,98,10.73672222, -74.23708333
29060270,98,10.7225, -74.27191667
29060560,98,10.38444444, -74.17794444
32010010,74,2.56283333, -74.10308333
32060030,146,3.79072222, -73.84277778
32060060,150,3.74233333, -73.83469444
32070010,150,3.2, -73.75
32070020,150,3.25, -73.51666667
32070040,295,2.98, -73.63
32070060,150,3.46666667, -73.63333333
32070100,295,3.37508333, -73.89194444
32070110,150,3.47202778, -73.85783333
32080010,150,2.94, -73.21
35010010,148,4.10502778, -72.9365
35010020,146,3.99463889, -73.76558333
35010040,146,3.92422222, -73.81458333
35010060,146,3.78666667, -73.40055556
35010070,146,3.87833333, -73.75861111
35010080,146,3.79388889, -73.14972222
35010090,146,3.75027778, -73.70083333
35020010,147,4.25444444, -73.82333333
35020060,304,4.03975, -73.368
35020280,147,4.52291667, -73.92658333
35020300,147,4.25391667, -74.00269444
35020350,147,4.21888889, -74.14686111
35030050,304,4.09113889, -73.44877778
35050010,143,4.51, -73.34999722
35050020,143,4.42322222, -73.39597222
35060120,145,4.72330556, -73.47055556
35060180,145,4.75238889, -73.52858333
35060200,145,4.85797222, -73.74538889
35060220,145,4.81569444, -73.41977778
35060230,145,4.78141667, -73.48905556
35060250,145,4.79677778, -73.40719444
35060300,145,4.85252778, -73.39194444
35070020,89,5.38305556, -73.60288889
35070030,42,5.31775, -73.49636111
35070050,42,5.21911111, -73.44455556
35070070,42,5.16486111, -73.36425
35070100,42,4.98347222, -73.43305556
35070130,42,4.95025, -73.30797222
35070170,145,4.73333333, -73.2
35070210,42,5.13925, -73.39563889
35070470,42,4.95041667, -73.41016667
35080010,128,5.28297222, -73.16927778
35080030,128,5.18372222, -73.08672222
