codigo,cuenca,y,x
11037020,197,5.37475, -76.61325
11047020,311,5.69, -76.65999722
11077010,193,6.55880556, -76.88447222
12017020,179,7.57, -76.71
16017020,167,7.68797222, -72.60547222
16027100,166,7.90138889, -72.63388889
16037030,154,8.10361111, -72.79472222
16037050,154,8.36830556, -72.58611111
16047010,155,8.04333333, -73.08305556
21017020,86,1.87027778, -76.23161111
21017040,84,1.98811111, -76.01202778
21017060,86,1.905, -76.40111111
21027010,84,2.05316667, -75.85188889
21057060,17,2.46, -75.76
21097070,22,2.94261111, -75.30852778
21137010,32,3.84952778, -74.93577778
21137050,32,3.44319444, -75.11880556
21147030,29,3.32752778, -74.86691667
21167050,44,4.05936111, -74.68827778
21167060,44,3.92666667, -74.65694444
21167080,44,3.72519444, -74.82644444
21167090,44,4.01105556, -74.71902778
21197010,46,4.01169444, -74.50444444
21237010,52,4.38777778, -74.838375
22017010,28,3.47188889, -75.66694444
22027020,27,3.12605556, -75.65569444
22047010,36,3.65863889, -75.44622222
22057040,31,3.67416667, -75.30605556
23057140,65,5.73102778, -74.72583333
23067060,299,5.12530556, -74.44705556
23097030,87,6.48513889, -74.40116667
23107020,87,6.73219444, -74.40694444
23127020,88,6.52555556, -74.08583333
23147020,72,6.77361111, -73.935
23197130,93,7.29305556, -73.14222222
23197370,93,7.57805556, -73.56055556
24027010,69,6.54666667, -73.12805556
24027040,69,6.52916667, -73.00777778
24027060,69,6.47861111, -73.07361111
24067020,75,7.24416667, -73.7875
26027240,4,2.47075, -76.33677778
26177030,24,4.8925, -75.88269444
26207080,71,5.97, -75.84
26247020,79,7.96, -75.2
32037030,162,2.18563889, -73.79225
32077070,295,2.97, -73.68
32077080,150,2.94, -73.21
32107010,171,2.56888889, -72.75111111
32157060,160,3.57172222, -69.58805556
32207010,160,3.99, -68.34999722
35017090,146,3.71061111, -73.70644444
35077080,42,4.98458333, -73.46263889
35107030,149,4.28, -72.79
35117010,130,4.33, -72.39
35127020,141,4.34055556, -72.15636111
35267080,119,5.79, -69.99
42077020,224,1.26, -70.24
44017110,260,1.05091667, -76.54888889
44037100,258,1.52772222, -75.48172222
44037120,258,1.64963889, -75.64258333
47017160,262,0.58269444, -76.57694444
52017070,243,2.21666667, -77.0575
