codigo,cuenca,y,x
11037020,197,5.37475, -76.61325
21017020,86,1.87027778, -76.23161111
21017040,84,1.98811111, -76.01202778
21017050,86,1.84883333, -76.05244444
21017060,86,1.905, -76.40111111
21027010,84,2.05316667, -75.85188889
21057060,17,2.46, -75.76
21057080,17,2.31219444, -75.97013889
21097070,22,2.94261111, -75.30852778
21097120,73,2.72841667, -75.39638889
21137010,32,3.84952778, -74.93577778
21137050,32,3.44319444, -75.11880556
21167050,44,4.05936111, -74.68827778
21167060,44,3.92666667, -74.65694444
21167080,44,3.72519444, -74.82644444
21167090,44,4.01105556, -74.71902778
21217200,51,4.30061111, -75.20655556
21237010,52,4.38777778, -74.838375
21257120,56,4.94019444, -75.08980556
22017010,28,3.47188889, -75.66694444
22027020,27,3.12605556, -75.65569444
22047010,36,3.65863889, -75.44622222
22057040,31,3.67416667, -75.30605556
23057140,65,5.73102778, -74.72583333
23067020,304,5.4695, -74.59338889
23067040,304,5.75922222, -74.63175
23067060,299,5.12530556, -74.44705556
24017600,89,5.87813889, -73.57025
24017740,89,5.67788889, -73.54213889
25027020,298,8.99252778, -73.96944444
25027530,82,9.0225, -74.63666667
26027080,4,2.51247222, -76.40377778
26027100,103,2.62588889, -76.522
26027240,4,2.47075, -76.33677778
26057040,15,3.11711111, -76.62402778
26137220,53,4.72819444, -75.60344444
26167070,59,5.26830556, -75.66419444
26177030,24,4.8925, -75.88269444
26207080,71,5.97, -75.84
35077080,42,4.98458333, -73.46263889
35197180,140,4.817, -72.29138889
44017110,260,1.05091667, -76.54888889
47017160,262,0.58269444, -76.57694444
52017070,243,2.21666667, -77.0575
52037010,245,1.66566667, -77.01472222
52047010,246,1.23433333, -77.29294444
52047030,246,1.20138889, -77.24777778
52057040,42,0.84416667, -77.68588889
52057050,42,1.383, -77.48227778
52067030,252,1.52972222, -77.64694444
