codigo,cuenca,y,x
11045010,311,5.69055556, -76.64377778
11115040,191,6.77797222, -76.20333333
13075020,174,8.91388889, -75.58222222
21115060,22,3.32922222, -75.18405556
21255120,56,5.01685278, -75.11761111
23055040,65,5.41944444, -74.99922222
23085140,83,5.96380556, -75.10069444
24055040,89,6.54972222, -73.292
26025100,5,2.67447222, -76.52633333
26175040,71,5.80025, -75.65097222
26185020,64,5.88636111, -75.31863889
26255020,77,6.78, -75.56
37035010,40,7.00611111, -72.11583333
47015040,262,1.19827778, -76.96097222
52045040,246,1.54916667, -77.2675
