codigo,cuenca,variable
11020010,198,PTPM_CON
11040010,196,PTPM_CON
11070020,195,PTPM_CON
11090010,189,PTPM_CON
11110010,191,PTPM_CON
11110030,191,PTPM_CON
11150010,183,PTPM_CON
11150030,183,PTPM_CON
12010010,179,PTPM_CON
12010030,179,PTPM_CON
12010050,179,PTPM_CON
12010060,179,PTPM_CON
12010070,179,PTPM_CON
12010090,179,PTPM_CON
12010100,179,PTPM_CON
12010110,178,PTPM_CON
12010120,179,PTPM_CON
12020010,178,PTPM_CON
12030020,177,PTPM_CON
13060020,176,PTPM_CON
13070020,174,PTPM_CON
13090010,102,PTPM_CON
13090020,168,PTPM_CON
13090030,168,PTPM_CON
13090040,168,PTPM_CON
13090090,168,PTPM_CON
13090100,168,PTPM_CON
13090110,102,PTPM_CON
15010020,312,PTPM_CON
15010040,296,PTPM_CON
15030010,201,PTPM_CON
15060020,202,PTPM_CON
15060040,202,PTPM_CON
15060060,202,PTPM_CON
15060080,202,PTPM_CON
15060150,202,PTPM_CON
15060180,202,PTPM_CON
15060270,202,PTPM_CON
15070010,187,PTPM_CON
15070070,187,PTPM_CON
15070080,185,PTPM_CON
15070090,187,PTPM_CON
15070140,187,PTPM_CON
15070160,187,PTPM_CON
15070190,185,PTPM_CON
15070240,187,PTPM_CON
15080010,185,PTPM_CON
15080040,185,PTPM_CON
15080090,185,PTPM_CON
16010010,167,PTPM_CON
16010060,167,PTPM_CON
16010100,167,PTPM_CON
16020010,166,PTPM_CON
16020080,166,PTPM_CON
16020110,166,PTPM_CON
16020130,166,PTPM_CON
16020140,166,PTPM_CON
16020250,166,PTPM_CON
16020370,166,PTPM_CON
16030080,154,PTPM_CON
16030140,154,PTPM_CON
16030150,154,PTPM_CON
16040010,155,PTPM_CON
16050020,165,PTPM_CON
16050060,165,PTPM_CON
16050100,165,PTPM_CON
16050170,165,PTPM_CON
16060010,132,PTPM_CON
16070040,131,PTPM_CON
17020030,2,PTPM_CON
21010040,86,PTPM_CON
21010050,86,PTPM_CON
21010060,21,PTPM_CON
21010110,86,PTPM_CON
21010130,86,PTPM_CON
21010140,86,PTPM_CON
21010180,86,PTPM_CON
21010200,86,PTPM_CON
21010220,21,PTPM_CON
21010230,86,PTPM_CON
21020040,84,PTPM_CON
21020050,84,PTPM_CON
21030060,85,PTPM_CON
21030080,85,PTPM_CON
21030090,21,PTPM_CON
21030110,85,PTPM_CON
21040030,21,PTPM_CON
21040050,21,PTPM_CON
21050060,17,PTPM_CON
21050090,17,PTPM_CON
21050140,18,PTPM_CON
21050150,17,PTPM_CON
21050160,17,PTPM_CON
21050170,17,PTPM_CON
21050190,17,PTPM_CON
21050250,17,PTPM_CON
21050290,17,PTPM_CON
21050310,17,PTPM_CON
21060040,19,PTPM_CON
21060070,19,PTPM_CON
21060080,19,PTPM_CON
21060090,19,PTPM_CON
21060100,19,PTPM_CON
21080030,18,PTPM_CON
21080070,18,PTPM_CON
21090020,73,PTPM_CON
21090040,73,PTPM_CON
21100080,20,PTPM_CON
21100140,20,PTPM_CON
21110040,22,PTPM_CON
21110070,22,PTPM_CON
21110090,22,PTPM_CON
21110120,22,PTPM_CON
21110160,22,PTPM_CON
21110180,22,PTPM_CON
21110290,22,PTPM_CON
21110330,22,PTPM_CON
21110440,22,PTPM_CON
21120040,26,PTPM_CON
21120090,26,PTPM_CON
21120100,26,PTPM_CON
21130010,32,PTPM_CON
21130050,32,PTPM_CON
21130060,26,PTPM_CON
21130110,32,PTPM_CON
21130180,32,PTPM_CON
21140010,29,PTPM_CON
21140080,29,PTPM_CON
21140120,29,PTPM_CON
21140130,29,PTPM_CON
21150030,60,PTPM_CON
21160040,44,PTPM_CON
21160050,44,PTPM_CON
21160080,44,PTPM_CON
21160130,44,PTPM_CON
21160160,44,PTPM_CON
21160170,44,PTPM_CON
21160200,44,PTPM_CON
21170020,60,PTPM_CON
21170030,60,PTPM_CON
21170040,60,PTPM_CON
21180160,49,PTPM_CON
21190240,46,PTPM_CON
21190310,46,PTPM_CON
21190330,46,PTPM_CON
21190350,46,PTPM_CON
21200160,47,PTPM_CON
21200620,47,PTPM_CON
21200780,47,PTPM_CON
21201050,47,PTPM_CON
21201190,47,PTPM_CON
21201210,47,PTPM_CON
21201230,47,PTPM_CON
21201300,47,PTPM_CON
21201320,47,PTPM_CON
21201610,47,PTPM_CON
21201650,47,PTPM_CON
21210200,51,PTPM_CON
21230070,50,PTPM_CON
21230120,50,PTPM_CON
21240030,55,PTPM_CON
21250100,56,PTPM_CON
21250450,56,PTPM_CON
21250460,56,PTPM_CON
22020050,27,PTPM_CON
22050070,30,PTPM_CON
22050090,31,PTPM_CON
22060110,36,PTPM_CON
22070010,48,PTPM_CON
23020080,58,PTPM_CON
23020090,58,PTPM_CON
23040070,65,PTPM_CON
23050100,65,PTPM_CON
23060160,299,PTPM_CON
23060180,299,PTPM_CON
23060200,299,PTPM_CON
23060260,299,PTPM_CON
23060290,299,PTPM_CON
23080640,83,PTPM_CON
23080650,83,PTPM_CON
23080740,83,PTPM_CON
23080760,83,PTPM_CON
23090020,87,PTPM_CON
23090110,87,PTPM_CON
23100030,87,PTPM_CON
23100040,87,PTPM_CON
23110030,67,PTPM_CON
23110040,67,PTPM_CON
23120200,88,PTPM_CON
23120210,88,PTPM_CON
23120220,88,PTPM_CON
23120240,88,PTPM_CON
23120250,88,PTPM_CON
23160010,92,PTPM_CON
23180050,93,PTPM_CON
23180070,93,PTPM_CON
23180080,93,PTPM_CON
23180100,93,PTPM_CON
23180110,93,PTPM_CON
23190110,93,PTPM_CON
23190140,93,PTPM_CON
23190210,93,PTPM_CON
23190280,93,PTPM_CON
23190300,93,PTPM_CON
23190340,93,PTPM_CON
23190350,93,PTPM_CON
23190360,93,PTPM_CON
23190380,93,PTPM_CON
23190400,93,PTPM_CON
23190450,93,PTPM_CON
23190480,93,PTPM_CON
23190520,93,PTPM_CON
23190560,93,PTPM_CON
23190710,93,PTPM_CON
23190810,93,PTPM_CON
23210010,94,PTPM_CON
24010070,89,PTPM_CON
24010170,89,PTPM_CON
24010180,89,PTPM_CON
24010210,89,PTPM_CON
24010230,89,PTPM_CON
24010240,89,PTPM_CON
24010410,89,PTPM_CON
24010640,89,PTPM_CON
24010650,89,PTPM_CON
24010710,89,PTPM_CON
24010760,89,PTPM_CON
24010810,89,PTPM_CON
24011060,89,PTPM_CON
24011080,89,PTPM_CON
24020080,69,PTPM_CON
24020120,69,PTPM_CON
24020130,69,PTPM_CON
24025020,69,PTPM_CON
24030210,68,PTPM_CON
24030270,68,PTPM_CON
24030300,68,PTPM_CON
24030320,68,PTPM_CON
24030330,68,PTPM_CON
24030340,68,PTPM_CON
24030380,68,PTPM_CON
24030400,68,PTPM_CON
24030510,68,PTPM_CON
24030530,68,PTPM_CON
24030540,68,PTPM_CON
24030570,68,PTPM_CON
24030640,68,PTPM_CON
24030700,68,PTPM_CON
24030790,68,PTPM_CON
24030840,89,PTPM_CON
24030850,68,PTPM_CON
24040050,89,PTPM_CON
24040060,89,PTPM_CON
24050060,75,PTPM_CON
24050110,75,PTPM_CON
24060050,75,PTPM_CON
25020030,39,PTPM_CON
25020090,298,PTPM_CON
25020220,298,PTPM_CON
25020240,298,PTPM_CON
25020250,298,PTPM_CON
25020270,298,PTPM_CON
25020330,82,PTPM_CON
25020390,82,PTPM_CON
25020410,39,PTPM_CON
25020420,82,PTPM_CON
25020500,82,PTPM_CON
25020530,82,PTPM_CON
25020660,298,PTPM_CON
25020690,298,PTPM_CON
25020750,82,PTPM_CON
25020810,82,PTPM_CON
25020940,82,PTPM_CON
25021000,82,PTPM_CON
25021030,290,PTPM_CON
25021040,290,PTPM_CON
25021180,290,PTPM_CON
25021200,290,PTPM_CON
25021240,298,PTPM_CON
25021300,290,PTPM_CON
25021380,290,PTPM_CON
25021480,90,PTPM_CON
25021500,108,PTPM_CON
25021600,108,PTPM_CON
25021610,108,PTPM_CON
25021630,108,PTPM_CON
25021640,298,PTPM_CON
25021650,115,PTPM_CON
26010020,11,PTPM_CON
26010030,11,PTPM_CON
26020020,103,PTPM_CON
26020030,103,PTPM_CON
26020130,4,PTPM_CON
26020160,14,PTPM_CON
26020180,11,PTPM_CON
26020220,5,PTPM_CON
26020230,4,PTPM_CON
26020250,5,PTPM_CON
26020390,5,PTPM_CON
26020460,4,PTPM_CON
26030030,12,PTPM_CON
26030060,12,PTPM_CON
26030070,12,PTPM_CON
26030090,12,PTPM_CON
26040260,6,PTPM_CON
26040290,5,PTPM_CON
26040310,6,PTPM_CON
26050060,103,PTPM_CON
26050270,15,PTPM_CON
26060020,223,PTPM_CON
26070170,7,PTPM_CON
26070760,7,PTPM_CON
26080070,13,PTPM_CON
26080280,306,PTPM_CON
26080290,13,PTPM_CON
26090060,8,PTPM_CON
26090630,8,PTPM_CON
26110120,23,PTPM_CON
26140120,45,PTPM_CON
26160080,59,PTPM_CON
26160090,59,PTPM_CON
26160160,54,PTPM_CON
26170150,54,PTPM_CON
26170180,54,PTPM_CON
26170190,54,PTPM_CON
26180160,64,PTPM_CON
26180170,64,PTPM_CON
26180190,59,PTPM_CON
26180200,64,PTPM_CON
26180220,54,PTPM_CON
26190090,57,PTPM_CON
26190100,57,PTPM_CON
26200120,71,PTPM_CON
26200130,71,PTPM_CON
26200140,71,PTPM_CON
26200150,71,PTPM_CON
26210070,70,PTPM_CON
26210080,70,PTPM_CON
26210090,70,PTPM_CON
26210110,57,PTPM_CON
26210130,70,PTPM_CON
26210140,70,PTPM_CON
26220090,70,PTPM_CON
26220100,70,PTPM_CON
26230010,71,PTPM_CON
26230110,71,PTPM_CON
26230140,71,PTPM_CON
26230220,77,PTPM_CON
26240060,82,PTPM_CON
26240090,80,PTPM_CON
26240160,79,PTPM_CON
26250030,79,PTPM_CON
26250110,79,PTPM_CON
27010770,71,PTPM_CON
27010800,77,PTPM_CON
27010820,77,PTPM_CON
27010830,77,PTPM_CON
27010840,77,PTPM_CON
27010850,77,PTPM_CON
27010870,77,PTPM_CON
27010880,78,PTPM_CON
27010900,77,PTPM_CON
27011100,77,PTPM_CON
27020190,78,PTPM_CON
27020210,78,PTPM_CON
27020260,78,PTPM_CON
27030040,90,PTPM_CON
27030090,77,PTPM_CON
27030140,91,PTPM_CON
27030210,91,PTPM_CON
28010070,100,PTPM_CON
28010340,101,PTPM_CON
28010370,100,PTPM_CON
28020150,100,PTPM_CON
28020460,100,PTPM_CON
28030190,100,PTPM_CON
28040010,115,PTPM_CON
28040100,115,PTPM_CON
28040270,115,PTPM_CON
28040320,115,PTPM_CON
28040350,115,PTPM_CON
28040360,115,PTPM_CON
29030160,102,PTPM_CON
29030170,102,PTPM_CON
29030310,102,PTPM_CON
29030320,96,PTPM_CON
29030370,102,PTPM_CON
29040200,97,PTPM_CON
29040290,96,PTPM_CON
29050010,98,PTPM_CON
29050020,98,PTPM_CON
29060030,98,PTPM_CON
29060070,98,PTPM_CON
29060090,98,PTPM_CON
29060100,98,PTPM_CON
29060120,98,PTPM_CON
29060140,98,PTPM_CON
29060150,98,PTPM_CON
29060170,98,PTPM_CON
29060180,98,PTPM_CON
29060210,98,PTPM_CON
29060250,98,PTPM_CON
29060270,98,PTPM_CON
29060280,98,PTPM_CON
29060310,98,PTPM_CON
29060540,98,PTPM_CON
32010010,74,PTPM_CON
32060030,146,PTPM_CON
32070010,150,PTPM_CON
32070020,150,PTPM_CON
32070040,295,PTPM_CON
32070060,150,PTPM_CON
32070100,295,PTPM_CON
32070110,150,PTPM_CON
32080010,150,PTPM_CON
35010010,148,PTPM_CON
35010040,146,PTPM_CON
35010060,146,PTPM_CON
35010070,146,PTPM_CON
35010080,146,PTPM_CON
35010090,146,PTPM_CON
35020010,147,PTPM_CON
35020060,304,PTPM_CON
35020350,147,PTPM_CON
35050010,143,PTPM_CON
35060050,145,PTPM_CON
35060180,145,PTPM_CON
35060200,145,PTPM_CON
35060220,145,PTPM_CON
35060230,145,PTPM_CON
35060250,145,PTPM_CON
35060300,145,PTPM_CON
35070030,42,PTPM_CON
35070060,42,PTPM_CON
35070070,42,PTPM_CON
35070100,42,PTPM_CON
35070170,145,PTPM_CON
35070210,42,PTPM_CON
35080010,128,PTPM_CON
35080030,128,PTPM_CON
35080060,128,PTPM_CON
35080070,128,PTPM_CON
35080080,128,PTPM_CON
35080110,128,PTPM_CON
35180010,140,PTPM_CON
35190050,140,PTPM_CON
35210010,138,PTPM_CON
35230010,118,PTPM_CON
35260070,119,PTPM_CON
37010010,37,PTPM_CON
37010020,37,PTPM_CON
37010040,37,PTPM_CON
37010080,37,PTPM_CON
37020030,38,PTPM_CON
37020040,40,PTPM_CON
42050020,224,PTPM_CON
42070010,224,PTPM_CON
42070020,224,PTPM_CON
42070030,224,PTPM_CON
