codigo,cuenca,variable
11037020,197,Q_MEDIA_D
11047020,311,Q_MEDIA_D
11077010,193,Q_MEDIA_D
12017020,179,Q_MEDIA_D
16017020,167,Q_MEDIA_D
16027100,166,Q_MEDIA_D
16037050,154,Q_MEDIA_D
16047010,155,Q_MEDIA_D
21017020,86,Q_MEDIA_D
21017040,84,Q_MEDIA_D
21027010,84,Q_MEDIA_D
21057060,17,Q_MEDIA_D
21137010,32,Q_MEDIA_D
21147030,29,Q_MEDIA_D
21147080,29,Q_MEDIA_D
21167060,44,Q_MEDIA_D
21167080,44,Q_MEDIA_D
21237010,52,Q_MEDIA_D
22027020,27,Q_MEDIA_D
22047010,36,Q_MEDIA_D
23057140,65,Q_MEDIA_D
23097030,87,Q_MEDIA_D
23107020,87,Q_MEDIA_D
23147020,72,Q_MEDIA_D
23197130,93,Q_MEDIA_D
24017610,89,Q_MEDIA_D
24027040,69,Q_MEDIA_D
24027060,69,Q_MEDIA_D
26027090,103,Q_MEDIA_D
26027240,4,Q_MEDIA_D
26177030,24,Q_MEDIA_D
26207080,71,Q_MEDIA_D
26247020,79,Q_MEDIA_D
32037030,162,Q_MEDIA_D
32077070,295,Q_MEDIA_D
32077080,150,Q_MEDIA_D
32157060,160,Q_MEDIA_D
35017090,146,Q_MEDIA_D
35077080,42,Q_MEDIA_D
35107030,149,Q_MEDIA_D
35127020,141,Q_MEDIA_D
35267080,119,Q_MEDIA_D
42077020,224,Q_MEDIA_D
44017050,260,Q_MEDIA_D
44017110,260,Q_MEDIA_D
44037120,258,Q_MEDIA_D
47017160,262,Q_MEDIA_D
