codigo,cuenca,variable
11037020,197,Q_MX_D
21017020,86,Q_MX_D
21017040,84,Q_MX_D
21017050,86,Q_MX_D
21027010,84,Q_MX_D
21057060,17,Q_MX_D
21057080,17,Q_MX_D
21097120,73,Q_MX_D
21137010,32,Q_MX_D
21147080,29,Q_MX_D
21167060,44,Q_MX_D
21167080,44,Q_MX_D
21217200,51,Q_MX_D
21237010,52,Q_MX_D
21257120,56,Q_MX_D
22047010,36,Q_MX_D
23057140,65,Q_MX_D
23067020,304,Q_MX_D
23067060,299,Q_MX_D
24017600,89,Q_MX_D
24017740,89,Q_MX_D
25027020,298,Q_MX_D
26027080,4,Q_MX_D
26027090,103,Q_MX_D
26027100,103,Q_MX_D
26027240,4,Q_MX_D
26037010,12,Q_MX_D
26057040,15,Q_MX_D
26137220,53,Q_MX_D
26167070,59,Q_MX_D
26177030,24,Q_MX_D
26207080,71,Q_MX_D
35077080,42,Q_MX_D
35087020,128,Q_MX_D
44017050,260,Q_MX_D
44017110,260,Q_MX_D
47017160,262,Q_MX_D
52037010,245,Q_MX_D
52047010,246,Q_MX_D
52047030,246,Q_MX_D
52057040,42,Q_MX_D
52057050,42,Q_MX_D
52067030,252,Q_MX_D
