CodigoEstacion,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
11025010,363,331,365,360,362,360,361,361,363,362,361,356,360,363,353,351,344,362,355,354,359,312,321,339,355,358,361,348,264,119
11045010,281,365,365,362,365,366,360,365,362,366,363,364,364,366,365,362,364,366,364,365,363,365,363,360,363,362,362,358,324,31
11075010,0,335,311,332,356,353,325,339,282,283,300,283,176,250,358,362,353,346,149,301,57,0,0,0,0,0,0,0,0,0
11075020,353,365,351,345,321,350,365,362,337,359,362,365,364,366,364,362,349,366,365,365,258,187,336,75,0,0,0,222,311,146
11115020,365,343,353,362,360,365,360,200,328,208,365,363,360,362,363,362,358,364,347,365,363,357,340,361,365,366,273,348,364,135
11115040,354,354,360,358,358,357,361,359,361,365,365,365,363,362,363,359,353,343,353,358,341,79,364,361,365,363,304,359,282,31
11125010,353,331,227,286,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11135010,282,254,20,294,272,226,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11135020,49,67,155,189,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11145010,174,64,166,323,297,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12015010,348,267,87,100,0,120,180,0,0,0,0,0,0,0,0,0,0,0,198,356,276,225,357,344,332,341,331,359,239,88
12015050,281,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12015060,239,126,275,250,353,359,339,356,332,346,341,341,346,345,359,340,325,347,285,292,296,311,355,120,0,0,0,0,0,0
12015090,231,295,192,307,220,210,185,318,288,282,312,296,323,243,317,354,347,344,151,0,0,0,0,0,0,0,0,0,0,0
12025030,326,359,328,332,210,135,157,315,351,332,317,341,286,213,342,193,336,352,362,348,352,340,362,361,352,337,274,87,23,0
12025040,245,285,272,343,258,217,255,306,2,0,248,304,364,302,246,329,318,0,186,357,195,0,0,0,0,0,0,0,0,0
12045020,315,352,316,351,163,350,340,332,111,353,353,342,353,360,350,326,357,363,180,0,355,273,364,359,303,182,254,362,359,112
13015020,0,249,306,344,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13025030,163,253,0,86,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13055030,73,305,328,354,304,366,364,365,88,364,361,364,361,363,364,356,365,360,356,361,342,0,147,0,0,0,0,0,0,0
13065020,304,364,349,191,0,0,0,0,0,0,21,361,353,355,361,273,295,289,322,343,363,211,358,348,313,165,172,361,331,0
13075010,215,359,365,365,363,352,361,365,352,347,365,363,359,359,362,355,313,342,351,364,365,268,363,364,303,213,273,273,348,112
13075020,349,365,364,267,358,355,345,343,117,366,358,365,361,364,364,348,358,366,358,365,365,274,364,365,304,365,365,365,143,2
13085030,363,365,360,346,342,321,363,145,0,0,253,360,365,335,363,328,352,357,360,349,356,142,364,365,365,366,273,365,360,152
15015020,363,366,355,365,365,358,365,365,365,365,256,218,251,362,331,0,0,0,0,39,342,355,355,0,0,0,0,0,0,0
15015100,322,353,324,338,327,358,173,356,349,341,253,278,61,0,0,0,0,233,284,319,0,0,0,0,0,0,0,0,0,0
15015110,335,351,312,349,199,0,0,95,293,352,352,329,360,325,316,345,336,326,245,182,27,0,0,0,0,0,0,0,0,0
15035020,0,0,0,101,345,188,357,325,336,292,277,269,340,269,96,273,261,321,146,234,51,0,0,0,0,0,0,0,0,0
15045010,134,262,167,242,355,276,52,251,353,306,327,111,285,285,233,209,265,352,343,154,355,280,342,358,229,331,119,351,363,134
15085030,276,209,346,359,358,311,324,320,341,323,330,345,343,294,67,343,342,277,319,201,354,363,356,365,180,335,122,364,354,128
15085040,181,306,365,365,365,335,364,363,364,227,160,364,365,366,358,359,354,356,355,289,258,322,356,360,355,257,166,359,190,0
16015030,355,352,315,360,355,354,361,361,355,349,357,351,343,351,340,360,349,357,359,355,358,361,301,358,333,364,299,327,363,49
16015040,219,171,0,0,0,0,0,156,259,125,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16025020,336,273,239,99,162,293,342,236,196,78,14,0,186,183,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16035020,359,354,348,338,300,317,325,0,360,356,362,360,360,305,270,242,334,295,0,0,0,0,0,0,0,0,0,0,0,0
16055020,321,146,351,345,334,360,354,349,347,338,345,345,345,334,194,342,338,288,180,346,29,177,310,120,0,181,82,288,311,126
16055060,80,349,359,331,329,366,359,362,354,361,355,346,361,349,362,364,209,336,335,361,353,360,345,332,355,346,259,336,339,27
16055100,0,335,340,361,364,362,211,352,363,365,364,363,364,360,360,341,358,359,159,122,330,360,189,0,174,296,291,348,228,66
21015020,351,358,353,354,321,341,325,355,346,95,91,269,242,319,204,272,329,330,327,354,350,353,358,352,350,356,306,325,335,26
21025020,365,363,360,365,59,341,204,364,364,361,359,357,365,353,341,361,334,147,0,0,0,0,0,0,0,0,0,0,0,0
21025030,0,0,0,0,30,341,204,363,364,359,359,357,364,353,340,361,332,311,262,245,254,223,343,343,337,325,317,347,356,136
21035020,353,357,362,360,361,358,357,302,297,358,360,361,345,257,84,145,167,0,0,0,0,0,0,0,0,0,0,0,0,0
21035040,348,353,364,365,312,355,305,343,351,316,322,350,341,348,348,356,351,354,344,352,338,335,325,299,232,263,288,320,289,30
21045010,361,364,365,358,364,361,363,365,365,363,250,295,364,362,221,283,262,315,335,353,211,116,214,269,358,175,0,242,25,0
21055030,331,353,306,333,346,360,259,350,344,347,298,332,356,326,335,349,326,257,346,304,340,343,331,332,338,277,200,244,344,139
