CodigoEstacion,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
11025010,363,362,364,353,356,358,355,352,350,357,351,337,349,349,344,349,233,352,346,359,352,352,310,243,204,254,359,261,266,119
11045010,285,366,363,362,364,366,362,364,364,365,362,365,363,365,363,365,363,364,365,365,365,366,365,365,364,366,362,364,322,31
11075010,0,325,259,234,331,338,171,304,314,302,278,273,211,252,347,312,357,366,9,144,57,0,0,0,0,0,0,0,0,0
11075020,360,350,355,334,353,354,352,351,352,357,361,360,362,363,364,361,353,366,365,360,243,21,331,73,0,0,0,91,0,0
11115020,329,242,347,364,356,366,340,112,324,204,364,362,356,341,360,362,356,347,359,142,0,231,340,362,282,366,273,345,364,133
11115040,362,356,363,359,358,358,348,358,359,365,364,365,363,362,363,358,351,342,355,359,319,359,356,350,355,363,304,357,282,31
11125010,355,326,217,286,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11135010,290,310,304,301,258,243,332,335,263,342,143,84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11135020,54,67,261,84,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11145010,162,61,135,199,259,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12015010,167,182,81,99,0,0,95,0,0,0,0,0,0,0,0,0,0,0,198,359,323,312,343,27,65,358,333,358,236,79
12015050,220,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12015060,201,187,19,0,166,358,355,364,365,363,361,363,364,363,363,353,349,362,355,360,357,318,355,119,0,0,0,0,0,0
12015090,245,248,148,260,174,255,195,273,297,283,179,232,351,345,337,352,346,307,150,0,0,0,0,0,0,0,0,0,0,0
12025030,327,333,305,339,298,1,263,315,342,341,335,338,270,159,320,87,294,361,365,318,0,240,334,0,220,355,283,89,23,0
12025040,138,241,202,257,166,184,256,349,328,353,313,352,359,297,234,323,316,0,190,229,0,0,0,0,0,0,0,0,0,0
12045020,355,357,358,354,342,342,341,336,117,342,363,358,358,362,353,361,358,362,181,0,355,273,362,359,303,182,363,362,359,109
13015020,0,248,267,340,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13025030,105,247,151,239,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13055030,45,306,321,353,303,356,355,365,90,366,363,364,365,365,365,363,364,352,298,301,117,0,51,0,0,0,0,0,0,0
13065020,304,366,345,196,0,0,0,0,0,0,0,0,0,0,0,0,0,182,358,361,365,210,364,365,333,181,182,364,334,0
13075010,0,354,360,364,364,340,350,365,357,357,365,362,357,356,361,361,361,363,365,365,365,269,365,363,278,208,271,333,350,111
13075020,349,364,365,345,361,342,347,292,120,308,316,334,360,366,365,341,364,366,365,365,365,273,365,364,304,366,365,365,365,114
13085030,365,365,364,346,13,0,0,0,0,0,259,362,339,253,364,63,268,366,122,279,359,150,363,365,365,366,272,365,360,152
15015020,364,361,355,364,363,358,365,364,362,366,267,110,0,0,0,0,0,0,0,35,338,359,357,0,0,0,0,0,0,0
15015100,324,353,323,349,347,356,174,354,41,0,256,277,58,0,0,0,0,184,1,26,16,0,0,0,0,0,0,0,0,0
15015110,0,304,317,349,357,305,0,267,297,354,355,339,358,326,303,189,354,349,349,187,57,0,0,0,0,0,0,0,0,0
15035020,0,0,0,351,349,242,361,363,356,321,363,356,350,270,320,0,0,51,322,346,49,0,0,0,0,0,0,0,0,0
15045010,111,211,136,246,363,280,53,55,0,119,187,93,87,218,219,335,252,339,218,299,363,318,109,0,141,334,120,351,363,132
15085030,287,211,359,358,357,330,241,245,289,248,305,316,319,329,342,311,244,228,0,297,358,355,363,149,61,335,104,202,221,129
15085040,181,306,365,365,365,335,365,365,364,365,356,362,365,364,364,365,365,361,164,13,273,366,365,365,363,334,181,365,362,31
16015030,357,352,336,352,350,351,350,351,356,354,364,111,0,286,361,362,361,355,356,364,357,363,300,360,331,358,302,363,363,50
16015040,256,331,298,249,272,277,92,263,15,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16025020,330,282,225,192,147,276,32,146,215,99,299,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16035020,226,348,354,293,4,221,173,0,4,0,35,2,0,0,60,227,317,289,137,0,0,0,0,0,0,0,0,0,0,0
16055020,266,135,326,311,306,342,316,321,331,338,340,321,337,328,205,333,323,270,5,1,0,99,0,0,0,175,83,267,257,121
