CodigoEstacion,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
11027030,365,366,365,365,365,366,365,365,365,366,365,365,365,366,342,335,355,366,363,362,365,366,365,362,359,0,329,364,365,149
11027040,365,366,334,275,365,248,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11027050,365,366,365,365,365,366,365,365,365,366,365,0,0,319,318,305,274,364,360,361,334,152,134,0,0,0,0,176,365,0
11037020,365,153,365,365,365,366,365,365,365,366,364,365,344,365,365,365,363,366,365,365,365,366,314,359,344,366,365,357,361,89
11047010,365,366,365,212,365,366,342,329,365,366,353,365,123,362,352,361,344,347,358,361,353,274,365,349,181,0,364,363,364,30
11047020,346,366,365,365,365,366,365,365,365,366,355,365,359,366,365,365,365,366,365,334,343,314,365,365,365,366,356,356,361,151
11077020,365,366,365,365,365,366,365,365,365,366,365,365,365,347,344,356,315,359,354,307,360,319,0,0,365,0,365,365,365,26
11117010,212,366,365,365,365,366,365,365,365,366,365,365,364,357,328,349,306,365,365,362,364,366,365,365,365,0,365,149,336,9
11117030,365,366,334,334,275,213,0,84,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11117040,304,183,275,153,245,98,92,365,365,366,346,365,345,318,339,308,319,366,365,360,56,273,365,201,0,0,0,122,365,121
11147020,0,0,0,0,0,0,272,365,365,365,365,362,364,366,352,353,361,359,350,351,271,0,0,0,356,0,0,0,0,0
12017070,365,61,92,240,365,271,0,0,0,71,0,0,36,227,122,184,188,205,349,332,202,93,88,156,0,0,0,0,0,0
12017100,306,366,365,330,365,342,335,365,365,366,365,346,365,171,359,268,365,366,359,339,277,324,274,234,210,0,0,0,0,0
12037010,298,366,365,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12037030,334,365,365,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13017010,304,366,365,365,360,157,249,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13017020,365,366,365,365,365,362,353,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13037010,365,366,365,365,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13047030,0,344,230,233,285,281,205,355,333,171,364,363,365,357,320,315,364,366,364,363,0,0,0,0,0,0,0,0,0,0
13047050,365,366,365,358,365,366,364,263,365,364,365,365,364,366,357,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13057010,224,366,365,361,361,366,365,365,365,297,365,365,354,366,365,355,365,366,364,364,0,275,364,364,365,0,0,362,365,0
13067020,365,317,365,365,275,322,352,360,359,364,363,365,365,366,365,365,365,366,365,364,365,366,355,365,365,0,0,365,361,123
13077060,365,366,365,365,356,366,365,365,365,352,365,365,365,366,343,362,354,366,365,365,365,362,365,365,365,0,0,362,361,121
13077100,365,366,365,314,365,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15017030,365,366,365,365,365,366,363,365,365,366,365,365,120,366,365,365,362,287,330,216,335,336,267,163,284,0,0,360,364,149
15017040,365,366,365,365,365,366,365,363,362,365,0,0,357,0,0,0,341,366,363,351,349,227,363,365,0,0,0,365,364,100
15017060,365,366,365,365,365,366,365,365,364,177,365,365,352,366,327,281,215,0,0,362,360,304,360,299,325,0,0,365,273,0
15027010,365,366,365,365,316,350,365,365,365,347,340,345,361,361,290,326,343,349,365,359,341,356,119,305,359,0,0,304,222,31
15037010,365,366,365,365,334,364,364,365,365,366,365,365,359,366,365,365,362,353,345,358,297,303,364,344,354,0,0,365,364,31
15037020,264,366,365,365,365,366,365,364,365,360,337,338,359,366,331,363,365,366,359,337,333,327,303,365,365,0,0,316,300,103
15067010,345,312,365,351,365,366,169,309,365,366,287,350,278,366,364,355,352,365,365,63,365,154,125,75,70,0,0,365,284,37
15067040,329,366,365,352,365,366,315,224,364,344,365,365,320,364,365,365,351,0,0,342,351,361,273,0,0,0,0,0,0,0
15067050,297,321,298,275,356,357,278,313,362,136,312,365,289,366,357,364,364,366,363,363,341,251,241,269,346,116,355,341,259,121
15067090,10,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15067100,365,366,365,364,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15067110,365,366,365,336,331,365,243,150,93,366,365,365,365,363,364,355,337,324,245,353,125,0,0,0,0,0,0,0,0,0
15067130,365,366,365,365,365,334,365,357,362,365,334,365,361,354,365,365,365,366,365,365,364,336,365,365,212,0,0,357,365,31
15067160,288,366,365,362,365,338,353,338,355,346,363,351,365,361,363,365,187,0,0,139,91,43,12,52,0,0,0,0,0,0
15087010,178,339,365,240,359,241,245,229,308,344,143,365,130,348,358,356,362,366,322,245,354,362,94,43,50,0,0,0,0,0
15087080,64,44,67,42,79,91,60,156,73,56,48,37,8,35,0,19,131,155,52,0,0,0,0,0,0,0,0,0,0,0
16017010,365,0,0,154,304,366,347,365,198,0,0,0,270,357,211,200,157,352,279,337,0,0,360,360,362,366,352,350,359,147
16017020,365,366,365,365,364,364,365,365,365,366,365,363,351,366,365,364,363,361,365,365,363,308,365,365,365,366,365,365,365,119
16017030,0,0,0,0,0,0,0,0,290,320,178,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16017040,365,366,365,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16027010,365,0,365,333,361,282,272,363,250,19,354,364,364,366,362,365,361,366,363,364,363,245,364,365,364,366,364,365,299,132
16027060,365,277,365,347,364,356,365,279,287,46,0,0,0,175,348,360,362,355,356,182,23,0,0,0,0,0,130,361,247,14
16027100,365,359,365,365,359,340,365,359,334,356,350,345,308,344,364,336,363,358,355,320,337,361,362,360,361,366,365,365,365,0
