CodigoEstacion,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
11017010,365,366,365,365,365,366,365,365,365,366,353,365,365,364,365,365,362,364,365,358,364,366,365,365,354,0,364,365,358,75
11027010,365,366,365,365,365,366,365,365,365,311,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11047030,356,366,365,365,365,366,363,365,365,366,365,365,363,362,160,307,332,362,355,364,356,358,251,327,336,0,359,365,270,0
11057010,365,366,365,365,302,366,321,297,365,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11057020,365,366,365,304,343,366,365,365,365,366,365,365,365,365,365,358,363,366,365,350,303,296,308,287,241,0,281,329,365,149
11077010,365,366,365,365,365,366,365,365,365,366,365,365,359,366,365,360,365,356,365,365,365,366,365,365,365,316,353,359,339,150
11077030,365,366,365,303,323,366,365,365,365,336,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11117050,365,366,365,335,365,314,304,351,324,366,365,365,365,366,365,337,364,366,365,365,364,366,365,363,365,0,0,0,0,0
12017010,153,306,365,365,365,321,352,365,365,366,365,365,346,357,361,354,359,365,365,361,355,272,0,0,0,128,0,0,0,0
12017020,365,366,365,365,365,186,245,365,365,366,365,359,365,364,359,355,345,365,365,365,364,366,365,365,365,361,365,365,365,94
12017030,365,274,365,365,365,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12017040,365,366,212,275,335,335,365,365,365,366,365,352,26,245,306,288,256,361,360,358,363,364,358,352,362,0,0,0,0,0
12017050,214,366,365,243,304,196,306,365,365,366,365,365,365,342,328,279,238,310,315,353,31,0,0,0,0,0,0,0,0,0
12017060,365,366,365,365,365,366,365,365,365,366,365,365,363,276,236,307,349,361,351,363,326,302,0,0,0,0,0,0,0,0
12017080,365,366,365,365,308,366,337,365,365,366,294,365,362,363,362,358,364,267,361,365,272,0,0,0,0,0,0,0,0,0
12027010,365,366,365,334,365,31,337,361,365,366,365,365,365,366,365,363,365,366,365,354,363,362,360,235,0,0,0,0,0,0
12027030,365,366,365,352,365,366,365,352,365,355,365,365,365,266,238,268,300,347,271,365,90,0,0,0,0,0,0,0,0,0
12027040,365,366,365,365,365,244,59,365,349,214,275,365,365,366,284,282,268,217,192,116,0,0,0,0,0,0,0,0,0,0
12027050,365,366,365,365,365,366,365,365,365,366,365,363,363,366,352,351,345,366,365,365,358,364,365,365,345,0,364,365,365,121
12027060,361,366,365,365,365,366,267,282,365,350,365,365,365,211,326,329,355,352,364,365,120,0,0,0,0,0,0,0,0,0
12037020,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12037050,365,366,365,365,365,366,52,0,214,366,365,365,365,366,362,365,365,366,0,0,0,0,0,0,0,0,0,0,0,0
13017040,365,366,365,365,365,366,361,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13027010,304,366,357,304,241,364,298,365,280,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13027020,304,353,365,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13027030,134,366,345,303,365,115,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13037040,0,0,315,214,272,366,299,271,184,160,236,109,286,366,365,364,356,366,363,362,357,366,260,365,365,0,0,362,151,0
13047040,365,356,352,365,341,189,192,323,243,171,365,332,354,345,338,364,365,366,355,365,0,0,0,0,0,0,0,0,0,0
13067030,365,366,365,358,365,355,365,332,362,329,331,339,341,348,345,362,356,360,363,343,0,0,0,0,0,0,0,0,0,0
13067050,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13077010,365,366,365,365,362,342,271,263,365,289,365,360,361,362,363,355,340,343,362,363,365,290,365,353,359,0,0,365,357,0
13077030,335,327,304,306,365,366,365,365,364,366,365,363,365,364,363,365,365,326,365,363,0,0,0,0,0,0,0,0,0,0
13077040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,365,0
13077170,227,319,331,0,0,239,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13077300,244,342,31,325,281,294,268,261,360,229,365,184,348,246,362,363,365,332,363,352,364,365,358,327,273,0,0,334,333,0
15017020,365,366,365,365,365,366,365,365,347,3,323,365,345,244,363,365,365,366,365,364,349,249,337,250,0,0,0,365,365,31
15017080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,365,360,364,365,360,364,366,365,363,346,0,0,365,326,31
15037030,340,343,365,365,365,364,364,365,365,366,365,365,365,335,365,365,365,273,262,290,337,0,0,0,0,0,0,365,362,31
15047020,365,366,365,364,355,365,365,364,357,364,365,365,365,363,359,365,359,361,362,352,349,335,364,186,365,0,0,365,341,31
15067030,364,335,276,272,365,365,354,313,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15067060,365,366,365,365,365,366,182,306,364,366,304,0,0,0,0,0,0,0,211,269,217,293,0,145,361,0,0,0,0,0
15067070,304,366,274,288,362,366,304,361,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15067080,0,0,245,365,361,213,207,365,279,363,365,365,280,366,135,307,349,359,197,115,0,269,72,0,91,88,0,0,0,0
16017070,0,0,0,363,235,366,365,363,273,351,90,0,0,0,0,166,359,281,236,0,0,0,0,183,324,358,315,244,218,96
16027020,365,364,359,363,365,366,365,364,365,152,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16027030,0,0,0,0,0,331,326,359,360,360,334,340,347,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16027140,0,0,0,0,0,342,361,361,360,360,349,313,312,318,316,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16037040,365,306,306,365,365,366,358,359,365,366,262,59,0,31,300,248,317,343,304,231,224,306,303,136,0,356,227,0,0,0
16047020,365,365,365,363,331,269,302,365,116,65,0,0,0,0,359,258,362,366,337,162,74,0,0,0,0,0,0,0,0,0
16057050,365,0,365,348,351,360,365,346,353,366,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16057060,0,361,365,363,323,366,365,365,365,364,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16057070,365,366,365,365,365,366,364,365,365,362,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21037020,365,366,365,365,365,0,0,0,0,0,0,0,0,0,0,350,365,366,327,365,365,366,323,0,364,366,277,365,365,31
21037030,365,366,365,365,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21047030,365,366,334,365,180,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21047040,365,366,365,365,359,0,365,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21057010,365,366,365,365,365,365,365,365,365,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21057020,365,366,365,365,365,366,365,364,357,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21057070,365,366,365,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21057110,0,0,0,360,365,366,365,364,365,238,363,347,365,366,365,365,365,366,365,365,365,366,365,357,353,359,365,365,181,60
21077020,0,0,0,0,0,0,0,365,365,361,337,326,365,366,365,365,365,183,277,365,90,0,0,0,0,0,365,365,326,31
21077030,365,366,365,340,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0
21087040,365,366,365,365,365,0,0,0,362,366,0,0,0,0,0,0,0,366,0,318,365,366,364,355,326,0,0,0,0,0
21087100,0,0,0,0,365,366,365,365,365,366,365,341,365,366,365,365,365,366,365,365,365,366,364,363,365,350,364,0,0,0
21107020,365,366,365,365,365,366,365,365,365,366,365,365,365,293,189,291,365,366,264,89,365,366,355,365,0,0,0,246,363,121
21107030,365,366,365,365,365,167,0,365,363,366,365,365,365,366,365,365,365,366,365,365,365,366,303,361,0,0,0,0,0,0
21117080,365,366,365,365,365,366,365,356,355,136,0,0,0,0,365,304,365,366,365,365,276,366,335,333,343,318,364,365,137,0
21117110,365,366,365,365,365,366,192,365,228,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0
21117130,365,366,31,154,317,305,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21117140,365,366,232,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21117160,365,366,365,0,365,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21127010,365,366,365,365,365,0,0,0,0,0,0,0,0,0,0,365,365,366,365,344,365,246,304,0,0,316,301,225,268,0
21127020,365,366,365,365,365,366,243,365,365,193,306,365,365,366,365,365,365,366,365,365,365,366,82,0,0,366,365,365,365,152
21137040,365,0,0,364,0,0,0,0,363,363,0,0,0,0,0,158,365,365,365,365,365,366,349,358,264,365,365,361,337,59
21137080,365,347,365,365,365,366,360,365,365,330,266,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21147050,365,366,365,365,365,366,364,351,365,185,0,0,365,366,365,306,72,331,365,365,365,366,364,364,362,366,364,364,334,71
21167050,365,366,365,365,365,366,365,365,365,366,365,365,365,365,280,269,353,366,313,363,365,366,358,350,361,366,365,365,365,149
21197090,0,363,365,355,365,366,365,365,365,366,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21217140,365,366,365,0,352,358,365,365,273,152,365,365,365,347,341,365,365,366,358,365,154,366,337,0,365,366,363,353,363,0
21217190,365,366,365,365,0,0,0,341,365,366,365,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21217210,0,0,0,365,341,366,0,355,365,366,365,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21217220,365,358,365,365,323,343,344,351,365,366,365,364,365,366,365,365,365,210,0,0,0,0,0,0,334,365,0,0,0,0
21217230,0,0,333,0,0,0,0,297,334,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21217260,365,366,365,365,365,366,365,365,363,366,365,289,0,0,365,365,365,366,354,365,0,0,361,147,0,0,0,0,0,0
21217270,365,366,365,291,333,268,365,365,365,284,99,301,365,365,339,0,0,366,364,365,133,0,0,0,0,0,108,0,0,0
21217280,0,0,365,0,365,312,365,328,365,366,365,365,199,366,365,365,365,366,364,364,81,362,365,365,334,0,0,0,0,0
21217290,0,0,281,103,0,156,365,312,365,277,334,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21237040,365,366,365,365,365,353,365,365,365,366,295,365,319,365,300,0,0,366,365,365,290,366,365,0,0,337,365,365,361,31
21247040,365,366,0,362,365,363,365,365,365,366,364,365,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21247050,365,366,365,365,365,366,365,365,365,351,343,348,294,330,240,365,335,318,0,0,0,0,0,0,0,0,0,0,0,0
22047010,365,366,365,365,365,366,365,365,365,365,365,364,365,366,365,365,311,314,363,365,365,364,365,365,365,366,365,365,365,31
22057050,365,366,242,365,365,366,365,365,365,365,365,365,364,366,364,365,365,366,362,364,333,294,364,77,161,300,364,365,243,0
22057080,365,366,365,365,365,366,362,365,365,366,365,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
