CodigoEstacion,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
11017010,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,12,12,12,12,12,12,12,0,12,12,12,3
11027010,24,24,24,24,24,24,24,24,24,20,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11047030,12,12,12,12,12,12,12,12,12,12,12,12,12,12,6,11,11,0,12,12,12,12,8,12,12,0,12,12,9,0
11057010,24,24,24,24,18,24,24,24,24,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11057020,24,24,24,24,22,24,24,24,24,24,24,24,24,24,24,24,24,0,24,24,22,24,24,20,18,0,22,24,24,10
11077010,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12,12,12,4
11077030,24,24,24,24,20,24,24,24,24,22,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11117050,12,12,12,12,12,11,10,12,11,12,12,12,12,12,12,11,12,0,12,12,12,12,12,12,12,0,0,0,0,0
12017010,24,24,24,24,24,22,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,18,0,0,0,0,0,0,0,0
12017020,12,12,12,12,12,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,3
12017030,24,24,24,24,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12017040,12,12,12,11,11,11,12,12,12,12,12,12,1,10,12,12,10,12,12,12,12,12,12,12,12,0,0,0,0,0
12017050,24,24,24,22,20,14,20,24,24,24,24,24,24,24,24,22,18,20,24,24,2,0,0,0,0,0,0,0,0,0
12017060,24,24,24,24,24,24,24,24,24,24,24,24,24,20,16,22,24,24,24,24,22,20,0,0,0,0,0,0,0,0
12017080,24,24,24,24,20,24,22,24,24,24,20,24,24,24,24,24,24,16,24,24,18,0,0,0,0,0,0,0,0,0
12027010,12,12,12,12,12,1,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,8,0,0,0,0,0,0
12027030,12,12,12,12,12,12,12,12,12,12,12,12,12,9,11,10,11,12,10,12,3,0,0,0,0,0,0,0,0,0
12027040,12,12,12,12,12,8,3,12,12,7,9,12,12,12,10,11,11,0,7,4,0,0,0,0,0,0,0,0,0,0
12027050,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,0,12,12,12,4
12027060,12,12,12,12,12,12,9,10,12,12,12,12,12,7,11,12,12,12,12,12,4,0,0,0,0,0,0,0,0,0
12037020,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12037050,12,12,12,12,12,12,2,0,7,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0
12047010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13017040,12,12,12,12,12,12,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13027010,10,12,12,10,8,12,10,12,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13027020,10,12,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13027030,10,24,24,20,24,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13037040,0,0,22,18,18,24,20,20,12,12,16,6,18,24,24,24,24,24,24,24,24,24,18,24,24,0,0,24,10,0
13047040,12,12,12,12,12,7,7,11,8,6,12,12,12,11,11,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0
13067030,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0
13067050,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13077010,24,24,24,24,24,22,16,18,24,20,24,24,24,24,24,24,24,24,24,24,24,18,24,24,24,0,0,24,24,0
13077030,22,22,20,20,24,24,24,24,24,24,24,24,24,24,24,24,24,22,24,24,0,0,0,0,0,0,0,0,0,0
13077040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0
13077070,0,0,0,0,0,1,0,0,0,1,3,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13077080,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13077170,16,20,22,0,0,16,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13077300,8,12,1,12,9,10,9,9,12,8,12,6,12,8,12,12,12,11,12,12,12,12,12,12,9,0,0,11,11,0
13097010,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15017020,12,12,12,12,12,12,12,12,11,0,11,12,12,8,12,12,12,12,12,12,12,9,12,8,0,0,0,12,12,1
15017080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,11,0,0,12,11,1
15037030,24,24,24,24,24,24,24,24,24,24,24,24,24,22,24,24,24,18,16,20,22,0,0,0,0,0,0,24,24,2
15047020,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12,6,12,0,0,12,11,1
15067030,24,24,24,20,24,24,24,22,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15067060,24,24,24,24,24,24,12,20,24,24,20,0,0,0,0,0,0,0,14,20,14,20,0,12,24,0,0,0,0,0
15067070,24,24,20,20,24,24,20,24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15067080,0,0,24,24,24,14,14,24,22,24,24,24,18,24,8,20,24,24,14,8,0,18,4,0,6,4,0,0,0,0
16017070,0,0,0,12,8,12,12,12,9,12,3,0,0,0,0,6,12,9,8,0,0,0,0,7,12,11,0,12,11,5
16027020,12,12,12,12,12,12,12,12,12,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16027030,0,0,0,0,0,11,11,12,12,12,12,12,12,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16027140,0,0,0,0,0,12,12,12,12,12,12,12,11,12,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16037040,12,12,12,12,12,12,12,12,12,12,9,2,0,1,11,9,12,12,12,9,10,12,12,5,0,11,8,0,0,0
16047020,12,12,12,12,12,9,10,12,4,2,0,0,0,0,12,9,12,12,12,6,3,0,0,0,0,0,0,0,0,0
16057050,12,0,12,12,12,12,12,11,12,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16057060,0,12,12,12,11,12,12,12,12,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16057070,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
