CodigoEstacion,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
11110020,365,366,333,365,365,335,365,365,365,366,365,335,363,366,364,365,365,366,365,365,365,366,365,365,364,366,365,364,365,151
11110110,293,357,342,313,324,347,239,365,365,365,364,365,365,335,364,207,363,365,365,299,94,0,0,0,0,0,0,0,0,0
12010160,364,365,365,365,273,366,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12010170,305,366,365,365,344,31,0,0,0,0,0,0,0,89,364,365,365,366,365,364,365,366,365,358,365,366,365,365,241,109
12010180,363,357,352,359,364,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12020170,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13070080,365,366,365,365,365,366,365,364,365,366,365,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13070130,335,366,365,365,365,366,365,358,364,366,365,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13070140,365,365,365,365,365,366,365,365,182,365,365,365,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13070150,365,366,365,306,365,366,365,365,304,366,365,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14010010,365,366,365,365,365,366,365,365,364,366,365,365,364,214,365,364,363,366,365,365,365,363,365,365,365,336,365,365,347,119
15010300,365,365,365,365,364,366,365,365,364,365,362,364,365,335,364,365,364,364,337,365,365,366,363,365,365,366,365,341,334,88
15060090,239,152,365,365,365,366,365,365,365,366,365,365,365,366,365,365,365,336,365,365,365,366,365,365,365,366,365,365,365,31
15060130,89,154,306,365,365,365,365,365,365,366,365,365,364,356,365,365,350,264,334,338,364,365,365,365,365,89,0,0,0,0
15060140,212,31,306,365,365,365,345,364,365,92,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15060160,152,122,346,365,364,304,365,365,365,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15060200,210,122,365,365,365,243,365,365,365,366,365,365,365,366,365,365,365,365,364,364,165,0,0,0,0,0,0,0,0,0
15060210,242,122,365,365,365,336,365,365,365,366,365,365,365,365,364,365,365,366,365,365,364,363,327,362,278,366,364,363,362,0
16010330,365,366,365,365,365,366,365,365,365,366,365,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16020510,365,366,365,365,365,366,365,365,365,366,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16055080,365,357,365,344,321,322,364,360,51,316,365,333,318,235,347,59,365,216,193,365,90,0,0,0,0,0,365,95,0,0
