CodigoEstacion,2013,2014,2015,2016,2017,2018,2019,2020
11110020,0,0,0,0,0,0,0,0
11110110,0,0,0,0,0,0,0,0
12010170,0,0,0,0,0,0,0,0
12010180,0,0,0,0,0,0,0,0
13070080,0,0,0,0,0,0,0,0
13070130,0,0,0,0,0,0,0,0
13070140,0,0,0,0,0,0,0,0
13070150,0,0,0,0,0,0,0,0
14010010,0,0,0,0,0,0,0,0
15010300,0,0,0,0,0,0,0,0
15060090,0,0,0,0,0,0,0,0
15060130,0,0,0,0,0,0,0,0
15060140,0,0,0,0,0,0,0,0
15060160,0,0,0,0,0,0,0,0
15060200,0,0,0,0,0,0,0,0
15060210,0,0,0,0,0,0,0,0
16010330,0,0,0,0,0,0,0,0
16055080,0,0,0,0,0,0,0,0
17010010,0,0,0,0,0,0,0,0
21010250,0,0,0,0,0,0,0,0
21080080,0,0,0,0,0,0,0,0
21080110,0,0,0,0,0,0,0,0
21080130,0,0,0,0,0,0,0,0
21100070,0,0,0,0,0,0,0,0
21110130,0,0,0,0,0,0,0,0
21110400,0,0,0,0,0,0,0,0
21110430,0,0,0,0,0,0,0,0
21160260,92,365,365,366,365,365,365,119
21190030,0,0,0,0,0,0,0,0
21200880,0,0,0,0,0,0,0,0
21201060,0,0,0,0,0,0,0,0
21201600,0,0,0,0,0,0,0,0
21201630,0,0,0,0,0,0,0,0
21201640,0,0,0,0,0,0,0,0
21201710,0,0,0,0,0,0,0,0
21210020,0,0,0,0,0,0,0,0
21210030,0,0,0,0,0,0,0,0
21210080,0,0,0,0,0,0,0,0
21210100,0,0,0,0,0,0,0,0
21210110,0,0,0,0,0,0,0,0
21210120,0,0,0,0,0,0,0,0
21210160,0,0,0,0,0,0,0,0
21210180,0,0,0,0,0,0,0,0
21210190,0,0,0,0,0,0,0,0
21210220,0,0,0,0,0,0,0,0
21210260,0,0,0,0,0,0,0,0
22010060,0,0,0,0,0,0,0,0
22010090,0,0,0,0,0,0,0,0
22050040,0,0,0,0,0,0,0,0
22050060,0,0,0,0,0,0,0,0
23050340,0,0,0,0,0,0,0,0
23080390,0,0,0,0,0,0,0,0
23080730,0,0,0,0,0,0,0,0
23080800,0,0,0,0,0,0,0,0
23080810,0,0,0,0,0,0,0,0
23080910,0,0,0,0,0,0,0,0
23080920,0,0,0,0,0,0,0,0
23080930,0,0,0,0,0,0,0,0
23080940,0,0,0,0,0,0,0,0
23080950,0,0,0,0,0,0,0,0
23090100,0,0,0,0,0,0,0,0
23100080,0,0,0,0,0,0,0,0
23125130,0,0,0,0,0,0,0,0
23190590,0,0,0,0,0,0,0,0
23190700,0,0,0,0,0,0,0,0
23190830,0,0,0,0,0,0,0,0
24010150,0,0,0,0,0,0,0,0
24010690,0,0,0,0,0,0,0,0
24010830,0,0,0,0,0,0,0,0
24011090,0,0,0,0,0,0,0,0
24020040,0,0,0,0,0,0,0,0
24030120,0,0,0,0,0,0,0,0
24030350,0,0,0,0,0,0,0,0
24030370,0,0,0,0,0,0,0,0
24030820,0,0,0,0,0,0,0,0
24030940,0,0,0,0,0,0,0,0
24030950,0,0,0,0,0,0,0,0
24060070,0,0,0,0,0,0,0,0
25020480,0,0,0,0,0,0,0,0
26080300,0,0,0,0,0,0,0,0
26080310,0,0,0,0,0,0,0,0
26090790,0,0,0,0,0,0,0,0
26110230,0,0,0,0,0,0,0,0
26180180,0,0,0,0,0,0,0,0
26180240,0,0,0,0,0,0,0,0
26180250,0,0,0,0,0,0,0,0
26220050,0,0,0,0,0,0,0,0
26220110,0,0,0,0,0,0,0,0
26230160,0,0,0,0,0,0,0,0
26230200,0,0,0,0,0,0,0,0
27011120,0,0,0,0,0,0,0,0
27011150,0,0,0,0,0,0,0,0
27020200,0,0,0,0,0,0,0,0
27030240,0,0,0,0,0,0,0,0
29030040,0,0,0,0,0,0,0,0
29030150,0,0,0,0,0,0,0,0
29030510,0,0,0,0,0,0,0,0
29030570,0,0,0,0,0,0,0,0
29040240,0,0,0,0,0,0,0,0
35020020,0,0,0,0,0,0,0,0
35020310,0,0,0,0,0,0,0,0
35030010,0,0,0,0,0,0,0,0
35030030,0,0,0,0,0,0,0,0
35030040,0,0,0,0,0,0,0,0
35030080,0,0,0,0,0,0,0,0
35030090,0,0,0,0,0,0,0,0
35030100,0,0,0,0,0,0,0,0
35030290,0,0,0,0,0,0,0,0
35060100,0,0,0,0,0,0,0,0
35070010,0,0,0,0,0,0,0,0
35070080,0,0,0,0,0,0,0,0
35070110,0,0,0,0,0,0,0,0
35070180,0,0,0,0,0,0,0,0
35070190,0,0,0,0,0,0,0,0
35070220,0,0,0,0,0,0,0,0
35070230,0,0,0,0,0,0,0,0
35070260,0,0,0,0,0,0,0,0
35070310,0,0,0,0,0,0,0,0
35070480,0,0,0,0,0,0,0,0
35070500,0,0,0,0,0,0,0,0
35070520,0,0,0,0,0,0,0,0
35070550,0,0,0,0,0,0,0,0
35080050,0,0,0,0,0,0,0,0
35080140,0,0,0,0,0,0,0,0
35190010,0,0,0,0,0,0,0,0
35190030,0,0,0,0,0,0,0,0
35210040,0,0,0,0,0,0,0,0
35210050,0,0,0,0,0,0,0,0
35210060,0,0,0,0,0,0,0,0
35220030,0,0,0,0,0,0,0,0
35230030,0,0,0,0,0,0,0,0
35230040,0,0,0,0,0,0,0,0
36010020,0,0,0,0,0,0,0,0
36010030,0,0,0,0,0,0,0,0
44010040,0,0,0,0,0,0,0,0
44010100,0,0,0,0,0,0,0,0
47010020,0,0,0,0,0,0,0,0
51020010,0,0,0,0,0,0,0,0
52010050,0,0,0,0,0,0,0,0
52010100,0,0,0,0,0,0,0,0
52010190,0,0,0,0,0,0,0,0
52020180,0,0,0,0,0,0,0,0
52020190,0,0,0,0,0,0,0,0
53100050,0,0,0,0,0,0,0,0
