CodigoEstacion,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
11010010,365,364,364,365,365,364,365,359,365,366,266,364,364,366,365,365,365,366,365,365,365,366,365,365,365,366,365,365,365,145
11020010,365,366,364,365,365,366,364,365,365,366,365,365,365,366,365,365,364,366,365,365,365,366,365,365,365,366,365,365,242,31
11020020,365,366,363,365,365,337,365,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11020050,365,366,365,365,365,366,365,161,92,364,365,365,365,164,364,365,364,366,365,365,365,366,337,365,364,366,365,365,365,118
11030030,364,366,358,365,364,365,365,365,364,366,365,17,233,366,365,365,364,351,363,365,120,181,50,0,31,178,207,290,113,0
11030040,0,114,365,364,365,365,365,359,365,366,365,348,0,154,365,365,365,366,365,365,365,366,364,365,365,366,365,365,363,121
11035020,327,363,365,364,348,337,365,365,365,351,336,357,354,358,361,361,363,363,365,364,365,365,361,260,356,331,365,365,365,30
11040010,363,305,359,365,365,366,365,358,365,366,365,364,363,366,365,365,365,335,364,364,365,366,365,365,365,365,365,365,329,101
11050010,365,366,365,365,365,366,365,360,363,366,365,365,365,366,365,365,364,274,365,365,365,366,365,365,363,365,365,365,272,0
11050030,365,366,364,365,357,366,365,359,365,366,365,365,364,365,354,334,365,164,315,365,365,366,365,365,359,366,364,365,365,120
11050040,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11050060,362,351,364,365,365,359,365,360,361,366,365,365,365,355,278,365,365,366,365,365,365,366,364,358,365,366,365,365,272,0
11060010,364,362,365,365,365,365,365,360,365,365,365,365,364,366,365,365,364,292,365,365,360,366,343,365,364,366,365,365,242,0
11070020,365,366,365,365,365,366,364,365,365,366,364,365,365,366,365,364,365,366,365,365,365,366,365,364,365,366,365,363,335,60
11070030,365,366,364,365,365,366,365,365,365,359,326,361,364,366,336,362,327,355,364,365,364,366,365,365,365,351,290,365,364,91
11070130,365,366,364,363,361,366,365,365,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11090010,365,365,365,365,365,365,365,357,365,366,365,365,365,363,364,365,365,366,365,365,365,366,365,349,365,366,365,365,363,90
