cuenca|variable|estacion|porc_influencia
4|P 80|26020130|55.4569631116807
4|P 80|26020460|44.5430368883193
4|Q MAX 70|21057060|null
4|Q MAX 70|26057040|null
4|Q MED 70|26027240|null
4|Q MIN 70|21057060|null
4|Q MIN 70|26057040|null
4|TMN70|26025090|null
4|TMX70|26025100|null
15|P 80|26050060|100
15|TMN70|26025100|null
15|TMX70|26025100|null
17|P 80|21050060|12.906482224691
17|P 80|21050090|87.093517775309
17|Q MAX 70|22027020|null
17|Q MAX 70|26137220|null
17|Q MIN 70|22027020|null
17|Q MIN 70|26137220|null
24|P 80|26130020|100
24|Q MAX 70|22017010|null
24|Q MIN 70|22017010|null
27|P 80|22020020|100
27|Q MAX 70|22057040|null
27|Q MED 70|22027010|null
27|Q MIN 70|22057040|null
28|P 80|22015020|100
28|Q MAX 70|22047010|null
28|Q MED 70|22017010|null
28|Q MIN 70|22047010|null
30|P 80|22020050|100
30|Q MAX 70|35077080|null
30|Q MED 70|22057040|null
30|Q MIN 70|35077080|null
36|P 80|22060110|100
36|Q MAX 70|21167080|null
36|Q MED 70|22047010|null
36|Q MIN 70|21167080|null
42|P 80|35070100|100
42|Q MED 70|35077080|null
44|P 80|21160160|55.3838630493957
44|P 80|21160170|44.6161369506043
44|Q MAX 70|21217200|null
44|Q MED 70|21167080|null
44|Q MIN 70|21217200|null
44|TMN70|21165010|null
46|P 80|21190350|100
46|Q MAX 70|23057140|null
46|Q MED 70|21197010|null
46|Q MIN 70|23057140|null
51|P 80|21210170|100
51|Q MED 70|21217120|null
51|TMN70|21185080|null
65|P 80|23040070|65.9697888593182
65|P 80|23050100|34.0302111406819
65|TMX70|23055040|null
69|P 80|24020080|73.827061917969
69|P 80|24020120|11.6539314265056
69|P 80|24020130|14.5190066555254
69|Q MED 70|24027010|null
72|P 80|23160010|60.5144230418932
72|P 80|24050060|39.4855769581068
72|Q MED 70|23147020|null
74|P 80|32010010|100
74|P 80|32010010|16.1791411684179
74|P 80|32010010|21.8064625602704
74|P 80|32010010|22.5189000422611
74|Q MED 70|32037030|null
74|Q MED 70|32107010|null
74|Q MED 70|32157060|null
74|Q MED 70|32207010|null
75|P 80|23160010|50.9986807829604
75|P 80|24050060|28.8144267555982
75|P 80|24060050|20.1868924614414
75|Q MED 70|24067020|null
86|P 80|21010140|51.0305633098532
86|P 80|21010230|48.9694366901468
86|Q MAX 70|24017600|null
86|Q MED 70|21017020|null
86|Q MIN 70|24017600|null
87|P 80|23100030|100
87|Q MED 70|23107020|null
87|TMN70|23085030|null
89|P 80|24010810|84.6449275607376
89|P 80|24010850|15.3550724392624
89|TMN70|24055040|null
89|TMX70|24055040|null
93|P 80|23180070|44.2907419290019
93|P 80|23190360|29.2544367634935
93|P 80|23190380|26.4548213075046
93|Q MAX 70|26027100|null
93|Q MAX 70|35197180|null
93|Q MED 70|23197370|null
93|Q MIN 70|26027100|null
93|Q MIN 70|35197180|null
103|P 80|26020020|100
103|TMN70|26025100|null
103|TMX70|26025100|null
118|P 80|35197180|17.551738381055
118|Q MED 70|35267080|null
126|Q MED 70|35267080|null
129|P 80|35180010|21.0932656518453
129|P 80|35180010|17.1389263713086
129|Q MED 70|35117010|null
129|Q MED 70|35267080|null
130|P 80|35070170|15.9471260448348
130|P 80|35070170|14.2702804885194
130|Q MED 70|35117010|null
130|Q MED 70|35267080|null
136|Q MED 70|32207010|null
137|Q MED 70|32157060|null
137|Q MED 70|32207010|null
137|Q MED 70|32207010|null
138|Q MED 70|35267080|null
139|Q MED 70|35267080|null
140|P 80|35180010|100
140|Q MED 70|35267080|null
142|P 80|35010010|29.8408062431944
142|P 80|35010010|25.2473530645863
142|P 80|35010010|14.1265538032821
142|Q MED 70|35107030|null
142|Q MED 70|35117010|null
142|Q MED 70|35267080|null
143|P 80|35050010|33.6080205146336
143|P 80|35050010|14.9074130839427
143|P 80|35050010|13.4040323843024
143|Q MED 70|35107030|null
143|Q MED 70|35117010|null
143|Q MED 70|35267080|null
144|P 80|35020060|22.1925065716501
144|P 80|35020060|14.4752753676612
144|P 80|35020060|12.6387079398194
144|Q MED 70|35107030|null
144|Q MED 70|35117010|null
144|Q MED 70|35267080|null
146|P 80|35010060|100
146|P 80|35030030|14.3586666705218
146|P 80|35030030|8.32956678712976
146|P 80|35030030|10.8697606317131
146|Q MED 70|35017090|null
146|Q MED 70|35107030|null
146|Q MED 70|35117010|null
146|Q MED 70|35267080|null
147|Q MED 70|35107030|null
147|Q MED 70|35117010|null
147|Q MED 70|35267080|null
148|Q MED 70|35107030|null
148|Q MED 70|35117010|null
148|Q MED 70|35267080|null
149|Q MED 70|35107030|null
149|Q MED 70|35117010|null
149|Q MED 70|35267080|null
150|P 80|32070060|18.6789217107096
150|P 80|32070060|25.0735735451566
150|P 80|32070060|25.0904662829692
150|Q MED 70|32107010|null
150|Q MED 70|32157060|null
150|Q MED 70|32207010|null
151|Q MED 70|32037030|null
151|Q MED 70|32107010|null
151|Q MED 70|32157060|null
151|Q MED 70|32207010|null
152|Q MED 70|32157060|null
152|Q MED 70|32207010|null
154|P 80|16030080|77.4939803597039
154|P 80|16030140|22.5060196402961
154|Q MED 70|16037030|null
155|P 80|16040010|100
155|Q MED 70|16047010|null
156|Q MED 70|35267080|null
157|Q MED 70|35267080|null
158|Q MED 70|35267080|null
159|Q MED 70|32157060|null
159|Q MED 70|32207010|null
160|Q MED 70|32157060|null
160|Q MED 70|32207010|null
160|Q MED 70|32207010|null
161|Q MED 70|32157060|null
161|Q MED 70|32207010|null
162|P 80|32070020|23.1451215733417
162|P 80|32070020|25.5418438553379
162|P 80|32080010|41.9968155475308
162|P 80|32080010|27.4333298133781
162|P 80|32080010|26.8487898194318
162|Q MED 70|32107010|null
162|Q MED 70|32157060|null
162|Q MED 70|32207010|null
164|Q MED 70|32207010|null
166|P 80|16020010|100
166|Q MED 70|16027280|null
167|P 80|16010010|46.4792550891998
167|P 80|16010340|36.0399032304837
167|P 80|16020340|17.4808416803165
167|Q MAX 70|11037020|null
167|Q MED 70|16017020|null
167|Q MIN 70|11037020|null
167|TMN70|16015030|null
171|Q MED 70|32157060|null
171|Q MED 70|32207010|null
179|P 80|12010030|100
179|Q MED 70|12017020|null
193|P 80|11050060|27.5095858368361
193|Q MED 70|11077010|null
194|P 80|11050010|33.1711672357491
194|Q MED 70|11077010|null
196|Q MED 70|11077010|null
197|P 80|11010010|100
197|P 80|11010010|20.4959977788618
197|P 80|11010010|11.2158151362464
197|Q MED 70|11037020|null
197|Q MED 70|11047020|null
197|Q MED 70|11077010|null
198|P 80|11035020|32.4249785067099
198|P 80|11035020|13.6158076080255
198|Q MED 70|11047020|null
198|Q MED 70|11077010|null
199|P 80|11040010|47.0790237144283
199|P 80|11040010|14.4876241831429
199|Q MED 70|11047020|null
199|Q MED 70|11077010|null
222|P 80|42050020|22.0984111776819
222|Q MED 70|42077020|null
224|P 80|42070010|25.3308046366692
224|Q MED 70|42077020|null
228|P 80|42070020|52.570784185649
228|Q MED 70|42077020|null
229|Q MED 70|42077020|null
243|P 80|52010040|28.3441814401089
243|P 80|52020010|71.6558185598911
243|Q MAX 70|52037010|null
243|Q MAX 70|52047010|null
243|Q MED 70|52017070|null
243|Q MIN 70|52037010|null
243|Q MIN 70|52047010|null
245|P 80|52030060|100
245|Q MAX 70|52067030|null
245|Q MIN 70|52067030|null
245|TMX70|52045040|null
246|P 80|52040060|100
246|Q MAX 70|44017110|null
246|Q MED 70|52047020|null
246|Q MIN 70|44017110|null
246|TMX70|52045040|null
252|P 80|52060040|100
252|Q MED 70|52067030|null
260|P 80|44010030|25.735054707961
260|P 80|44010090|37.1324726460195
260|P 80|44010100|37.1324726460195
260|Q MAX 70|47017160|null
260|Q MED 70|44017110|null
260|Q MIN 70|47017160|null
260|TMN70|470150040|null
260|TMX70|47015040|null
262|P 80|47010030|37.5573707553
262|P 80|47010050|29.3905627518388
262|P 80|47010180|33.0520664928613
262|Q MED 70|47017160|null
262|TMN70|47015040|null
262|TMX70|47015040|null
292|Q MED 70|35267080|null
294|Q MED 70|32037030|null
294|Q MED 70|32107010|null
294|Q MED 70|32157060|null
294|Q MED 70|32207010|null
295|P 80|32070010|28.6649273608116
295|P 80|32070040|50.8816870516291
295|P 80|32070100|20.4533855875593
295|Q MAX 70|23067040|null
295|Q MED 70|32077070|null
295|Q MIN 70|23067040|null
299|P 80|23060180|39.2668995183385
299|P 80|23060260|32.1579077030561
299|P 80|23060290|28.5751927786054
299|Q MAX 70|52057050|null
299|Q MIN 70|52057050|null
303|P 80|52050040|48.7987369322991
303|P 80|52050140|51.2012630677009
303|TMN70|52055030|null
304|Q MED 70|35107030|null
304|Q MED 70|35117010|null
304|Q MED 70|35267080|null
311|Q MED 70|11047020|null
311|Q MED 70|11077010|null
