cuenca|area_hidrografica|zona_hidrografica|subzona_hidrografica|departamento|municipio|area_cuenca_ha|area_municipio_por_cuenca_ha|area_municipio_por_cuenca_porc
1|Caribe|Islas Caribe|San Andres|ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA|SAN ANDRÉS|2683.77|2683.77|100
2|Caribe|Islas Caribe|Providencia|ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA|PROVIDENCIA Y SANTA CATALINA (Santa Isabel)|2207.01|2207.01|100
3|Caribe|Islas Caribe|Roncador y Quitasueño|ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA|RONCADOR Y QUITASUEÑO|2696.73|2696.73|100
4|Magdalena Cauca|Cauca|Río Palacé|CAUCA|PURACÉ (Coconuco)|93254.34|4.21|0.01
4|Magdalena Cauca|Cauca|Río Palacé|CAUCA|ÁREA EN LITIGIO|93254.34|18.64|0.02
4|Magdalena Cauca|Cauca|Río Palacé|CAUCA|SILVIA|93254.34|1072.84|1.15
4|Magdalena Cauca|Cauca|Río Palacé|CAUCA|TOTORÓ|93254.34|43085.42|46.2
4|Magdalena Cauca|Cauca|Río Palacé|CAUCA|INZÁ|93254.34|271.41|0.29
4|Magdalena Cauca|Cauca|Río Palacé|CAUCA|MORALES|93254.34|7.23|0.01
4|Magdalena Cauca|Cauca|Río Palacé|CAUCA|CAJIBÍO|93254.34|35449.06|38.01
4|Magdalena Cauca|Cauca|Río Palacé|CAUCA|POPAYÁN|93254.34|13344.58|14.31
5|Magdalena Cauca|Cauca|Río Ovejas|CAUCA|CALOTO|92229.77|13.86|0.02
5|Magdalena Cauca|Cauca|Río Ovejas|CAUCA|JAMBALÓ|92229.77|211.65|0.23
5|Magdalena Cauca|Cauca|Río Ovejas|CAUCA|CALDONO|92229.77|35604.57|38.6
5|Magdalena Cauca|Cauca|Río Ovejas|CAUCA|SILVIA|92229.77|20305.87|22.02
5|Magdalena Cauca|Cauca|Río Ovejas|CAUCA|SANTANDER DE QUILICHAO|92229.77|10554.06|11.44
5|Magdalena Cauca|Cauca|Río Ovejas|CAUCA|PIENDAMÓ|92229.77|12667.47|13.74
5|Magdalena Cauca|Cauca|Río Ovejas|CAUCA|BUENOS AIRES|92229.77|3185.27|3.45
5|Magdalena Cauca|Cauca|Río Ovejas|CAUCA|SUÁREZ|92229.77|1965.11|2.13
5|Magdalena Cauca|Cauca|Río Ovejas|CAUCA|MORALES|92229.77|7721.9|8.37
6|Magdalena Cauca|Cauca|Río Palo|CAUCA|MIRANDA|164855.3|13581.69|8.24
6|Magdalena Cauca|Cauca|Río Palo|CAUCA|CORINTO|164855.3|32501.05|19.72
