cuenca|area_ha|a1_porc_est_precip|rango_a1|a2_porc_est_precip|rango_a2|b2_porc_est_precip|rango_b2
1|2683.77||||||
2|2207.01||||||
3|2696.73||||||
4|93254.34|-18.591006|Entre -30% a -10%|-31.109453|Menores de -30%|-30.971129|Menores de -30%
5|92229.77|-32.188118|Menores de -30%|-39.549053|Menores de -30%|-38.934818|Menores de -30%
6|164855.3|-28.270811|Entre -30% a -10%|-33.878695|Menores de -30%|-34.325008|Menores de -30%
7|118436.22|-20.843404|Entre -30% a -10%|-33.456548|Menores de -30%|-34.617584|Menores de -30%
8|55577.48|-20.7419|Entre -30% a -10%|-34.304312|Menores de -30%|-35.911612|Menores de -30%
9|112291.52|-26.038467|Entre -30% a -10%|-28.830006|Entre -30% a -10%|-31.70205|Menores de -30%
10|46254.83|-21.8716|Entre -30% a -10%|-42.0009|Menores de -30%|-44.276733|Menores de -30%
11|85276.33|-24.211979|Entre -30% a -10%|-44.784653|Menores de -30%|-40.394211|Menores de -30%
12|124451.29|-22.957354|Entre -30% a -10%|-42.926719|Menores de -30%|-43.188077|Menores de -30%
13|63001.25|-18.728584|Entre -30% a -10%|-18.520853|Entre -30% a -10%|-24.036679|Entre -30% a -10%
14|80921.43|-28.422433|Entre -30% a -10%|-40.444789|Menores de -30%|-39.761689|Menores de -30%
15|48385.42|-26.757883|Entre -30% a -10%|-29.739867|Entre -30% a -10%|-32.036975|Menores de -30%
16|66724.05|-22.058023|Entre -30% a -10%|-15.293646|Entre -30% a -10%|-23.360769|Entre -30% a -10%
17|519749.96|-21.863594|Entre -30% a -10%|-23.937117|Entre -30% a -10%|-26.703303|Entre -30% a -10%
18|93673.83|-31.466363|Menores de -30%|-26.442232|Entre -30% a -10%|-33.028942|Menores de -30%
19|114931.48|-17.917221|Entre -30% a -10%|-8.129929|Entre -10% a 10%|-8.027879|Entre -10% a 10%
20|107027.02|-16.63188|Entre -30% a -10%|-7.648515|Entre -10% a 10%|-3.20844|Entre -10% a 10%
21|154216.21|-17.850143|Entre -30% a -10%|-26.159903|Entre -30% a -10%|-26.952277|Entre -30% a -10%
22|215857.7|-16.304012|Entre -30% a -10%|-20.588298|Entre -30% a -10%|-11.191802|Entre -30% a -10%
23|128701.74|-34.303442|Menores de -30%|-34.261055|Menores de -30%|-35.935765|Menores de -30%
24|122009.79|-18.945848|Entre -30% a -10%|-28.8303|Entre -30% a -10%|-29.006624|Entre -30% a -10%
25|105396.07|-16.4176|Entre -30% a -10%|-38.648086|Menores de -30%|-39.250273|Menores de -30%
26|116778.88|-26.181936|Entre -30% a -10%|-22.353144|Entre -30% a -10%|-19.843896|Entre -30% a -10%
27|153380.88|-32.885677|Menores de -30%|-33.614158|Menores de -30%|-32.13841|Menores de -30%
