mc|mc_nombre
1|Macro cuenca 1
2|Macro cuenca 2
3|Macro cuenca 3
4|Macro cuenca 4
5|Macro cuenca 5
6|Macro cuenca 6
7|Macro cuenca 7
8|Macro cuenca 8
9|Macro cuenca 9
10|Macro cuenca 10
11|Macro cuenca 11
12|Macro cuenca 12
13|Macro cuenca 13
14|Macro cuenca 14
15|Macro cuenca 15
16|Macro cuenca 16
17|Macro cuenca 17
18|Macro cuenca 18
19|Macro cuenca 19
20|Macro cuenca 20
21|Macro cuenca 21
22|Macro cuenca 22
23|Macro cuenca 23
24|Macro cuenca 24
25|Macro cuenca 25
26|Macro cuenca 26
27|Macro cuenca 27
28|Macro cuenca 28
29|Macro cuenca 29
30|Macro cuenca 30
31|Macro cuenca 31
32|Macro cuenca 32
33|Macro cuenca 33
34|Macro cuenca 34
35|Macro cuenca 35
36|Macro cuenca 36
37|Macro cuenca 37
38|Macro cuenca 38
39|RÖO META - 1
40|RÖO META - 2
41|RÖO META - 3
42|RÖO VAUPES
43|RÖO ATRATO -1
44|RÖO ATRATO - 2
45|RÖO GUAVIARE -1
46|RÖO GUAVIARE -2
47|RÖO GUAVIARE - 3
48|RÖO GUAVIARE - 4
