estacion|nombre|categoria|tecnologia|estado|departamento|municipio|fecha_instalacion|fecha_suspension|area_operativa|corriente|area_hidrografica|zona_hidrografica|subzona_hidrografica|entidad|longitud|latitud
44037040|EL ROSARIO - AUT|Limnigrafica|Automatica con Telemetria|Activa|Caqueta|Florencia (Caqueta)|15/08/1964||Area Operativa 04 - Huila-Caqueta|Cara�O|Amazonas|Caqueta|R�o Orteguaza|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.66638889|1.72525
52077020|LOS NORTES - AUT|Limnigrafica|Automatica con Telemetria|Activa|Nariño|Cumbitara|15/09/1984||Area Operativa 07 - Nariño-Putumayo|Patia|Pacifico|Pat�a|R�o Patia Medio|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-77.53111111|1.74111111
21017050|PITALITO 2 - AUT|Limnigrafica|Automatica con Telemetria|Activa|Huila|Pitalito|15/05/1972||Area Operativa 04 - Huila-Caqueta|Guarapas|Magdalena Cauca|Alto Magdalena|Alto Magdalena|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-76.05244444|1.84883333
52077010|PUENTE PUSMEO - AUT|Limnigrafica|Automatica con Telemetria|Activa|Nariño|Cumbitara|15/09/1965||Area Operativa 07 - Nariño-Putumayo|Patia|Pacifico|Pat�a|R�o Patia Medio|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-77.47891667|1.62405556
51027060|SAN JUAN MIRA - AUT|Limnigrafica|Automatica con Telemetria|Activa|Nariño|Tumaco|15/12/1980||Area Operativa 07 - Nariño-Putumayo|Mira|Pacifico|Mira|R�o Mira|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-78.67027778|1.42388889
44037060|FLORENCIA-HACHA|Limnigrafica|Automatica con Telemetria|Activa|Caqueta|Florencia (Caqueta)|15/02/1971||Area Operativa 04 - Huila-Caqueta|Hacha|Amazonas|Caqueta|R�o Orteguaza|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.61922222|1.62116667
21017020|SAN AGUSTIN - AUT|Limnigrafica|Convencional|Activa|Huila|San Agustin|15/04/1971||Area Operativa 04 - Huila-Caqueta|Sombrerillos|Magdalena Cauca|Alto Magdalena|Alto Magdalena|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-76.23161111|1.87027778
21047010|PUENTE BALSEADERO|Limnigrafica|Automatica con Telemetria|Suspendida|Huila|Agrado|05/09/1971|14/06/2018|Area Operativa 04 - Huila-Caqueta|Magdalena|Magdalena Cauca|Alto Magdalena|R�os Directos al Magdalena (mi)|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.64855556|2.23236111
21057100|TALAGA TOEZ - AUT|Limnigrafica|Automatica con Telemetria|Suspendida|Cauca|Peez (Belalcazar)|01/09/1991|26/04/2007|Area Operativa 04 - Huila-Caqueta|Paez|Magdalena Cauca|Alto Magdalena|R�o Peez|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-76.02219444|2.70555556
21097070|PUENTE SANTANDER|Limnigrafica|Automatica con Telemetria|Activa|Huila|Neiva|15/09/1960||Area Operativa 04 - Huila-Caqueta|Magdalena|Magdalena Cauca|Alto Magdalena|Rio Fortalecillas y otros|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.30852778|2.94261111
53077010|ANGOSTURA RIO MICAY|Limnigrafica|Automatica con Telemetria|Activa|Cauca|L�pez|15/03/1960||Area Operativa 07 - Nariño-Putumayo|Micay|Pacifico|Tapaje - Dagua - Directos|R�o San Juan del Micay|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-77.24102778|2.80122222
21117100|PUEBLO NUEVO - AUT|Limnigrafica|Automatica con Telemetria|Activa|Huila|Neiva|15/06/1983||Area Operativa 04 - Huila-Caqueta|Ceibas|Magdalena Cauca|Alto Magdalena|Rio Fortalecillas y otros|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.08883333|2.82744444
48017050|BOCATOMA YAGUARCACA|Limnimetrica|Convencional|Suspendida|Amazonas|Leticia|15/12/1989|14/01/2014|Area Operativa 11 - Cundinamarca-Amazonas-San Andr�s|Quebrada Yahuarcaca|Amazonas|Amazonas - Directos|Directos R�o Amazonas (mi)|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-69.95027778|-4.19047222
25027640|TRES CRUCES|Limnimetrica|Convencional|Activa|Bolivar|Ach�|15/09/1974||Area Operativa 01 - Antioquia-Choco|Cauca|Magdalena Cauca|Bajo Magdalena- Cauca -San Jorge|Bajo San Jorge - La Mojana|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.51730556|8.70308333
25020030|GUACAMAYO|Pluviometrica|Convencional|Activa|Bolivar|Ach�|15/07/1966||Area Operativa 01 - Antioquia-Choco|Cauca|Magdalena Cauca|Bajo Magdalena- Cauca -San Jorge|Bajo San Jorge - La Mojana|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.51222222|8.72722222
25027400|ALTO DEL ROSARIO|Limnimetrica|Convencional|Activa|Bolivar|Altos Del Rosario|15/07/1973||Area Operativa 02 - Atl�ntico-Bolivar-Sucre|Cno Las Palomas|Magdalena Cauca|Bajo Magdalena- Cauca -San Jorge|Bajo San Jorge - La Mojana|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.16027778|8.79444444
25027390|PALOMAS LAS|Limnimetrica|Convencional|Activa|Bolivar|Altos Del Rosario|15/07/1973||Area Operativa 02 - Atl�ntico-Bolivar-Sucre|Magdalena|Magdalena Cauca|Bajo Magdalena- Cauca -San Jorge|Bajo San Jorge - La Mojana|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.17055556|8.83055556
25020410|CANDELARIA LA|Pluviometrica|Convencional|Activa|Bolivar|San Jacinto Del Cauca|15/07/1966||Area Operativa 01 - Antioquia-Choco|Vaupes|Magdalena Cauca|Bajo Magdalena- Cauca -San Jorge|Bajo San Jorge - La Mojana|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.72875|8.21944444
25028350|MANCHA LA|Limnimetrica|Convencional|Suspendida|Bolivar|San Jacinto Del Cauca|15/09/1979|15/07/1999|Area Operativa 01 - Antioquia-Choco|Cno Rompedero|Magdalena Cauca|Bajo Magdalena- Cauca -San Jorge|Bajo San Jorge - La Mojana|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.58333333|8.26666667
