month_year,v_flow_mean_forecast,basin,scenario,v_loss_cover,v_rainfall_total
2020-01,1.9630569559335707,1,Def_25%_P_A1,0.07693,210.44
2020-02,0.7851264215447008,1,Def_25%_P_A1,0.07702,135.49
2020-03,1.2933242183178664,1,Def_25%_P_A1,0.0771,259.4
2020-04,2.348375273644924,1,Def_25%_P_A1,0.07718,61.71
2020-05,2.9847157117724414,1,Def_25%_P_A1,0.07726,202.86
2020-06,4.30644673615694,1,Def_25%_P_A1,0.07735,137.33
2020-07,3.927741384208202,1,Def_25%_P_A1,0.07743,14.2
2020-08,3.358061168789863,1,Def_25%_P_A1,0.07751,20.29
2020-09,2.7465622821450233,1,Def_25%_P_A1,0.07758999999999999,3.46
2020-10,2.4686642959713936,1,Def_25%_P_A1,0.07768,78.47
2020-11,2.2114171032607555,1,Def_25%_P_A1,0.07776,285.87
2020-12,1.4398030308634042,1,Def_25%_P_A1,0.07783999999999999,293.65
2021-01,1.2637926384061575,1,Def_25%_P_A1,0.07792,114.9
2021-02,1.5635206655412912,1,Def_25%_P_A1,0.07801,97.13
2021-03,1.6963485006988048,1,Def_25%_P_A1,0.07808999999999999,104.92
2021-04,1.8347187830507754,1,Def_25%_P_A1,0.07817,123.63
2021-05,2.872870152890682,1,Def_25%_P_A1,0.07825,190.42
2021-06,3.6812680649757383,1,Def_25%_P_A1,0.07833999999999999,149.28
2021-07,2.8887811674177644,1,Def_25%_P_A1,0.07842,23.72
2021-08,1.7702883459627627,1,Def_25%_P_A1,0.0785,1.68
2021-09,1.5071194788068532,1,Def_25%_P_A1,0.07858,0.84
2021-10,1.7660203944146633,1,Def_25%_P_A1,0.07867,38.94
2021-11,2.0398343454301355,1,Def_25%_P_A1,0.07875,102.93
2021-12,1.928920404911041,1,Def_25%_P_A1,0.07883,288.84
2020-01,28.60381260991096,2,Def_25%_P_A1,0.06117,276.11
2020-02,8.355663544237615,2,Def_25%_P_A1,0.061229999999999986,152.33
2020-03,14.596423484683037,2,Def_25%_P_A1,0.06129,236.37
2020-04,22.115032588243484,2,Def_25%_P_A1,0.06135,192.22
2020-05,20.509337459802627,2,Def_25%_P_A1,0.06141,209.7
2020-06,10.017134847044945,2,Def_25%_P_A1,0.06147,381.38
2020-07,7.775489060878754,2,Def_25%_P_A1,0.06153,175.51
2020-08,6.4525857958197586,2,Def_25%_P_A1,0.06159,102.94
2020-09,7.456924276351929,2,Def_25%_P_A1,0.06165,48.36
2020-10,10.492765768170356,2,Def_25%_P_A1,0.06171,169.3
2020-11,12.478730990290641,2,Def_25%_P_A1,0.06177000000000001,346.12
