basin,RMSE,MAPE,sMAPE,epochs,batch_size
1,0.6180065473002383,15.274761622789601,6.70990310260007,25,12
2,14.609787108768478,53.035572081861936,31.27345313171805,30,12
3,45.48951728556826,23.149031496477786,12.824969274819923,41,12
4,1.2784870156394423,24.22696670507212,10.76850273091421,44,12
5,16.804868680965278,25.758021446381658,14.887917225816313,61,24
6,15.336066744244924,33.9663101392957,16.58251741772034,99,12
7,65.19221637499523,27.05539658542804,12.471429466373122,35,12
8,15.269510221455482,33.28201649429614,20.090848725187467,35,12
9,3.7274217073404716,83.81110567454677,24.255970919568508,36,12
10,7.25641490593354,37.994978341351356,24.65785479116717,27,12
11,6.170384802196154,41.56472028627599,17.260800192279994,38,12
12,13.82798664279957,118.61627105591646,34.094763117523186,99,12
13,104.3442661934777,30.21854439102709,19.682038360081552,28,12
14,25.40545863031465,28.486914911214562,13.35395120890607,30,12
15,31.920485548708605,55.703347848288345,26.41662595050357,28,12
16,79.0736614634907,19.389622351854257,10.073243503565697,30,12
17,2.3273078226862585,15.625126361498848,8.688294660831575,48,24
18,12.939636691978215,17.672013693379515,8.51245651694058,38,60
19,3.693328306353189,81.29044134485468,36.22684860610919,99,36
20,29.4581235129377,36.19151559821971,17.226303775610443,50,12
21,2.5899006633976644,20.985471114842966,12.15512960166011,32,12
22,92.55681315902825,105.87688893162917,43.638787473719646,58,24
23,37.90796646639235,66.52979183781072,25.3125489288828,41,12
24,9.076001756285605,54.26516150575754,37.5187137330073,22,12
25,4.268228478522626,48.32327008227616,34.4926205515096,25,12
26,114.38674029314112,333.4293663806776,56.128821699943124,95,36
27,9.182615146784885,101.34855265539832,50.49840612908968,24,12
28,37.682742635372904,40.81068284540225,20.315725510188063,59,24
29,9.207498924718124,15.01467982066566,8.156993812669535,31,12
30,7.592949114851358,50.84736026741778,31.61526001081115,99,24
31,3.1307521090549013,32.15290415076912,13.460618223031814,36,36
32,9.802058604947248,30.031112307037418,13.356520045674172,49,24
33,1.1727953902446906,20.40593013859993,10.691681884917696,63,36
34,63.30887131879452,17.117813651973677,8.543755038982425,33,12
35,157.84611976757068,36.79014616630689,23.345616238588715,34,12
36,59.43334498550904,70.05318969110171,28.328563876763766,57,12
37,51.53739105605844,84.12573285891594,41.91934277919266,29,12
38,14.261800850628083,17.971741479021837,10.076470711372428,32,12
39,192.5340163749852,55.10580158963101,22.265155900920956,94,12
40,403.46534300809077,75.7117882607541,35.37120808380799,99,12
41,995.6673100802559,58.49717047286297,28.340225439356814,68,12
42,282.6147526263438,24.599283881607576,10.736145697518065,41,12
43,458.72620098261257,44.28640351419638,21.80843723707143,23,24
44,803.1911735223989,26.68765821982168,13.393233870923504,62,24
45,501.5488303293106,76.80868099311743,36.62687355995611,99,36
46,960.1228371531948,73.57316915051369,28.16108291767017,94,12
47,801.8295233952717,72.35460122865304,31.623640417756764,99,36
48,828.2962343548134,35.00955667923419,14.43947852426344,62,12
