date,mc,v_loss_cover,v_rainfall_total,scenario,v_flow_mean_forecast
2020-01-01,1,0.07693,210.44,Def_25%_P_A1,2.556499999999999
2020-02-01,1,0.07702,135.49,Def_25%_P_A1,2.6898500000000003
2020-03-01,1,0.0771,259.4,Def_25%_P_A1,3.3673500000000036
2020-04-01,1,0.07718,61.71,Def_25%_P_A1,3.603200000000003
2020-05-01,1,0.07726,202.86,Def_25%_P_A1,3.0949499999999985
2020-06-01,1,0.07735,137.33,Def_25%_P_A1,3.6758500000000045
2020-07-01,1,0.07743,14.2,Def_25%_P_A1,4.100300000000007
2020-08-01,1,0.07751,20.29,Def_25%_P_A1,3.3673500000000014
2020-09-01,1,0.07759,3.46,Def_25%_P_A1,2.351000000000003
2020-10-01,1,0.07768,78.47,Def_25%_P_A1,2.6538000000000004
2020-11-01,1,0.07776,285.87,Def_25%_P_A1,2.9196000000000053
2020-12-01,1,0.07784,293.65,Def_25%_P_A1,2.8880500000000007
2021-01-01,1,0.07792,114.9,Def_25%_P_A1,2.5047999999999955
2021-02-01,1,0.07801,97.13,Def_25%_P_A1,2.6066000000000016
2021-03-01,1,0.07809,104.92,Def_25%_P_A1,2.7289999999999965
2021-04-01,1,0.07817,123.63,Def_25%_P_A1,2.9129499999999995
2021-05-01,1,0.07825,190.42,Def_25%_P_A1,3.102850000000002
2021-06-01,1,0.07834,149.28,Def_25%_P_A1,3.6913500000000026
2021-07-01,1,0.07842,23.72,Def_25%_P_A1,4.2191000000000045
2021-08-01,1,0.0785,1.68,Def_25%_P_A1,4.204400000000003
2021-09-01,1,0.07858,0.84,Def_25%_P_A1,2.565250000000004
2021-10-01,1,0.07867,38.94,Def_25%_P_A1,2.534700000000004
2021-11-01,1,0.07875,102.93,Def_25%_P_A1,2.8026999999999993
2021-12-01,1,0.07883,288.84,Def_25%_P_A1,2.8771000000000053
2020-01-01,2,0.06117,276.11,Def_25%_P_A1,27.209799999999994
2020-02-01,2,0.06123,152.33,Def_25%_P_A1,21.338149999999995
2020-03-01,2,0.06129,236.37,Def_25%_P_A1,31.962250000000044
2020-04-01,2,0.06135,192.22,Def_25%_P_A1,29.369499999999984
2020-05-01,2,0.06141,209.7,Def_25%_P_A1,32.213500000000025
2020-06-01,2,0.06147,381.38,Def_25%_P_A1,32.799400000000034
2020-07-01,2,0.06153,175.51,Def_25%_P_A1,23.14115000000004
2020-08-01,2,0.06159,102.94,Def_25%_P_A1,14.798700000000027
2020-09-01,2,0.06165,48.36,Def_25%_P_A1,7.443799999999998
2020-10-01,2,0.06171,169.3,Def_25%_P_A1,17.204700000000003
2020-11-01,2,0.06177,346.12,Def_25%_P_A1,34.00160000000003
2020-12-01,2,0.06183,441.01,Def_25%_P_A1,30.385699999999982
2021-01-01,2,0.06189,43.3,Def_25%_P_A1,10.884499999999989
2021-02-01,2,0.06195,75.91,Def_25%_P_A1,13.769249999999998
2021-03-01,2,0.06201,219.32,Def_25%_P_A1,35.29495000000004
2021-04-01,2,0.06207,239.29,Def_25%_P_A1,38.579449999999994
2021-05-01,2,0.06213,251.85,Def_25%_P_A1,31.05020000000004
2021-06-01,2,0.06219,269.02,Def_25%_P_A1,37.454600000000035
2021-07-01,2,0.06225,97.03,Def_25%_P_A1,14.758100000000034
2021-08-01,2,0.06231,87.37,Def_25%_P_A1,9.01455000000002
2021-09-01,2,0.06237,0.0,Def_25%_P_A1,5.344449999999987
2021-10-01,2,0.06243,149.92,Def_25%_P_A1,15.249050000000025
2021-11-01,2,0.06249,245.41,Def_25%_P_A1,36.48535000000001
2021-12-01,2,0.06255,307.34,Def_25%_P_A1,34.72105000000005
2020-01-01,3,0.02633,224.4,Def_25%_P_A1,150.53190000000006
2020-02-01,3,0.02636,129.95,Def_25%_P_A1,150.21459999999985
2020-03-01,3,0.02639,96.66,Def_25%_P_A1,173.19529999999997
2020-04-01,3,0.02642,162.37,Def_25%_P_A1,144.29690000000002
2020-05-01,3,0.02644,148.55,Def_25%_P_A1,140.81935000000007
2020-06-01,3,0.02647,94.65,Def_25%_P_A1,180.12255000000007
2020-07-01,3,0.0265,89.5,Def_25%_P_A1,162.40059999999994
2020-08-01,3,0.02653,85.97,Def_25%_P_A1,126.30934999999995
2020-09-01,3,0.02655,54.99,Def_25%_P_A1,120.81964999999995
2020-10-01,3,0.02658,98.27,Def_25%_P_A1,127.23809999999975
2020-11-01,3,0.02661,193.75,Def_25%_P_A1,135.9883
2020-12-01,3,0.02664,231.14,Def_25%_P_A1,146.18914999999987
2021-01-01,3,0.02666,67.46,Def_25%_P_A1,154.63634999999994
2021-02-01,3,0.02669,152.65,Def_25%_P_A1,145.09894999999986
2021-03-01,3,0.02672,147.18,Def_25%_P_A1,133.35840000000024
2021-04-01,3,0.02675,236.31,Def_25%_P_A1,168.72444999999996
2021-05-01,3,0.02677,178.89,Def_25%_P_A1,171.5548
2021-06-01,3,0.0268,278.46,Def_25%_P_A1,203.6574500000002
2021-07-01,3,0.02683,67.93,Def_25%_P_A1,170.52354999999977
2021-08-01,3,0.02686,55.34,Def_25%_P_A1,145.23159999999982
2021-09-01,3,0.02688,28.28,Def_25%_P_A1,101.76420000000002
2021-10-01,3,0.02691,28.85,Def_25%_P_A1,103.25420000000007
2021-11-01,3,0.02694,189.49,Def_25%_P_A1,126.22139999999996
2021-12-01,3,0.02697,184.89,Def_25%_P_A1,139.50265000000027
2020-01-01,4,0.08302,159.41,Def_25%_P_A1,8.9515
2020-02-01,4,0.08311,143.0,Def_25%_P_A1,7.6555
2020-03-01,4,0.0832,455.37,Def_25%_P_A1,5.6095
2020-04-01,4,0.08329,262.94,Def_25%_P_A1,5.55505
2020-05-01,4,0.08337,255.26,Def_25%_P_A1,5.297949999999999
2020-06-01,4,0.08346,336.85,Def_25%_P_A1,5.183699999999991
2020-07-01,4,0.08355,138.25,Def_25%_P_A1,3.886549999999996
2020-08-01,4,0.08364,102.36,Def_25%_P_A1,3.5731499999999965
2020-09-01,4,0.08372,123.01,Def_25%_P_A1,3.8520999999999983
2020-10-01,4,0.08381,228.52,Def_25%_P_A1,5.651100000000001
2020-11-01,4,0.0839,478.89,Def_25%_P_A1,5.698250000000001
2020-12-01,4,0.08399,374.16,Def_25%_P_A1,5.277399999999995
2021-01-01,4,0.08407,164.06,Def_25%_P_A1,3.4104499999999978
2021-02-01,4,0.08416,124.54,Def_25%_P_A1,3.5500999999999983
2021-03-01,4,0.08425,229.84,Def_25%_P_A1,5.5067
2021-04-01,4,0.08434,276.73,Def_25%_P_A1,5.6752
2021-05-01,4,0.08442,386.84,Def_25%_P_A1,5.124149999999993
2021-06-01,4,0.08451,435.33,Def_25%_P_A1,5.215649999999991
2021-07-01,4,0.0846,151.02,Def_25%_P_A1,3.9713999999999983
2021-08-01,4,0.08469,111.41,Def_25%_P_A1,3.2355999999999985
2021-09-01,4,0.08477,56.94,Def_25%_P_A1,3.617849999999998
2021-10-01,4,0.08486,182.76,Def_25%_P_A1,4.332750000000004
2021-11-01,4,0.08495,243.71,Def_25%_P_A1,5.732700000000003
2021-12-01,4,0.08504,358.07,Def_25%_P_A1,5.274799999999996
2020-01-01,5,0.03252,0.0,Def_25%_P_A1,53.35489999999998
2020-02-01,5,0.03255,31.55,Def_25%_P_A1,48.72954999999999
2020-03-01,5,0.03258,58.59,Def_25%_P_A1,53.380599999999994
2020-04-01,5,0.03261,57.61,Def_25%_P_A1,61.21110000000007
2020-05-01,5,0.03265,215.49,Def_25%_P_A1,82.64045000000007
2020-06-01,5,0.03268,191.01,Def_25%_P_A1,79.7415000000002
2020-07-01,5,0.03271,118.15,Def_25%_P_A1,82.26519999999988
2020-08-01,5,0.03274,130.88,Def_25%_P_A1,72.59654999999987
2020-09-01,5,0.03278,24.15,Def_25%_P_A1,49.02765000000006
2020-10-01,5,0.03281,34.25,Def_25%_P_A1,49.061850000000014
2020-11-01,5,0.03284,54.98,Def_25%_P_A1,54.030300000000004
2020-12-01,5,0.03287,27.68,Def_25%_P_A1,48.20475000000002
2021-01-01,5,0.03291,20.99,Def_25%_P_A1,46.0821
2021-02-01,5,0.03294,47.97,Def_25%_P_A1,51.12259999999996
2021-03-01,5,0.03297,31.44,Def_25%_P_A1,48.200650000000024
2021-04-01,5,0.033,62.42,Def_25%_P_A1,61.138700000000064
2021-05-01,5,0.03304,193.15,Def_25%_P_A1,74.16105000000012
2021-06-01,5,0.03307,97.83,Def_25%_P_A1,87.55065000000005
