date,mc,v_loss_cover,v_rainfall_total,scenario,v_flow_mean_forecast
2020-01-01,1,0.07693,93.486,Def_25%_P_A1,2.589049999999999
2020-02-01,1,0.07702,85.118,Def_25%_P_A1,2.4535999999999993
2020-03-01,1,0.0771,291.1963,Def_25%_P_A1,3.047400000000005
2020-04-01,1,0.07718,250.2953,Def_25%_P_A1,3.1442000000000005
2020-05-01,1,0.07726,204.826,Def_25%_P_A1,2.808049999999997
2020-06-01,1,0.07735,93.223,Def_25%_P_A1,3.142250000000002
2020-07-01,1,0.07743,156.0213,Def_25%_P_A1,3.0393000000000012
2020-08-01,1,0.07751,159.2936,Def_25%_P_A1,2.9644500000000034
2020-09-01,1,0.07759,280.3861,Def_25%_P_A1,2.6217500000000022
2020-10-01,1,0.07768,56.722,Def_25%_P_A1,3.641650000000004
2020-11-01,1,0.07776,274.1659,Def_25%_P_A1,3.4337999999999993
2020-12-01,1,0.07784,227.239,Def_25%_P_A1,3.197300000000002
2021-01-01,1,0.07792,147.2717,Def_25%_P_A1,2.8512499999999994
2021-02-01,1,0.07801,285.5245,Def_25%_P_A1,2.660900000000004
2021-03-01,1,0.07809,274.7394,Def_25%_P_A1,2.6525
2021-04-01,1,0.07817,83.8006,Def_25%_P_A1,2.5507999999999984
2021-05-01,1,0.07825,177.2718,Def_25%_P_A1,3.0038499999999977
2021-06-01,1,0.07834,168.7282,Def_25%_P_A1,3.3633500000000023
2021-07-01,1,0.07842,173.342,Def_25%_P_A1,3.340650000000002
2021-08-01,1,0.0785,239.911,Def_25%_P_A1,2.9768000000000017
2021-09-01,1,0.07858,225.5663,Def_25%_P_A1,2.780449999999999
2021-10-01,1,0.07867,6.3245,Def_25%_P_A1,4.492500000000003
2021-11-01,1,0.07875,157.4504,Def_25%_P_A1,3.0298000000000007
2021-12-01,1,0.07883,34.1851,Def_25%_P_A1,2.5380000000000007
2020-01-01,2,0.06117,123.1662,Def_25%_P_A1,17.10905
2020-02-01,2,0.06123,407.3505,Def_25%_P_A1,36.5899
2020-03-01,2,0.06129,268.6803,Def_25%_P_A1,36.47590000000001
2020-04-01,2,0.06135,142.1118,Def_25%_P_A1,24.101550000000042
2020-05-01,2,0.06141,106.3132,Def_25%_P_A1,10.946050000000014
2020-06-01,2,0.06147,118.357,Def_25%_P_A1,14.33030000000002
2020-07-01,2,0.06153,122.8898,Def_25%_P_A1,14.574600000000023
2020-08-01,2,0.06159,369.2424,Def_25%_P_A1,36.28855000000005
2020-09-01,2,0.06165,276.3141,Def_25%_P_A1,35.89435000000004
2020-10-01,2,0.06171,43.0188,Def_25%_P_A1,9.622049999999987
2020-11-01,2,0.06177,243.6236,Def_25%_P_A1,24.267650000000007
2020-12-01,2,0.06183,228.0353,Def_25%_P_A1,34.98035
2021-01-01,2,0.06189,298.6538,Def_25%_P_A1,34.50850000000007
2021-02-01,2,0.06195,141.7418,Def_25%_P_A1,20.141050000000043
2021-03-01,2,0.06201,202.1801,Def_25%_P_A1,28.399400000000036
2021-04-01,2,0.06207,329.7173,Def_25%_P_A1,32.551650000000045
2021-05-01,2,0.06213,278.9093,Def_25%_P_A1,34.97180000000003
2021-06-01,2,0.06219,237.4255,Def_25%_P_A1,30.418400000000037
2021-07-01,2,0.06225,134.792,Def_25%_P_A1,19.619650000000046
2021-08-01,2,0.06231,90.7725,Def_25%_P_A1,9.10425000000002
2021-09-01,2,0.06237,80.5329,Def_25%_P_A1,13.038400000000014
2021-10-01,2,0.06243,112.7385,Def_25%_P_A1,16.69135000000001
2021-11-01,2,0.06249,112.4177,Def_25%_P_A1,15.590450000000011
2021-12-01,2,0.06255,293.0377,Def_25%_P_A1,38.82650000000006
2020-01-01,3,0.02633,219.0961,Def_25%_P_A1,147.48020000000005
2020-02-01,3,0.02636,173.0733,Def_25%_P_A1,146.04299999999995
2020-03-01,3,0.02639,117.3557,Def_25%_P_A1,193.52614999999997
2020-04-01,3,0.02642,73.8538,Def_25%_P_A1,194.52535000000017
2020-05-01,3,0.02644,227.1427,Def_25%_P_A1,130.75244999999978
2020-06-01,3,0.02647,232.8006,Def_25%_P_A1,138.49419999999986
2020-07-01,3,0.0265,77.27,Def_25%_P_A1,171.89214999999996
2020-08-01,3,0.02653,267.2054,Def_25%_P_A1,149.31214999999997
2020-09-01,3,0.02655,100.6663,Def_25%_P_A1,146.44120000000004
2020-10-01,3,0.02658,100.3687,Def_25%_P_A1,182.56730000000007
2020-11-01,3,0.02661,33.1965,Def_25%_P_A1,147.9119000000001
2020-12-01,3,0.02664,207.4668,Def_25%_P_A1,134.4234499999998
2021-01-01,3,0.02666,31.7461,Def_25%_P_A1,126.89250000000011
2021-02-01,3,0.02669,220.7948,Def_25%_P_A1,143.74979999999985
2021-03-01,3,0.02672,53.2294,Def_25%_P_A1,136.4097000000001
2021-04-01,3,0.02675,100.0663,Def_25%_P_A1,153.8422999999998
2021-05-01,3,0.02677,199.5775,Def_25%_P_A1,134.92984999999996
2021-06-01,3,0.0268,127.5938,Def_25%_P_A1,150.11450000000005
2021-07-01,3,0.02683,165.2,Def_25%_P_A1,171.67964999999992
2021-08-01,3,0.02686,270.7685,Def_25%_P_A1,156.1520499999999
2021-09-01,3,0.02688,98.8993,Def_25%_P_A1,183.71574999999993
2021-10-01,3,0.02691,169.728,Def_25%_P_A1,179.20034999999996
2021-11-01,3,0.02694,33.0539,Def_25%_P_A1,149.70545
2021-12-01,3,0.02697,80.746,Def_25%_P_A1,155.8955999999999
2020-01-01,4,0.08302,312.3651,Def_25%_P_A1,11.61885
2020-02-01,4,0.08311,476.1265,Def_25%_P_A1,9.462450000000006
2020-03-01,4,0.0832,404.3517,Def_25%_P_A1,5.341999999999993
2020-04-01,4,0.08329,162.2704,Def_25%_P_A1,3.4116499999999985
2020-05-01,4,0.08337,441.0238,Def_25%_P_A1,5.425999999999998
2020-06-01,4,0.08346,374.1163,Def_25%_P_A1,5.165349999999994
2020-07-01,4,0.08355,271.2067,Def_25%_P_A1,5.483899999999998
2020-08-01,4,0.08364,208.5455,Def_25%_P_A1,5.186849999999997
2020-09-01,4,0.08372,327.8427,Def_25%_P_A1,5.264399999999996
2020-10-01,4,0.08381,355.5946,Def_25%_P_A1,5.019399999999994
2020-11-01,4,0.0839,255.6267,Def_25%_P_A1,5.006799999999991
2020-12-01,4,0.08399,401.5859,Def_25%_P_A1,5.109299999999992
2021-01-01,4,0.08407,448.0488,Def_25%_P_A1,5.164449999999989
