month_year,v_flow_mean_forecast,basin,scenario,v_loss_cover,v_rainfall_total
2020-01,1.7550255092497775,1,Def_25%_P_A1,0.07693,210.44
2020-02,1.6654933565106014,1,Def_25%_P_A1,0.07702,135.49
2020-03,2.082900820790424,1,Def_25%_P_A1,0.0771,259.4
2020-04,2.7118219295902906,1,Def_25%_P_A1,0.07718,61.71
2020-05,3.4747002557479565,1,Def_25%_P_A1,0.07726,202.86
2020-06,4.345078757012484,1,Def_25%_P_A1,0.07735,137.33
2020-07,4.404147664733388,1,Def_25%_P_A1,0.07743,14.2
2020-08,3.729668876384287,1,Def_25%_P_A1,0.07751,20.29
2020-09,2.7028932740284852,1,Def_25%_P_A1,0.07758999999999999,3.46
2020-10,2.724919763790679,1,Def_25%_P_A1,0.07768,78.47
2020-11,2.782441327144306,1,Def_25%_P_A1,0.07776,285.87
2020-12,2.798058080334726,1,Def_25%_P_A1,0.07783999999999999,293.65
2021-01,1.8725253031367204,1,Def_25%_P_A1,0.07792,114.9
2021-02,1.9346320059814281,1,Def_25%_P_A1,0.07801,97.13
2021-03,2.165588001695602,1,Def_25%_P_A1,0.07808999999999999,104.92
2021-04,2.9466941258598474,1,Def_25%_P_A1,0.07817,123.63
2021-05,3.632134122019688,1,Def_25%_P_A1,0.07825,190.42
2021-06,4.369828250641901,1,Def_25%_P_A1,0.07833999999999999,149.28
2021-07,4.300696452136187,1,Def_25%_P_A1,0.07842,23.72
2021-08,3.6969818653342665,1,Def_25%_P_A1,0.0785,1.68
2021-09,2.99120154967732,1,Def_25%_P_A1,0.07858,0.84
2021-10,2.858041101020157,1,Def_25%_P_A1,0.07867,38.94
2021-11,2.8915393989595732,1,Def_25%_P_A1,0.07875,102.93
2021-12,2.6682428769266155,1,Def_25%_P_A1,0.07883,288.84
2020-01,12.781848578531333,2,Def_25%_P_A1,0.06117,276.11
2020-02,9.324969173890551,2,Def_25%_P_A1,0.061229999999999986,152.33
2020-03,25.073194007501787,2,Def_25%_P_A1,0.06129,236.37
2020-04,43.32111329271133,2,Def_25%_P_A1,0.06135,192.22
2020-05,42.72869849245459,2,Def_25%_P_A1,0.06141,209.7
2020-06,35.947716585200915,2,Def_25%_P_A1,0.06147,381.38
2020-07,17.241251772837025,2,Def_25%_P_A1,0.06153,175.51
