basin,mean,stdev,AIC,BIC,RMSE,MAPE,sMAPE,p
1,2.890416666666667,0.9035692150515581,-9.987176966778133,-9.987176966778133,0.38001666439898063,12.022449158741775,5.894860816514525,12
2,23.965833333333336,14.174385029771916,-6.6806505223016455,-6.6806505223016455,10.450333318130582,83.9750232620469,22.54314886591341,12
3,151.05208333333334,66.23997370540734,-4.599209180056768,-4.599209180056768,45.50914900701327,31.499597092309028,12.715240876504144,12
4,5.925416666666666,2.4442005836378393,-8.063514713005125,-8.063514713005125,2.6787222575231584,51.019828198915995,18.507438471966793,5
5,61.65375,19.756853623595195,-6.976880846435124,-6.976880846435124,22.26474056592384,22.25439956100773,12.930103185103478,5
6,27.537916666666664,14.848565581442164,-6.978685351339344,-6.978685351339344,15.417358590262262,32.06803945904961,17.999262121807003,7
7,240.22268229166966,85.5292242349167,-2.7738309454681147,-2.7738309454681147,64.82149696396006,30.020062036797064,12.496362769879214,12
8,45.7537174479061,16.947863395042074,-7.274142239196021,-7.274142239196021,14.009653548891936,34.25133540782979,14.829168586460263,12
9,16.009787760414998,14.25171301157642,-12.301144992012631,-12.301144992012631,7.615056459105253,63.274364740112375,24.409330637597627,11
10,13.956584201388893,8.061397628003911,-6.2965444912554425,-6.2965444912554425,8.120937100492693,37.71163539142538,22.440701221330542,11
11,17.049631441420512,9.437351925701678,-9.995461663148161,-9.995461663148161,8.763499410627457,44.86827623615288,19.036690579912865,5
12,20.932916666666667,14.62612658884968,-10.465467897632328,-10.465467897632328,15.688801895240513,87.11888317354453,29.979158879877605,10
13,263.5731731770424,106.92184589311307,-1.2550841249984845,-1.2550841249984845,118.91675981092156,61.396642271127476,19.27335630415489,11
14,79.4080499131921,39.234737656618314,-7.3698480242901,-7.3698480242901,32.650225799044826,24.685332029623897,13.760168939733216,11
15,72.82884006074671,42.4943638853485,-1.6639269559762742,-1.6639269559762742,27.385590510536204,45.55660610738428,24.067193640902385,11
16,428.34591427950915,142.0603883616733,-0.09048971839859199,-0.09048971839859199,135.6165585470239,28.311203269380385,11.683415554904924,11
17,12.489942057289399,3.7491333214918194,-10.424389697445756,-10.424389697445756,2.534429899091476,16.58699316889356,8.170859834621533,9
18,56.66338477548495,14.942448106187992,-3.456142192302642,-3.456142192302642,11.281166581269796,16.809128431969853,7.8072831393165,10
19,8.536235684317672,7.926062405692912,-10.201882060360346,-10.201882060360346,7.5495994645325055,44.540783259442044,31.283917427683367,5
20,87.00127148437899,57.942252231079244,-4.229740564338652,-4.229740564338652,86.61562280556308,127.40160014098446,36.41844121895033,11
21,8.979166666666666,2.136098305842271,-8.414186070463618,-8.414186070463618,2.5654890863679447,28.583999958014637,11.31517840136631,11
22,208.2684749348839,161.88529545322544,-2.841843259081953,-2.841843259081953,90.62265309724795,68.07240742967004,23.28426488738756,11
23,163.24416666666667,113.12632098369308,-3.9914159413235826,-3.9914159413235826,81.91263906410266,66.87910258324821,24.00621838759639,11
24,18.34638283826683,12.91074134736443,-4.567756166385374,-4.567756166385374,12.780496159085265,37.62131308046559,17.216487126623385,4
25,8.636249999999999,4.018465516110181,-7.948080349156802,-7.948080349156802,3.508557199227707,43.50755056705495,16.917064354954434,6
26,97.66749999999998,194.74666093093867,-2.5493639915762003,-2.5493639915762003,219.06042638141528,144.26387207810095,95.56912954206278,11
27,14.153333333333334,14.182719140638097,-5.191216507794646,-5.191216507794646,14.676903698377664,113.91729900568895,34.745269329926906,12
28,69.02247294560094,38.77247520035228,-2.3477545452311794,-2.3477545452311794,27.660838192037527,46.59087099735815,17.672100154712425,11
29,59.18958333333334,3.987721236461022,-5.490562158438598,-5.490562158438598,5.2510791718590175,6.920741935734642,3.610039293887188,6
30,8.717907382246379,6.6695324425233435,-7.052346805150277,-7.052346805150277,9.471368030671787,144.49811307374569,35.065109025821926,12
31,7.962437065972221,1.7058478460077786,-9.411401400374958,-9.411401400374958,1.5982323086152748,18.725589106549723,8.673734933678967,12
32,34.00208333333333,10.103769502503619,-7.92400094674826,-7.92400094674826,10.405849563564729,32.70834213172015,12.598026575992618,11
33,4.293333333333333,1.8426784550997737,-10.026720502779643,-10.026720502779643,2.0517765487464876,55.85393938387245,20.392803552126168,12
34,352.7784024003634,176.60355541779083,-3.7683485375236074,-3.7683485375236074,144.8208382041837,30.951609290224162,15.31907096971622,12
35,391.56364312770665,121.34458669089574,-1.6885659970097766,-1.6885659970097766,100.6146558652486,22.60651419743614,11.076276367458254,11
36,164.61497395833388,133.19967884480172,-2.4274997266592457,-2.4274997266592457,97.01712169965083,53.07823396354593,21.565001374698,11
37,107.34425807291872,74.99994334290753,-3.306794800967083,-3.306794800967083,62.74246752747389,42.37537256073853,25.187688797848303,12
38,49.12577452256945,15.894247630134823,-7.002325664940802,-7.002325664940802,24.704043315440618,53.7999795252738,20.527240216358848,12
39,951.9941666666887,631.7797769253626,-2.772817373312659,-2.772817373312659,343.72031798360325,34.671229394737814,16.57991198487167,11
40,1753.8751822916663,1349.9828702496409,-2.163320515257462,-2.163320515257462,656.1127752504649,38.03171787020921,18.79188973125878,11
41,3993.893142361106,3055.902411968616,-0.9748153879768235,-0.9748153879768235,1494.65956675413,40.663669444297135,16.86405418479417,11
42,1422.051497395828,856.9807078600503,-0.5578726609921105,-0.5578726609921105,704.7502284876188,48.55433713340176,22.521208566090493,11
43,999.7993790508666,310.98738781677116,-1.1611370474823168,-1.1611370474823168,307.67441161477853,34.08690491759896,13.454911762406915,11
44,2856.508812499999,704.9212443252139,-0.6282732864911118,-0.6282732864911118,1008.0467762297892,38.3729152133079,13.497630227026061,4
45,945.9452604166472,861.1870658948948,3.7337479985350512,3.7337479985350512,625.10074740589,54.42119335684609,21.684728668280727,11
46,2426.9405989583115,1927.8833448645896,3.302531685392646,3.302531685392646,1240.5731808750527,85.85800259548272,25.67751198010994,11
47,3265.878164062498,2741.8368990531685,2.004871519958831,2.004871519958831,1853.0278175151213,45.612896053491056,21.74639509591064,11
48,4336.866132812494,3138.6043121062853,1.851161349048974,1.851161349048974,2104.0891138107013,51.50339807439851,32.59166512371419,11
