date,year,month,mc,v_flow_mean_forecast,v_loss_cover,v_rainfall_total,scenario
2020-01-01,2020,1,1,1.0823584685997092,7.693,210.44,Def_25%_P_A1
2020-02-01,2020,2,1,1.028719592047695,7.702000000000001,135.49,Def_25%_P_A1
2020-03-01,2020,3,1,1.3609600666108652,7.71,259.4,Def_25%_P_A1
2020-04-01,2020,4,1,1.6134874843660145,7.718,61.71,Def_25%_P_A1
2020-05-01,2020,5,1,2.095971726063964,7.725999999999999,202.86,Def_25%_P_A1
2020-06-01,2020,6,1,2.58310323487682,7.735,137.33,Def_25%_P_A1
2020-07-01,2020,7,1,2.9594328522565543,7.743,14.2,Def_25%_P_A1
2020-08-01,2020,8,1,2.9203772108198534,7.7509999999999994,20.29,Def_25%_P_A1
2020-09-01,2020,9,1,2.3945452337873987,7.759,3.46,Def_25%_P_A1
2020-10-01,2020,10,1,2.3217961870633057,7.768,78.47,Def_25%_P_A1
2020-11-01,2020,11,1,2.24943890973404,7.776,285.87,Def_25%_P_A1
2020-12-01,2020,12,1,2.5183364924165113,7.784000000000001,293.65,Def_25%_P_A1
2021-01-01,2021,1,1,2.0158182821028094,7.792000000000001,114.9,Def_25%_P_A1
2021-02-01,2021,2,1,2.091010358956544,7.800999999999999,97.13,Def_25%_P_A1
2021-03-01,2021,3,1,2.090968487538597,7.809000000000001,104.92,Def_25%_P_A1
2021-04-01,2021,4,1,2.4678569873499923,7.817,123.63,Def_25%_P_A1
2021-05-01,2021,5,1,2.894928852008631,7.825,190.42,Def_25%_P_A1
2021-06-01,2021,6,1,3.4925373668698314,7.8340000000000005,149.28,Def_25%_P_A1
2021-07-01,2021,7,1,3.69232237848498,7.8420000000000005,23.72,Def_25%_P_A1
2021-08-01,2021,8,1,3.509707402019534,7.85,1.68,Def_25%_P_A1
2021-09-01,2021,9,1,3.0762755592544413,7.858,0.84,Def_25%_P_A1
2021-10-01,2021,10,1,2.911267438069148,7.867,38.94,Def_25%_P_A1
2021-11-01,2021,11,1,2.9360452805772193,7.875,102.93,Def_25%_P_A1
2021-12-01,2021,12,1,2.9335154680812465,7.883,288.84,Def_25%_P_A1
2020-01-01,2020,1,2,8.923179001952354,6.117,276.11,Def_25%_P_A1
2020-02-01,2020,2,2,14.35044854412822,6.123,152.33,Def_25%_P_A1
2020-03-01,2020,3,2,21.7582152051469,6.129,236.37,Def_25%_P_A1
2020-04-01,2020,4,2,26.50729021121696,6.135,192.22,Def_25%_P_A1
2020-05-01,2020,5,2,27.28069666081598,6.141,209.7,Def_25%_P_A1
2020-06-01,2020,6,2,23.5577211755846,6.146999999999999,381.38,Def_25%_P_A1
2020-07-01,2020,7,2,18.703924235103674,6.1530000000000005,175.51,Def_25%_P_A1
2020-08-01,2020,8,2,18.08564333252734,6.159,102.94,Def_25%_P_A1
