date,year,month,mc,v_flow_mean_forecast,v_flow_mean,v_loss_cover,v_rainfall_total,scenario
2020-01-01,2020,1,1,3.4287221,0,0.07693,210.44,Def_25%_P_A1
2020-02-01,2020,2,1,3.0126288,0,0.07702,135.49,Def_25%_P_A1
2020-03-01,2020,3,1,2.9643567,0,0.0771,259.4,Def_25%_P_A1
2020-04-01,2020,4,1,2.3609545,0,0.07718,61.71,Def_25%_P_A1
2020-05-01,2020,5,1,3.4040754,0,0.07726,202.86,Def_25%_P_A1
2020-06-01,2020,6,1,2.612273,0,0.07735,137.33,Def_25%_P_A1
2020-07-01,2020,7,1,2.705172,0,0.07743,14.2,Def_25%_P_A1
2020-08-01,2020,8,1,2.662155,0,0.07751,20.29,Def_25%_P_A1
2020-09-01,2020,9,1,2.344858,0,0.07759,3.46,Def_25%_P_A1
2020-10-01,2020,10,1,2.6199708,0,0.07768,78.47,Def_25%_P_A1
2020-11-01,2020,11,1,2.4573517,0,0.07776,285.87,Def_25%_P_A1
2020-12-01,2020,12,1,2.6503842,0,0.07784,293.65,Def_25%_P_A1
2021-01-01,2021,1,1,2.8058338,0,0.07792,114.9,Def_25%_P_A1
2021-02-01,2021,2,1,2.7630541,0,0.07801,97.13,Def_25%_P_A1
2021-03-01,2021,3,1,2.7630541,0,0.07809,104.92,Def_25%_P_A1
2021-04-01,2021,4,1,2.5476213,0,0.07817,123.63,Def_25%_P_A1
2021-05-01,2021,5,1,3.3415177,0,0.07825,190.42,Def_25%_P_A1
2021-06-01,2021,6,1,3.5413017,0,0.07834,149.28,Def_25%_P_A1
2021-07-01,2021,7,1,3.1279616,0,0.07842,23.72,Def_25%_P_A1
2021-08-01,2021,8,1,2.9112291,0,0.0785,1.68,Def_25%_P_A1
2021-09-01,2021,9,1,2.392352,0,0.07858,0.84,Def_25%_P_A1
2021-10-01,2021,10,1,2.7133403,0,0.07867,38.94,Def_25%_P_A1
2021-11-01,2021,11,1,2.7630541,0,0.07875,102.93,Def_25%_P_A1
2021-12-01,2021,12,1,2.4573517,0,0.07883,288.84,Def_25%_P_A1
2020-01-01,2020,1,2,35.58607,0,0.06117,276.11,Def_25%_P_A1
2020-02-01,2020,2,2,12.06841,0,0.06123,152.33,Def_25%_P_A1
2020-03-01,2020,3,2,26.398296,0,0.06129,236.37,Def_25%_P_A1
2020-04-01,2020,4,2,13.356987,0,0.06135,192.22,Def_25%_P_A1
2020-05-01,2020,5,2,23.892712,0,0.06141,209.7,Def_25%_P_A1
2020-06-01,2020,6,2,29.211535,0,0.06147,381.38,Def_25%_P_A1
2020-07-01,2020,7,2,11.878924,0,0.06153,175.51,Def_25%_P_A1
2020-08-01,2020,8,2,9.122146,0,0.06159,102.94,Def_25%_P_A1
2020-09-01,2020,9,2,5.000043,0,0.06165,48.36,Def_25%_P_A1
2020-10-01,2020,10,2,12.799518,0,0.06171,169.3,Def_25%_P_A1
2020-11-01,2020,11,2,26.731775,0,0.06177,346.12,Def_25%_P_A1
2020-12-01,2020,12,2,26.604795,0,0.06183,441.01,Def_25%_P_A1
2021-01-01,2021,1,2,3.4745343,0,0.06189,43.3,Def_25%_P_A1
2021-02-01,2021,2,2,5.925345,0,0.06195,75.91,Def_25%_P_A1
2021-03-01,2021,3,2,26.597706,0,0.06201,219.32,Def_25%_P_A1
2021-04-01,2021,4,2,26.398296,0,0.06207,239.29,Def_25%_P_A1
2021-05-01,2021,5,2,17.970152,0,0.06213,251.85,Def_25%_P_A1
2021-06-01,2021,6,2,35.70607,0,0.06219,269.02,Def_25%_P_A1
