MC,date,year,month,flow,model_type,climate_change_scenario,loss_cover_scenario
1,2020-01,2020,1,2.1636152945969256,VAR,1,0
1,2020-02,2020,2,1.784366916884074,VAR,1,0
1,2020-03,2020,3,1.6627101944752267,VAR,1,0
1,2020-04,2020,4,2.432578970102944,VAR,1,0
1,2020-05,2020,5,2.6988467964756278,VAR,1,0
1,2020-06,2020,6,4.26463952342477,VAR,1,0
1,2020-07,2020,7,4.398271080224586,VAR,1,0
1,2020-08,2020,8,3.6760404159373015,VAR,1,0
1,2020-09,2020,9,2.9278802915567885,VAR,1,0
1,2020-10,2020,10,2.5640797253210152,VAR,1,0
1,2020-11,2020,11,2.7558541411988955,VAR,1,0
1,2020-12,2020,12,2.63317157445251,VAR,1,0
1,2021-01,2021,1,1.823172978293036,VAR,1,0
1,2021-02,2021,2,1.7743212259565575,VAR,1,0
1,2021-03,2021,3,1.8500485817809755,VAR,1,0
1,2021-04,2021,4,2.4578582396980835,VAR,1,0
1,2021-05,2021,5,3.1964968463796364,VAR,1,0
1,2021-06,2021,6,4.251960881546223,VAR,1,0
1,2021-07,2021,7,4.360055560946377,VAR,1,0
1,2021-08,2021,8,3.856506989694767,VAR,1,0
1,2021-09,2021,9,3.1868978592434893,VAR,1,0
1,2021-10,2021,10,2.922073688344158,VAR,1,0
1,2021-11,2021,11,2.8962663633607884,VAR,1,0
1,2021-12,2021,12,2.594382969548073,VAR,1,0
1,2020-01,2020,1,24.002751216046033,VAR,1,25
1,2020-02,2020,2,14.131597110009553,VAR,1,25
1,2020-03,2020,3,22.116035494814955,VAR,1,25
1,2020-04,2020,4,36.71959950322208,VAR,1,25
1,2020-05,2020,5,40.19331009712581,VAR,1,25
1,2020-06,2020,6,35.889911314620726,VAR,1,25
1,2020-07,2020,7,22.370337304490942,VAR,1,25
1,2020-08,2020,8,14.035264822656641,VAR,1,25
1,2020-09,2020,9,20.38401161640989,VAR,1,25
1,2020-10,2020,10,27.17851076192452,VAR,1,25
1,2020-11,2020,11,35.09828271222084,VAR,1,25
1,2020-12,2020,12,30.174541199064198,VAR,1,25
1,2021-01,2021,1,21.692566527329607,VAR,1,25
1,2021-02,2021,2,17.947505898470286,VAR,1,25
1,2021-03,2021,3,22.952227758693837,VAR,1,25
1,2021-04,2021,4,33.98417097881405,VAR,1,25
1,2021-05,2021,5,38.684242533162866,VAR,1,25
1,2021-06,2021,6,34.41742966588967,VAR,1,25
1,2021-07,2021,7,24.342556610126532,VAR,1,25
1,2021-08,2021,8,18.759217909651607,VAR,1,25
1,2021-09,2021,9,22.445808817314774,VAR,1,25
1,2021-10,2021,10,30.23563774303304,VAR,1,25
1,2021-11,2021,11,34.48181818097922,VAR,1,25
1,2021-12,2021,12,31.081912285071983,VAR,1,25
3,2020-01,2020,1,120.59805000812722,VAR,1,0
3,2020-02,2020,2,120.62348825992487,VAR,1,0
3,2020-03,2020,3,168.46341806181357,VAR,1,0
3,2020-04,2020,4,188.4746380804451,VAR,1,0
3,2020-05,2020,5,233.38089530750682,VAR,1,0
3,2020-06,2020,6,219.4336055493781,VAR,1,0
3,2020-07,2020,7,213.8111563147044,VAR,1,0
3,2020-08,2020,8,159.79025095465784,VAR,1,0
3,2020-09,2020,9,142.67912194467763,VAR,1,0
3,2020-10,2020,10,146.23317061180063,VAR,1,0
3,2020-11,2020,11,156.26513518125444,VAR,1,0
3,2020-12,2020,12,141.4871065699153,VAR,1,0
3,2021-01,2021,1,123.27295522615984,VAR,1,0
3,2021-02,2021,2,139.4353702568317,VAR,1,0
3,2021-03,2021,3,166.02315642738458,VAR,1,0
3,2021-04,2021,4,202.960441477046,VAR,1,0
3,2021-05,2021,5,224.66780339120498,VAR,1,0
3,2021-06,2021,6,236.17534491603345,VAR,1,0
3,2021-07,2021,7,211.81671041281066,VAR,1,0
3,2021-08,2021,8,188.0827547812043,VAR,1,0
3,2021-09,2021,9,165.4468429960334,VAR,1,0
3,2021-10,2021,10,163.41003730805446,VAR,1,0
3,2021-11,2021,11,156.74309985570932,VAR,1,0
3,2021-12,2021,12,145.8654213226642,VAR,1,0
4,2020-01,2020,1,6.469778879348,VAR,1,0
4,2020-02,2020,2,4.713524246538936,VAR,1,0
4,2020-03,2020,3,5.741426702957666,VAR,1,0
4,2020-04,2020,4,7.841396157941742,VAR,1,0
4,2020-05,2020,5,9.541795689095157,VAR,1,0
4,2020-06,2020,6,8.898600492018868,VAR,1,0
4,2020-07,2020,7,7.093023137156122,VAR,1,0
4,2020-08,2020,8,5.838856419765148,VAR,1,0
4,2020-09,2020,9,6.159341019865714,VAR,1,0
