mc,date,year,month,model_type,climate_change_scenario,loss_cover_scenario,model_optimum,v_flow_mean_pred,v_loss_cover_assum,v_rainfall_total_assum
1,2020-01-01 00:00:00,2020.0,1,VAR,A1,25%,1,1.7550255092497775,0.07693,210.44
1,2020-02-01 00:00:00,2020.0,2,VAR,A1,25%,1,1.6654933565106014,0.07702,135.49
1,2020-03-01 00:00:00,2020.0,3,VAR,A1,25%,1,2.082900820790424,0.0771,259.4
1,2020-04-01 00:00:00,2020.0,4,VAR,A1,25%,1,2.7118219295902906,0.07718,61.71
1,2020-05-01 00:00:00,2020.0,5,VAR,A1,25%,1,3.4747002557479565,0.07726,202.86
1,2020-06-01 00:00:00,2020.0,6,VAR,A1,25%,1,4.345078757012484,0.07735,137.33
1,2020-07-01 00:00:00,2020.0,7,VAR,A1,25%,1,4.4041476647333875,0.07743,14.2
1,2020-08-01 00:00:00,2020.0,8,VAR,A1,25%,1,3.7296688763842867,0.07751,20.29
1,2020-09-01 00:00:00,2020.0,9,VAR,A1,25%,1,2.702893274028485,0.07758999999999999,3.46
1,2020-10-01 00:00:00,2020.0,10,VAR,A1,25%,1,2.724919763790679,0.07768,78.47
1,2020-11-01 00:00:00,2020.0,11,VAR,A1,25%,1,2.7824413271443063,0.07776,285.87
1,2020-12-01 00:00:00,2020.0,12,VAR,A1,25%,1,2.798058080334726,0.07783999999999999,293.65
1,2021-01-01 00:00:00,2021.0,1,VAR,A1,25%,1,1.8725253031367204,0.07792,114.9
1,2021-02-01 00:00:00,2021.0,2,VAR,A1,25%,1,1.934632005981428,0.07801,97.13
1,2021-03-01 00:00:00,2021.0,3,VAR,A1,25%,1,2.165588001695602,0.07808999999999999,104.92
1,2021-04-01 00:00:00,2021.0,4,VAR,A1,25%,1,2.946694125859848,0.07817,123.63
1,2021-05-01 00:00:00,2021.0,5,VAR,A1,25%,1,3.632134122019688,0.07825,190.42
1,2021-06-01 00:00:00,2021.0,6,VAR,A1,25%,1,4.369828250641901,0.07833999999999999,149.28
1,2021-07-01 00:00:00,2021.0,7,VAR,A1,25%,1,4.300696452136187,0.07842,23.72
1,2021-08-01 00:00:00,2021.0,8,VAR,A1,25%,1,3.6969818653342665,0.0785,1.68
1,2021-09-01 00:00:00,2021.0,9,VAR,A1,25%,1,2.9912015496773194,0.07858,0.84
1,2021-10-01 00:00:00,2021.0,10,VAR,A1,25%,1,2.8580411010201567,0.07867,38.94
1,2021-11-01 00:00:00,2021.0,11,VAR,A1,25%,1,2.891539398959573,0.07875,102.93
1,2021-12-01 00:00:00,2021.0,12,VAR,A1,25%,1,2.6682428769266155,0.07883,288.84
2,2020-01-01 00:00:00,2020.0,1,VAR,A1,25%,1,12.781848578531331,0.06117,276.11
2,2020-02-01 00:00:00,2020.0,2,VAR,A1,25%,1,9.324969173890553,0.061229999999999986,152.33
2,2020-03-01 00:00:00,2020.0,3,VAR,A1,25%,1,25.073194007501787,0.06129,236.37
2,2020-04-01 00:00:00,2020.0,4,VAR,A1,25%,1,43.321113292711324,0.06135,192.22
2,2020-05-01 00:00:00,2020.0,5,VAR,A1,25%,1,42.7286984924546,0.06141,209.7
2,2020-06-01 00:00:00,2020.0,6,VAR,A1,25%,1,35.947716585200915,0.061470000000000004,381.38
2,2020-07-01 00:00:00,2020.0,7,VAR,A1,25%,1,17.241251772837025,0.061529999999999994,175.51
2,2020-08-01 00:00:00,2020.0,8,VAR,A1,25%,1,11.138770183109253,0.06159,102.94
2,2020-09-01 00:00:00,2020.0,9,VAR,A1,25%,1,15.220377357114325,0.06165,48.36
2,2020-10-01 00:00:00,2020.0,10,VAR,A1,25%,1,25.847432147118134,0.06171,169.3
2,2020-11-01 00:00:00,2020.0,11,VAR,A1,25%,1,35.40575155750548,0.06177000000000001,346.12
2,2020-12-01 00:00:00,2020.0,12,VAR,A1,25%,1,27.475682811781603,0.061829999999999996,441.01
2,2021-01-01 00:00:00,2021.0,1,VAR,A1,25%,1,14.936394982170428,0.06189,43.3
2,2021-02-01 00:00:00,2021.0,2,VAR,A1,25%,1,8.619092620619423,0.06195,75.91
2,2021-03-01 00:00:00,2021.0,3,VAR,A1,25%,1,18.821355821230767,0.06201,219.32
2,2021-04-01 00:00:00,2021.0,4,VAR,A1,25%,1,34.36270793801989,0.062070000000000014,239.29
2,2021-05-01 00:00:00,2021.0,5,VAR,A1,25%,1,38.07318489900179,0.06213,251.85
2,2021-06-01 00:00:00,2021.0,6,VAR,A1,25%,1,30.54878644034183,0.062189999999999995,269.02
2,2021-07-01 00:00:00,2021.0,7,VAR,A1,25%,1,16.74011788927229,0.06225,97.03
