MC,Model,Rank
1,VAR,1
1,LSTM,2
1,RandomForest,3
1,VECM,4
1,XGBoost,5
2,LSTM,1
2,RandomForest,2
2,VAR,3
2,VECM,4
2,XGBoost,5
3,VAR,1
3,VECM,2
3,LSTM,3
3,RandomForest,4
3,XGBoost,5
4,LSTM,1
4,RandomForest,2
4,VAR,3
4,VECM,4
4,XGBoost,5
5,LSTM,1
5,RandomForest,2
5,VAR,3
5,VECM,4
5,XGBoost,5
6,LSTM,1
6,RandomForest,2
6,VAR,3
6,VECM,4
6,XGBoost,5
7,LSTM,1
7,RandomForest,2
7,VAR,3
7,VECM,4
7,XGBoost,5
8,LSTM,1
8,RandomForest,2
8,VAR,3
8,VECM,4
8,XGBoost,5
9,LSTM,1
9,RandomForest,2
9,VAR,3
9,VECM,4
9,XGBoost,5
10,LSTM,1
10,RandomForest,2
10,VAR,3
10,VECM,4
10,XGBoost,5
11,LSTM,1
11,RandomForest,2
11,VAR,3
11,VECM,4
11,XGBoost,5
12,LSTM,1
12,RandomForest,2
12,VAR,3
12,VECM,4
12,XGBoost,5
13,LSTM,1
13,RandomForest,2
13,VAR,3
13,VECM,4
13,XGBoost,5
14,LSTM,1
14,RandomForest,2
14,VAR,3
14,VECM,4
14,XGBoost,5
15,LSTM,1
15,RandomForest,2
15,VAR,3
15,VECM,4
15,XGBoost,5
16,LSTM,1
16,RandomForest,2
16,VAR,3
16,VECM,4
16,XGBoost,5
17,LSTM,1
17,VAR,2
17,RandomForest,3
17,VECM,4
17,XGBoost,5
18,VAR,1
18,LSTM,2
18,RandomForest,3
18,VECM,4
18,XGBoost,5
19,LSTM,1
19,RandomForest,2
19,VAR,3
19,VECM,4
19,XGBoost,5
20,LSTM,1
20,RandomForest,2
20,VAR,3
20,VECM,4
20,XGBoost,5
21,LSTM,1
21,RandomForest,2
21,VAR,3
21,VECM,4
21,XGBoost,5
22,LSTM,1
22,RandomForest,2
22,VAR,3
22,VECM,4
22,XGBoost,5
23,LSTM,1
23,RandomForest,2
23,VAR,3
23,VECM,4
23,XGBoost,5
24,LSTM,1
24,RandomForest,2
24,VAR,3
24,VECM,4
24,XGBoost,5
25,LSTM,1
25,RandomForest,2
25,VAR,3
25,VECM,4
25,XGBoost,5
26,LSTM,1
26,RandomForest,2
26,VAR,3
26,VECM,4
26,XGBoost,5
27,LSTM,1
27,RandomForest,2
27,VAR,3
27,VECM,4
27,XGBoost,5
28,LSTM,1
28,RandomForest,2
28,VAR,3
28,VECM,4
28,XGBoost,5
29,VAR,1
29,LSTM,2
29,RandomForest,3
29,VECM,4
29,XGBoost,5
30,LSTM,1
30,RandomForest,2
30,VAR,3
30,VECM,4
30,XGBoost,5
31,VAR,1
31,LSTM,2
31,RandomForest,3
31,VECM,4
31,XGBoost,5
32,LSTM,1
32,RandomForest,2
32,VAR,3
32,VECM,4
32,XGBoost,5
33,LSTM,1
33,RandomForest,2
33,VAR,3
33,VECM,4
33,XGBoost,5
34,LSTM,1
34,RandomForest,2
34,VAR,3
34,VECM,4
34,XGBoost,5
35,LSTM,1
35,RandomForest,2
35,VAR,3
35,VECM,4
35,XGBoost,5
36,LSTM,1
36,RandomForest,2
36,VAR,3
36,VECM,4
36,XGBoost,5
37,LSTM,1
37,RandomForest,2
37,VAR,3
37,VECM,4
37,XGBoost,5
38,LSTM,1
38,RandomForest,2
38,VAR,3
38,VECM,4
38,XGBoost,5
39,LSTM,1
39,RandomForest,2
39,VAR,3
39,VECM,4
39,XGBoost,5
40,LSTM,1
40,RandomForest,2
40,VAR,3
40,VECM,4
40,XGBoost,5
41,LSTM,1
41,RandomForest,2
41,VAR,3
41,VECM,4
41,XGBoost,5
42,LSTM,1
42,RandomForest,2
42,VAR,3
42,VECM,4
42,XGBoost,5
43,LSTM,1
43,RandomForest,2
43,VAR,3
43,VECM,4
43,XGBoost,5
44,LSTM,1
44,RandomForest,2
44,VAR,3
44,VECM,4
44,XGBoost,5
45,LSTM,1
45,RandomForest,2
45,VAR,3
45,VECM,4
45,XGBoost,5
46,LSTM,1
46,RandomForest,2
46,VAR,3
46,VECM,4
46,XGBoost,5
47,LSTM,1
47,RandomForest,2
47,VAR,3
47,VECM,4
47,XGBoost,5
48,LSTM,1
48,RandomForest,2
48,VAR,3
48,VECM,4
48,XGBoost,5
