date,basin_id,year,loss_cover,month,type
2001-01-31,1.0,2001,,1,interpolate
2001-02-28,1.0,2001,,2,interpolate
2001-03-31,1.0,2001,,3,interpolate
2001-04-30,1.0,2001,,4,interpolate
2001-05-31,1.0,2001,,5,interpolate
2001-06-30,1.0,2001,,6,interpolate
2001-07-31,1.0,2001,,7,interpolate
2001-08-31,1.0,2001,,8,interpolate
2001-09-30,1.0,2001,,9,interpolate
2001-10-31,1.0,2001,,10,interpolate
2001-11-30,1.0,2001,,11,interpolate
2001-12-31,1.0,2001,0.0,12,real
2002-01-31,1.0,2002,0.0,1,interpolate
2002-02-28,1.0,2002,0.0,2,interpolate
2002-03-31,1.0,2002,0.0,3,interpolate
2002-04-30,1.0,2002,0.0,4,interpolate
2002-05-31,1.0,2002,0.0,5,interpolate
2002-06-30,1.0,2002,0.0,6,interpolate
2002-07-31,1.0,2002,0.0,7,interpolate
2002-08-31,1.0,2002,0.0,8,interpolate
2002-09-30,1.0,2002,0.0,9,interpolate
2002-10-31,1.0,2002,0.0,10,interpolate
2002-11-30,1.0,2002,0.0,11,interpolate
2002-12-31,1.0,2002,0.0,12,real
2003-01-31,1.0,2003,0.0,1,interpolate
2003-02-28,1.0,2003,0.0,2,interpolate
2003-03-31,1.0,2003,0.0,3,interpolate
2003-04-30,1.0,2003,0.0,4,interpolate
2003-05-31,1.0,2003,0.0,5,interpolate
2003-06-30,1.0,2003,0.0,6,interpolate
2003-07-31,1.0,2003,0.0,7,interpolate
2003-08-31,1.0,2003,0.0,8,interpolate
2003-09-30,1.0,2003,0.0,9,interpolate
2003-10-31,1.0,2003,0.0,10,interpolate
2003-11-30,1.0,2003,0.0,11,interpolate
2003-12-31,1.0,2003,0.0,12,real
2004-01-31,1.0,2004,0.0,1,interpolate
2004-02-29,1.0,2004,0.0,2,interpolate
2004-03-31,1.0,2004,0.0,3,interpolate
2004-04-30,1.0,2004,0.0,4,interpolate
2004-05-31,1.0,2004,0.0,5,interpolate
2004-06-30,1.0,2004,0.0,6,interpolate
2004-07-31,1.0,2004,0.0,7,interpolate
2004-08-31,1.0,2004,0.0,8,interpolate
2004-09-30,1.0,2004,0.0,9,interpolate
2004-10-31,1.0,2004,0.0,10,interpolate
2004-11-30,1.0,2004,0.0,11,interpolate
2004-12-31,1.0,2004,0.0,12,real
2005-01-31,1.0,2005,0.0,1,interpolate
2005-02-28,1.0,2005,0.0,2,interpolate
2005-03-31,1.0,2005,0.0,3,interpolate
2005-04-30,1.0,2005,0.0,4,interpolate
2005-05-31,1.0,2005,0.0,5,interpolate
2005-06-30,1.0,2005,0.0,6,interpolate
2005-07-31,1.0,2005,0.0,7,interpolate
2005-08-31,1.0,2005,0.0,8,interpolate
2005-09-30,1.0,2005,0.0,9,interpolate
2005-10-31,1.0,2005,0.0,10,interpolate
2005-11-30,1.0,2005,0.0,11,interpolate
2005-12-31,1.0,2005,0.0,12,real
2006-01-31,1.0,2006,0.0,1,interpolate
2006-02-28,1.0,2006,0.0,2,interpolate
2006-03-31,1.0,2006,0.0,3,interpolate
2006-04-30,1.0,2006,0.0,4,interpolate
2006-05-31,1.0,2006,0.0,5,interpolate
2006-06-30,1.0,2006,0.0,6,interpolate
2006-07-31,1.0,2006,0.0,7,interpolate
2006-08-31,1.0,2006,0.0,8,interpolate
2006-09-30,1.0,2006,0.0,9,interpolate
2006-10-31,1.0,2006,0.0,10,interpolate
2006-11-30,1.0,2006,0.0,11,interpolate
2006-12-31,1.0,2006,0.0,12,real
2007-01-31,1.0,2007,0.0,1,interpolate
2007-02-28,1.0,2007,0.0,2,interpolate
2007-03-31,1.0,2007,0.0,3,interpolate
2007-04-30,1.0,2007,0.0,4,interpolate
2007-05-31,1.0,2007,0.0,5,interpolate
2007-06-30,1.0,2007,0.0,6,interpolate
2007-07-31,1.0,2007,0.0,7,interpolate
2007-08-31,1.0,2007,0.0,8,interpolate
2007-09-30,1.0,2007,0.0,9,interpolate
2007-10-31,1.0,2007,0.0,10,interpolate
2007-11-30,1.0,2007,0.0,11,interpolate
2007-12-31,1.0,2007,0.0,12,real
2008-01-31,1.0,2008,0.0,1,interpolate
2008-02-29,1.0,2008,0.0,2,interpolate
