,cluster2000,cluster2001,cluster2002,cluster2003,cluster2004,cluster2005,cluster2006,cluster2007,cluster2008,cluster2009,cluster2010,cluster2011,cluster2012,cluster2013,cluster2014,cluster2015,cluster2016,cluster2017,cluster2018,cluster2019
1,3,4,4,4,1,6,6,5,7,4,3,0,5,7,0,4,4,3,1,6
2,3,2,4,4,1,3,6,0,3,4,2,5,5,0,4,4,6,3,1,4
3,3,4,4,4,1,6,6,5,7,4,3,0,5,7,0,4,4,3,1,6
4,2,0,5,0,4,4,3,2,6,3,4,4,4,3,6,0,3,7,4,5
5,3,2,4,4,1,3,0,0,3,0,2,5,5,7,4,4,6,3,1,4
6,3,4,4,4,1,6,6,5,7,4,3,0,5,7,0,4,4,3,1,6
7,3,2,4,4,1,3,0,0,3,0,2,5,3,0,4,4,6,3,3,4
8,3,2,3,6,6,3,0,0,4,0,2,5,3,0,4,1,6,0,3,4
9,1,5,2,3,5,7,5,1,0,1,1,2,2,1,1,3,2,1,6,3
10,3,2,3,6,6,3,0,0,3,0,2,5,3,0,4,4,6,0,3,4
11,3,2,3,6,6,3,0,0,4,0,2,5,3,0,2,1,6,0,3,4
12,1,5,7,1,5,5,4,1,5,5,1,6,2,1,3,7,7,1,5,2
13,2,2,3,6,6,0,7,7,4,6,2,5,4,0,5,1,3,5,3,1
14,0,3,6,5,7,0,1,3,2,6,5,1,7,2,2,5,0,4,2,1
15,0,3,6,5,7,0,1,3,2,6,5,1,7,2,2,5,0,4,2,7
16,0,3,6,5,7,0,1,3,2,6,5,1,7,2,2,5,0,4,2,7
17,3,4,4,4,3,6,6,4,7,4,6,0,0,7,0,7,4,3,1,6
18,1,5,1,3,5,7,2,1,2,1,1,2,2,1,1,2,2,1,6,7
19,3,3,6,5,7,0,1,3,4,6,5,1,3,2,2,5,0,0,2,1
20,0,3,6,6,7,0,1,7,2,6,5,1,7,2,5,5,0,5,2,1
21,2,7,0,2,2,2,7,6,1,2,0,3,1,6,7,6,1,2,7,0
22,1,5,2,3,5,7,5,1,0,1,1,2,2,1,1,3,2,1,6,3
23,1,5,7,1,5,5,4,1,5,5,1,6,2,5,3,7,7,6,5,2
24,2,7,0,2,2,4,7,6,6,3,0,3,4,6,6,6,3,2,4,5
25,0,0,5,0,4,4,3,2,6,3,4,4,4,3,6,0,3,7,4,5
26,2,0,5,0,4,4,3,2,6,3,4,4,4,3,6,0,3,7,4,5
27,0,0,5,0,4,6,3,2,6,3,4,4,6,4,6,0,4,7,4,5
28,1,5,7,1,5,7,5,1,0,1,1,2,0,1,1,3,2,1,6,3
29,0,6,7,1,3,5,4,4,5,5,6,6,0,5,3,7,7,6,5,2
30,2,7,0,2,2,2,7,6,1,2,0,3,1,6,7,6,1,2,7,0
31,2,7,0,2,2,2,7,6,1,2,0,3,1,6,7,6,1,2,7,0
32,3,2,4,4,1,2,6,0,3,2,0,5,1,6,4,4,1,3,1,0
33,2,7,0,2,2,2,7,6,1,2,0,3,1,6,7,6,1,2,7,0
34,1,5,2,3,5,7,5,1,0,1,1,2,2,1,1,3,2,1,6,3
35,1,5,2,3,5,1,5,1,0,1,1,2,2,1,1,3,2,1,6,3
36,1,1,2,3,0,1,5,1,0,1,1,2,2,1,1,3,2,1,0,3
37,3,2,3,6,6,3,0,0,4,0,2,5,3,0,5,1,6,0,3,1
38,3,2,3,4,6,3,6,0,3,4,2,5,5,0,4,1,6,0,1,4
39,1,5,2,3,5,1,5,1,0,1,1,2,2,1,1,3,2,1,6,3
40,1,5,2,3,5,7,5,1,0,1,1,2,2,1,1,3,2,1,6,3
41,1,5,2,3,5,7,5,1,0,1,1,2,2,1,1,3,2,1,6,3
42,1,1,2,3,0,1,5,1,0,1,1,2,2,1,1,3,2,1,0,3
43,0,3,1,7,3,0,1,3,2,7,7,7,7,2,2,5,5,4,2,7
44,0,3,1,7,3,0,2,3,2,7,7,7,7,2,2,2,5,4,2,7
45,1,1,2,3,0,1,5,1,0,1,1,2,2,1,1,3,2,1,0,3
46,1,1,2,3,0,1,5,1,0,1,1,2,2,1,1,3,2,1,0,3
47,1,1,2,3,0,1,5,1,0,1,1,2,2,1,1,3,2,1,0,3
48,1,1,2,3,0,1,5,1,0,1,1,2,2,1,1,3,2,1,0,3
