date,year,month,mc,v_flow_mean,v_loss_cover,v_rainfall_total,v_temperature_mean
2000-01,2000,1,7,230.4,0.0,334.0,
2000-02,2000,2,7,272.4,0.00013263541666666667,400.0,
2000-03,2000,3,7,321.6,0.0002652708333333333,319.0,
2000-04,2000,4,7,310.8,0.00039790625,248.0,
2000-05,2000,5,7,410.0,0.0005305416666666667,302.0,
2000-06,2000,6,7,295.9,0.0006631770833333332,81.0,
2000-07,2000,7,7,244.2,0.0007958125000000001,96.0,
2000-08,2000,8,7,255.0,0.0009284479166666668,64.0,
2000-09,2000,9,7,233.8,0.0010610833333333334,262.0,
2000-10,2000,10,7,216.0,0.00119371875,141.0,
2000-11,2000,11,7,212.9,0.0013263541666666669,199.0,
2000-12,2000,12,7,177.6,0.0014589895833333336,140.0,
2001-01,2001,1,7,134.4,0.001591625,155.0,
2001-02,2001,2,7,103.4,0.001698786,118.0,
2001-03,2001,3,7,184.8,0.001805947,440.0,
2001-04,2001,4,7,120.8,0.001913108,87.0,
2001-05,2001,5,7,202.9,0.002020269,223.0,
2001-06,2001,6,7,249.6,0.00212743,75.0,
2001-07,2001,7,7,200.6,0.002234591,42.0,
2001-08,2001,8,7,139.3,0.0023417520000000003,4.0,
2001-09,2001,9,7,160.85,0.002448913,146.0,
2001-10,2001,10,7,73.8,0.002556074,341.0,
2001-11,2001,11,7,157.2,0.002663235,329.0,
2001-12,2001,12,7,192.0,0.0027703960000000005,229.0,
2002-01,2002,1,7,79.4,0.002877557,185.0,
2002-02,2002,2,7,55.6,0.0029127159166666672,101.0,
2002-03,2002,3,7,121.6,0.002947874833333333,382.0,
2002-04,2002,4,7,197.75,0.00298303375,328.0,
2002-05,2002,5,7,209.0,0.003018192666666667,224.0,
2002-06,2002,6,7,288.9,0.0030533515833333336,129.0,
2002-07,2002,7,7,180.0,0.0030885105,64.0,
2002-08,2002,8,7,176.0,0.0031236694166666672,130.0,
2002-09,2002,9,7,96.75,0.003158828333333333,63.0,
2002-10,2002,10,7,91.6,0.0031939872500000004,267.0,
2002-11,2002,11,7,189.1,0.003229146166666667,132.0,
2002-12,2002,12,7,109.6,0.0032643050833333336,222.0,
2003-01,2003,1,7,147.5,0.003299464,193.0,
2003-02,2003,2,7,152.52500000000273,0.0034289415,173.0,
2003-03,2003,3,7,202.4,0.003558419,113.0,
2003-04,2003,4,7,235.3,0.0036878965,264.0,
2003-05,2003,5,7,232.9,0.003817374,54.0,
2003-06,2003,6,7,223.2,0.0039468515,236.0,
2003-07,2003,7,7,176.0,0.004076329,67.0,
2003-08,2003,8,7,110.5,0.0042058065,17.0,
2003-09,2003,9,7,103.1,0.004335284,190.0,
2003-10,2003,10,7,172.0,0.0044647615,278.0,
2003-11,2003,11,7,217.15,0.004594239,348.0,
2003-12,2003,12,7,164.0,0.0047237165,180.0,
2004-01,2004,1,7,123.9,0.004853194,206.0,
2004-02,2004,2,7,98.3,0.00502035675,226.0,
2004-03,2004,3,7,92.3,0.0051875195,36.0,
2004-04,2004,4,7,214.5,0.005354682249999999,384.0,
2004-05,2004,5,7,237.5,0.005521845,101.0,
2004-06,2004,6,7,216.8,0.00568900775,40.0,
2004-07,2004,7,7,178.7,0.0058561705000000006,77.0,
2004-08,2004,8,7,162.6,0.0060233332499999995,0.0,
2004-09,2004,9,7,122.95,0.006190495999999999,218.0,
2004-10,2004,10,7,228.8,0.00635765875,396.0,
2004-11,2004,11,7,264.575,0.0065248215,433.0,
2004-12,2004,12,7,197.0,0.0066919842500000005,292.0,
2005-01,2005,1,7,125.8,0.0068591469999999995,141.0,
2005-02,2005,2,7,177.8,0.006997256249999999,436.0,
2005-03,2005,3,7,198.6,0.007135365500000002,245.0,
2005-04,2005,4,7,246.55,0.00727347475,177.0,
2005-05,2005,5,7,301.9,0.0074115840000000014,340.0,
2005-06,2005,6,7,227.35,0.007549693249999999,19.0,
2005-07,2005,7,7,176.0,0.0076878025,75.0,
2005-08,2005,8,7,237.5,0.007825911750000001,50.0,
2005-09,2005,9,7,156.8,0.007964021,62.0,
2005-10,2005,10,7,255.9,0.00810213025,50.0,
2005-11,2005,11,7,281.65,0.008240239500000001,269.0,
2005-12,2005,12,7,258.6,0.00837834875,279.0,
2006-01,2006,1,7,258.6,0.008516458000000001,347.0,
2006-02,2006,2,7,176.0,0.008638145750000001,157.0,
2006-03,2006,3,7,279.8,0.008759833500000001,293.0,
2006-04,2006,4,7,357.85,0.00888152125,372.0,
2006-05,2006,5,7,289.0,0.009003209,257.0,
2006-06,2006,6,7,281.20000000000005,0.00912489675,141.0,
2006-07,2006,7,7,212.0,0.0092465845,77.0,
2006-08,2006,8,7,147.4,0.00936827225,32.0,
2006-09,2006,9,7,112.1,0.00948996,75.0,
2006-10,2006,10,7,139.9,0.00961164775,470.0,
2006-11,2006,11,7,331.7,0.0097333355,371.0,
2006-12,2006,12,7,229.9,0.009855023249999999,229.0,
2007-01,2007,1,7,113.4,0.009976711,141.0,
2007-02,2007,2,7,83.89,0.010104609416666663,69.0,
2007-03,2007,3,7,135.6,0.010232507833333331,230.0,
2007-04,2007,4,7,297.0,0.01036040625,353.0,
2007-05,2007,5,7,309.6,0.010488304666666668,268.0,
2007-06,2007,6,7,350.5,0.010616203083333331,141.0,
2007-07,2007,7,7,225.2,0.010744101499999999,121.0,
2007-08,2007,8,7,252.2,0.010871999916666666,92.0,
2007-09,2007,9,7,159.2,0.010999898333333329,4.0,
2007-10,2007,10,7,306.7,0.01112779675,418.0,
2007-11,2007,11,7,340.8,0.011255695166666666,427.0,
2007-12,2007,12,7,302.8,0.011383593583333334,613.0,
2008-01,2008,1,7,229.2,0.011511492,330.0,
2008-02,2008,2,7,238.4,0.011706550333333331,217.0,
2008-03,2008,3,7,279.8,0.011901608666666669,488.0,
2008-04,2008,4,7,358.0,0.012096667,400.0,
2008-05,2008,5,7,377.4,0.012291725333333331,269.0,
2008-06,2008,6,7,369.5,0.012486783666666666,211.0,
2008-07,2008,7,7,352.0,0.012681841999999999,176.0,
2008-08,2008,8,7,276.1,0.012876900333333332,185.0,
2008-09,2008,9,7,244.35,0.013071958666666666,176.0,
2008-10,2008,10,7,275.2,0.013267016999999999,309.0,
2008-11,2008,11,7,416.35,0.013462075333333334,367.0,
2008-12,2008,12,7,342.0,0.013657133666666666,440.0,
2009-01,2009,1,7,303.8,0.013852192,398.0,
2009-02,2009,2,7,283.0,0.013940826166666666,285.0,
2009-03,2009,3,7,335.6,0.014029460333333332,393.0,
2009-04,2009,4,7,320.5,0.0141180945,262.0,
2009-05,2009,5,7,247.6,0.014206728666666666,185.0,
2009-06,2009,6,7,247.3,0.014295362833333332,46.0,
2009-07,2009,7,7,261.4,0.014383996999999999,17.0,
2009-08,2009,8,7,212.3,0.014472631166666666,134.0,
2009-09,2009,9,7,110.85,0.014561265333333332,0.5,
2009-10,2009,10,7,108.7,0.014649899499999999,440.0,
2009-11,2009,11,7,114.2,0.014738533666666666,199.0,
2009-12,2009,12,7,95.65,0.014827167833333332,165.0,
2010-01,2010,1,7,52.75,0.014915801999999999,76.0,
2010-02,2010,2,7,55.34,0.015116860416666666,168.0,
2010-03,2010,3,7,109.8,0.015317918833333331,290.0,
2010-04,2010,4,7,375.65,0.01551897725,623.0,
2010-05,2010,5,7,292.7,0.01572003566666667,131.0,
2010-06,2010,6,7,270.6,0.015921094083333334,215.0,
2010-07,2010,7,7,319.9,0.0161221525,211.0,
2010-08,2010,8,7,173.6,0.016323210916666667,49.0,
2010-09,2010,9,7,202.4,0.016524269333333334,185.5,
2010-10,2010,10,7,221.5,0.016725327749999998,240.0,
2010-11,2010,11,7,452.35,0.016926386166666668,717.0,
2010-12,2010,12,7,319.1,0.017127444583333342,289.0,
2011-01,2011,1,7,192.0,0.017328503000000002,95.0,
2011-02,2011,2,7,282.1,0.017755252250000002,458.0,
2011-03,2011,3,7,322.8,0.018182001500000003,184.0,
2011-04,2011,4,7,541.05,0.01860875075,724.0,
2011-05,2011,5,7,422.4,0.0190355,273.7,
2011-06,2011,6,7,332.7,0.01946224925,225.0,
2011-07,2011,7,7,298.2,0.0198889985,92.0,
2011-08,2011,8,7,236.2,0.02031574775,24.0,
2011-09,2011,9,7,186.0,0.020742497,127.0,
2011-10,2011,10,7,270.6,0.021169246250000003,315.0,
2011-11,2011,11,7,372.0,0.0215959955,490.0,
2011-12,2011,12,7,474.4,0.02202274475,493.0,
2012-01,2012,1,7,329.0,0.022449494,377.0,
2012-02,2012,2,7,260.5,0.02251760125,161.0,
2012-03,2012,3,7,289.0,0.0225857085,343.0,
2012-04,2012,4,7,345.5,0.02265381575,477.0,
2012-05,2012,5,7,327.0,0.022721923,94.0,
2012-06,2012,6,7,282.1,0.02279003025,71.0,
2012-07,2012,7,7,236.6,0.0228581375,48.0,
2012-08,2012,8,7,177.6,0.02292624475,21.0,
2012-09,2012,9,7,124.95,0.022994352000000003,27.0,
2012-10,2012,10,7,212.0,0.02306245925,391.0,
2012-11,2012,11,7,243.0,0.0231305665,390.0,
2012-12,2012,12,7,164.0,0.02319867375,210.0,
2013-01,2013,1,7,107.1,0.023266781,227.0,
2013-02,2013,2,7,178.0,0.02339657425,148.0,
2013-03,2013,3,7,226.4,0.0235263675,223.0,
2013-04,2013,4,7,142.4,0.023656160750000002,186.0,
2013-05,2013,5,7,326.0,0.023785954,295.0,
2013-06,2013,6,7,212.3,0.02391574725,45.0,
2013-07,2013,7,7,216.8,0.0240455405,25.0,
2013-08,2013,8,7,239.6,0.02417533375,74.0,
